"file","type","smells","itCount","describeCount"
"__tests__/unit.js","AnonymousTest","[{""startLine"":225,""endLine"":247}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":299,""endLine"":312}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":314,""endLine"":326}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":328,""endLine"":345}]",17,2
"__tests__/integration.js","AnonymousTest","[{""startLine"":35,""endLine"":65}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":67,""endLine"":104}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":217,""endLine"":237}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":239,""endLine"":304}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":306,""endLine"":332}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":334,""endLine"":354}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":356,""endLine"":385}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":432,""endLine"":502}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":523,""endLine"":556}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":558,""endLine"":646}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":686,""endLine"":717}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":719,""endLine"":745}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":747,""endLine"":773}]",20,1
"__tests__/integration.js","OvercommentedTest","[{""startLine"":523,""endLine"":556}]",20,1
"__tests__/integration.js","SubOptimalAssert","[{""startLine"":545,""endLine"":545}]",20,1
"__tests__/integration.js","VerboseStatement","[{""startLine"":558,""endLine"":646}]",20,1
