"file","type","smells","itCount","describeCount"
"__tests__/unit.js","AnonymousTest","[{""startLine"":225,""endLine"":247}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":299,""endLine"":312}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":314,""endLine"":326}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":328,""endLine"":345}]",17,2
"__tests__/integration.js","AnonymousTest","[{""startLine"":35,""endLine"":65}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":67,""endLine"":104}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":217,""endLine"":237}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":239,""endLine"":304}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":306,""endLine"":332}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":334,""endLine"":354}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":356,""endLine"":385}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":432,""endLine"":501}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":522,""endLine"":555}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":557,""endLine"":645}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":685,""endLine"":716}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":718,""endLine"":744}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":746,""endLine"":772}]",20,1
"__tests__/integration.js","OvercommentedTest","[{""startLine"":522,""endLine"":555}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":473,""endLine"":497}]",20,1
"__tests__/integration.js","SubOptimalAssert","[{""startLine"":544,""endLine"":544}]",20,1
"__tests__/integration.js","VerboseStatement","[{""startLine"":432,""endLine"":501}]",20,1
"__tests__/integration.js","VerboseStatement","[{""startLine"":557,""endLine"":645}]",20,1
