file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 6, 'column': 9, 'index': 199}","  4 |
  5 | test(""today"", () => {
> 6 |   expect(formatRelativeTime(""days"", 0, ""auto"")).toBe(""today"");
    |         ^ Eager Test
  7 |   expect(formatRelativeTime(""days"", 0, ""always"")).toBe(""in 0 days"");
  8 | });
  9 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 7, 'column': 9, 'index': 262}","   5 | test(""today"", () => {
   6 |   expect(formatRelativeTime(""days"", 0, ""auto"")).toBe(""today"");
>  7 |   expect(formatRelativeTime(""days"", 0, ""always"")).toBe(""in 0 days"");
     |         ^ Eager Test
   8 | });
   9 |
  10 | test(""tomorrow"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 11, 'column': 9, 'index': 361}","   9 |
  10 | test(""tomorrow"", () => {
> 11 |   expect(formatRelativeTime(""days"", 1, ""auto"")).toBe(""tomorrow"");
     |         ^ Eager Test
  12 |   expect(formatRelativeTime(""days"", 1, ""always"")).toBe(""in 1 day"");
  13 | });
  14 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 12, 'column': 9, 'index': 427}","  10 | test(""tomorrow"", () => {
  11 |   expect(formatRelativeTime(""days"", 1, ""auto"")).toBe(""tomorrow"");
> 12 |   expect(formatRelativeTime(""days"", 1, ""always"")).toBe(""in 1 day"");
     |         ^ Eager Test
  13 | });
  14 |
  15 | describe(""when the relative time is one day ago"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 26, 'column': 9, 'index': 877}","  24 |
  25 | test(""in 0.5 days"", () => {
> 26 |   expect(formatRelativeTime(""days"", 1.5, ""auto"")).toBe(""in 1.5 days"");
     |         ^ Eager Test
  27 |   expect(formatRelativeTime(""days"", 1.5, ""always"")).toBe(""in 1.5 days"");
  28 | });
  29 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 27, 'column': 9, 'index': 948}","  25 | test(""in 0.5 days"", () => {
  26 |   expect(formatRelativeTime(""days"", 1.5, ""auto"")).toBe(""in 1.5 days"");
> 27 |   expect(formatRelativeTime(""days"", 1.5, ""always"")).toBe(""in 1.5 days"");
     |         ^ Eager Test
  28 | });
  29 |
  30 | test(""0.5 days ago"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 31, 'column': 9, 'index': 1055}","  29 |
  30 | test(""0.5 days ago"", () => {
> 31 |   expect(formatRelativeTime(""days"", -1.5, ""auto"")).toBe(""1.5 days ago"");
     |         ^ Eager Test
  32 |   expect(formatRelativeTime(""days"", -1.5, ""always"")).toBe(""1.5 days ago"");
  33 | });
  34 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 32, 'column': 9, 'index': 1128}","  30 | test(""0.5 days ago"", () => {
  31 |   expect(formatRelativeTime(""days"", -1.5, ""auto"")).toBe(""1.5 days ago"");
> 32 |   expect(formatRelativeTime(""days"", -1.5, ""always"")).toBe(""1.5 days ago"");
     |         ^ Eager Test
  33 | });
  34 |
  35 | test(""2 days ago"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 36, 'column': 9, 'index': 1235}","  34 |
  35 | test(""2 days ago"", () => {
> 36 |   expect(formatRelativeTime(""days"", -2, ""auto"")).toBe(""2 days ago"");
     |         ^ Eager Test
  37 |   expect(formatRelativeTime(""days"", -2, ""always"")).toBe(""2 days ago"");
  38 | });
  39 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 37, 'column': 9, 'index': 1304}","  35 | test(""2 days ago"", () => {
  36 |   expect(formatRelativeTime(""days"", -2, ""auto"")).toBe(""2 days ago"");
> 37 |   expect(formatRelativeTime(""days"", -2, ""always"")).toBe(""2 days ago"");
     |         ^ Eager Test
  38 | });
  39 |
  40 | test(""this month"", () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 41, 'column': 9, 'index': 1407}","  39 |
  40 | test(""this month"", () => {
> 41 |   expect(formatRelativeTime(""months"", 0, ""auto"")).toBe(""this month"");
     |         ^ Eager Test
  42 |   expect(formatRelativeTime(""months"", 0, ""always"")).toBe(""in 0 months"");
  43 |   expect(formatRelativeTime(""months"", -0, ""always"")).toBe(""0 months ago"");
  44 |   expect(formatRelativeTime(""months"", 0, ""always"", true)).toBe(""in 0 mo."");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/luxon/test/impl/english.test.js,Eager Test,"{'line': 42, 'column': 9, 'index': 1477}","  40 | test(""this month"", () => {
  41 |   expect(formatRelativeTime(""months"", 0, ""auto"")).toBe(""this month"");
> 42 |   expect(formatRelativeTime(""months"", 0, ""always"")).toBe(""in 0 months"");
     |         ^ Eager Test
  43 |   expect(formatRelativeTime(""months"", -0, ""always"")).toBe(""0 months ago"");
  44 |   expect(formatRelativeTime(""months"", 0, ""always"", true)).toBe(""in 0 mo."");
  45 |   expect(formatRelativeTime(""months"", -0, ""always"", true)).toBe(""0 mo. ago"");"
