"file","type","smells","itCount","describeCount"
"test/integration/formats.test.js","AnonymousTest","[{""startLine"":34,""endLine"":40}]",1,1
"test/unit/winston/profiler.test.js","AnonymousTest","[{""startLine"":14,""endLine"":18}]",3,1
"test/unit/winston/logger.test.js","AnonymousTest","[{""startLine"":26,""endLine"":37}]",46,22
"test/unit/winston/logger.test.js","AnonymousTest","[{""startLine"":283,""endLine"":300}]",46,22
"test/unit/winston/logger.test.js","AnonymousTest","[{""startLine"":360,""endLine"":395}]",46,22
"test/unit/winston/logger.test.js","AnonymousTest","[{""startLine"":436,""endLine"":468}]",46,22
"test/unit/winston/logger.test.js","AnonymousTest","[{""startLine"":541,""endLine"":568}]",46,22
"test/unit/winston/logger.test.js","AnonymousTest","[{""startLine"":674,""endLine"":686}]",46,22
"test/unit/winston/logger.test.js","AnonymousTest","[{""startLine"":688,""endLine"":700}]",46,22
"test/unit/winston/logger.test.js","AnonymousTest","[{""startLine"":1032,""endLine"":1042}]",46,22
"test/unit/winston/logger.test.js","IdenticalTestDescription","[{""startLine"":541,""endLine"":568}]",46,22
"test/unit/winston/logger.test.js","ConditionalTestLogic","[{""startLine"":375,""endLine"":377}]",46,22
"test/unit/winston/logger.test.js","ConditionalTestLogic","[{""startLine"":401,""endLine"":403}]",46,22
"test/unit/winston/logger.test.js","NonFunctionalStatement","[{""startLine"":637,""endLine"":638}]",46,22
"test/unit/winston/logger.test.js","NonFunctionalStatement","[{""startLine"":641,""endLine"":642}]",46,22
"test/unit/winston/logger.test.js","NonFunctionalStatement","[{""startLine"":645,""endLine"":646}]",46,22
"test/unit/winston/logger.test.js","VerboseStatement","[{""startLine"":436,""endLine"":468}]",46,22
"test/unit/winston/logger.test.js","VerboseStatement","[{""startLine"":470,""endLine"":505}]",46,22
"test/unit/winston/logger.test.js","VerboseStatement","[{""startLine"":507,""endLine"":539}]",46,22
"test/unit/winston/logger.test.js","VerboseStatement","[{""startLine"":599,""endLine"":629}]",46,22
"test/unit/winston/logger-legacy.test.js","GeneralFixture","[{""startLine"":66,""endLine"":66}]",1,4
"test/unit/winston/log-exception.test.js","AnonymousTest","[{""startLine"":37,""endLine"":50}]",6,5
"test/unit/winston/log-exception.test.js","GeneralFixture","[{""startLine"":90,""endLine"":97}]",6,5
"test/unit/winston/log-exception.test.js","NonFunctionalStatement","[{""startLine"":76,""endLine"":76}]",6,5
"test/unit/winston/log-exception.test.js","NonFunctionalStatement","[{""startLine"":89,""endLine"":89}]",6,5
"test/unit/winston/exception-stream.test.js","GeneralFixture","[{""startLine"":49,""endLine"":54}]",3,2
"test/unit/winston/create-logger.test.js","ConditionalTestLogic","[{""startLine"":84,""endLine"":97}]",5,1
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":17,""endLine"":20}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":22,""endLine"":24}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":26,""endLine"":28}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":30,""endLine"":32}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":34,""endLine"":37}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":39,""endLine"":42}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":44,""endLine"":47}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":55,""endLine"":59}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":61,""endLine"":67}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":75,""endLine"":79}]",11,4
"test/unit/winston/container.test.js","AnonymousTest","[{""startLine"":81,""endLine"":87}]",11,4
"test/unit/winston/container.test.js","IdenticalTestDescription","[{""startLine"":75,""endLine"":79}]",11,4
"test/unit/winston/container.test.js","IdenticalTestDescription","[{""startLine"":81,""endLine"":87}]",11,4
"test/unit/formats/errors.test.js","AnonymousTest","[{""startLine"":39,""endLine"":46}]",12,1
"test/unit/formats/errors.test.js","AnonymousTest","[{""startLine"":138,""endLine"":145}]",12,1
"test/unit/formats/errors.test.js","AnonymousTest","[{""startLine"":164,""endLine"":176}]",12,1
"test/unit/formats/errors.test.js","AnonymousTest","[{""startLine"":200,""endLine"":213}]",12,1
"test/unit/winston/transports/file.test.js","OvercommentedTest","[{""startLine"":248,""endLine"":272}]",12,10
"test/unit/winston/transports/file.test.js","OvercommentedTest","[{""startLine"":274,""endLine"":298}]",12,10
