"file","type","smells","itCount","describeCount"
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":412,""endLine"":438}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":734,""endLine"":742}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":839,""endLine"":845}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":865,""endLine"":868}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":242,""endLine"":267}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":269,""endLine"":294}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":296,""endLine"":321}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":323,""endLine"":348}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":350,""endLine"":379}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":381,""endLine"":410}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":412,""endLine"":438}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":440,""endLine"":465}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":467,""endLine"":487}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":491,""endLine"":529}]",55,18
"test/spec/utils-test.js","IdenticalTestDescription","[{""startLine"":678,""endLine"":706}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":829,""endLine"":829}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":944,""endLine"":944}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":964,""endLine"":964}]",55,18
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":108,""endLine"":112}]",69,22
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":261,""endLine"":264}]",69,22
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":2095,""endLine"":2098}]",69,22
"test/spec/lifecycle-test.js","GeneralFixture","[{""startLine"":80,""endLine"":80}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":390,""endLine"":448}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":473,""endLine"":531}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":810,""endLine"":855}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":857,""endLine"":914}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":916,""endLine"":1041}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1207,""endLine"":1312}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1315,""endLine"":1383}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1844,""endLine"":1903}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2034,""endLine"":2090}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2472,""endLine"":2526}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2528,""endLine"":2582}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2589,""endLine"":2691}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":166,""endLine"":170}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":186,""endLine"":190}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":261,""endLine"":264}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":2095,""endLine"":2098}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":441,""endLine"":447}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":524,""endLine"":530}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":1950,""endLine"":1960}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":1957,""endLine"":1959}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":2086,""endLine"":2089}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":120,""endLine"":120}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":140,""endLine"":140}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":160,""endLine"":160}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":180,""endLine"":180}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":928,""endLine"":928}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1047,""endLine"":1047}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1128,""endLine"":1128}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1215,""endLine"":1215}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1320,""endLine"":1320}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":2151,""endLine"":2151}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":2189,""endLine"":2189}]",69,22
"test/spec/lifecycle-test.js","SubOptimalAssert","[{""startLine"":847,""endLine"":847}]",69,22
"test/spec/lifecycle-test.js","SubOptimalAssert","[{""startLine"":1019,""endLine"":1019}]",69,22
"test/spec/lifecycle-test.js","VerboseStatement","[{""startLine"":390,""endLine"":448}]",69,22
"test/spec/lifecycle-test.js","VerboseStatement","[{""startLine"":473,""endLine"":531}]",69,22
"test/spec/lifecycle-test.js","VerboseStatement","[{""startLine"":916,""endLine"":1041}]",69,22
"test/spec/lifecycle-test.js","VerboseStatement","[{""startLine"":1044,""endLine"":1122}]",69,22
"test/spec/lifecycle-test.js","VerboseStatement","[{""startLine"":2589,""endLine"":2691}]",69,22
"test/spec/fast-horizontal-compactor-test.js","TranscriptingTest","[{""startLine"":315,""endLine"":337}]",28,5
"test/spec/fast-horizontal-compactor-test.js","TranscriptingTest","[{""startLine"":496,""endLine"":530}]",28,5
"test/spec/fast-horizontal-compactor-test.js","TranscriptingTest","[{""startLine"":575,""endLine"":611}]",28,5
"test/spec/fast-horizontal-compactor-test.js","OvercommentedTest","[{""startLine"":402,""endLine"":425}]",28,5
"test/spec/fast-horizontal-compactor-test.js","ConditionalTestLogic","[{""startLine"":512,""endLine"":514}]",28,5
"test/spec/fast-horizontal-compactor-test.js","ConditionalTestLogic","[{""startLine"":513,""endLine"":514}]",28,5
"test/spec/fast-horizontal-compactor-test.js","SubOptimalAssert","[{""startLine"":374,""endLine"":374}]",28,5
"test/spec/fast-horizontal-compactor-test.js","SubOptimalAssert","[{""startLine"":384,""endLine"":384}]",28,5
"test/spec/fast-horizontal-compactor-test.js","SubOptimalAssert","[{""startLine"":417,""endLine"":417}]",28,5
"test/spec/fast-horizontal-compactor-test.js","SubOptimalAssert","[{""startLine"":492,""endLine"":492}]",28,5
"test/spec/fast-compactor-test.js","TranscriptingTest","[{""startLine"":232,""endLine"":254}]",21,5
