"file","type","smells","itCount","describeCount"
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":408,""endLine"":434}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":730,""endLine"":738}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":835,""endLine"":841}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":861,""endLine"":864}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":238,""endLine"":263}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":265,""endLine"":290}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":292,""endLine"":317}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":319,""endLine"":344}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":346,""endLine"":375}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":377,""endLine"":406}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":408,""endLine"":434}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":436,""endLine"":461}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":463,""endLine"":483}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":487,""endLine"":525}]",55,18
"test/spec/utils-test.js","IdenticalTestDescription","[{""startLine"":674,""endLine"":702}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":825,""endLine"":825}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":940,""endLine"":940}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":960,""endLine"":960}]",55,18
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":108,""endLine"":112}]",69,22
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":261,""endLine"":264}]",69,22
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":2069,""endLine"":2072}]",69,22
"test/spec/lifecycle-test.js","GeneralFixture","[{""startLine"":80,""endLine"":80}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":390,""endLine"":448}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":473,""endLine"":531}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":810,""endLine"":855}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":857,""endLine"":914}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1181,""endLine"":1286}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1289,""endLine"":1357}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1818,""endLine"":1877}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2008,""endLine"":2064}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2446,""endLine"":2500}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2502,""endLine"":2556}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2563,""endLine"":2665}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":166,""endLine"":170}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":186,""endLine"":190}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":261,""endLine"":264}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":2069,""endLine"":2072}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":441,""endLine"":447}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":524,""endLine"":530}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":1924,""endLine"":1934}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":1931,""endLine"":1933}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":2060,""endLine"":2063}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":120,""endLine"":120}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":140,""endLine"":140}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":160,""endLine"":160}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":180,""endLine"":180}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":919,""endLine"":919}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1021,""endLine"":1021}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1102,""endLine"":1102}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1189,""endLine"":1189}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1294,""endLine"":1294}]",69,22
