"file","type","smells","itCount","describeCount"
"__tests__/unit.js","AnonymousTest","[{""startLine"":225,""endLine"":247}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":299,""endLine"":312}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":314,""endLine"":326}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":328,""endLine"":345}]",17,2
"__tests__/integration.js","AnonymousTest","[{""startLine"":35,""endLine"":65}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":67,""endLine"":104}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":217,""endLine"":237}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":239,""endLine"":304}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":306,""endLine"":332}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":334,""endLine"":354}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":356,""endLine"":385}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":432,""endLine"":503}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":524,""endLine"":557}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":559,""endLine"":627}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":667,""endLine"":698}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":700,""endLine"":726}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":728,""endLine"":754}]",20,1
"__tests__/integration.js","OvercommentedTest","[{""startLine"":524,""endLine"":557}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":608,""endLine"":609}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":610,""endLine"":611}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":612,""endLine"":613}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":614,""endLine"":615}]",20,1
"__tests__/integration.js","ConditionalTestLogic","[{""startLine"":616,""endLine"":617}]",20,1
"__tests__/integration.js","SubOptimalAssert","[{""startLine"":546,""endLine"":546}]",20,1
"__tests__/integration.js","VerboseStatement","[{""startLine"":432,""endLine"":503}]",20,1
