file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/unit.js,Ignored Test,"{'line': 175, 'column': 9, 'index': 5830}","  173 | }
  174 |
> 175 | describe.skip('forwardResponse: content-type encoding', () => {
      |         ^ Ignored Test
  176 |   test('content-type header missing', async (done) => {
  177 |     const binaryMimeTypes = []
  178 |     const multiValueHeaders = { foo: ['bar'] }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 303, 'column': 32, 'index': 10118}","  301 |       (resolve, reject) => {
  302 |         const context = new MockContext(resolve, reject)
> 303 |         const contextResolver = makeResolver({
      |                                ^ Lazy Test
  304 |           context,
  305 |           resolutionMode: 'CONTEXT'
  306 |         })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 316, 'column': 29, 'index': 10468}","  314 |   test('CALLBACK', () => {
  315 |     const callback = (e, response) => response
> 316 |     const callbackResolver = makeResolver({
      |                             ^ Lazy Test
  317 |       callback,
  318 |       resolutionMode: 'CALLBACK',
  319 |       context: {}"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/unit.js,Lazy Test,"{'line': 334, 'column': 30, 'index': 10866}","  332 |         reject
  333 |       }
> 334 |       const promiseResolver = makeResolver({
      |                              ^ Lazy Test
  335 |         promise,
  336 |         resolutionMode: 'PROMISE'
  337 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 267, 'column': 4, 'index': 8183}","  265 |     const etagRegex = /^W\/.*$/
  266 |     const lastModifiedRegex = /^.* GMT$/
> 267 |     switch (eventSourceName) {
      |    ^ Conditional Test Logic
  268 |       case 'alb':
  269 |       case 'apiGatewayV1':
  270 |         expect(response.multiValueHeaders.etag.length).toEqual(1)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 473, 'column': 4, 'index': 14728}","  471 |     jest.useRealTimers()
  472 |
> 473 |     switch (eventSourceName) {
      |    ^ Conditional Test Logic
  474 |       case 'azureHttpFunctionV4':
  475 |       case 'azureHttpFunctionV3':
  476 |         expectedResponse.cookies = ["
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 517, 'column': 6, 'index': 15686}","  515 |       ]
  516 |
> 517 |       for (const method of mockMethods) { mocks.push(jest.spyOn(global.console, method).mockImplementation()) }
      |      ^ Conditional Test Logic
  518 |     })
  519 |
  520 |     afterEach(() => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 521, 'column': 6, 'index': 15828}","  519 |
  520 |     afterEach(() => {
> 521 |       for (const mock of mocks) mock.mockRestore()
      |      ^ Conditional Test Logic
  522 |     })
  523 |
  524 |     test('custom logger', async () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/serverless-express/__tests__/integration.js,Conditional Test Logic,"{'line': 605, 'column': 2, 'index': 18361}","  603 |   const consoleMethodMap = { error: 'error', warn: 'warn', info: 'info', debug: 'debug' }
  604 |
