"file","type","smells","itCount","describeCount"
"__tests__/unit.js","AnonymousTest","[{""startLine"":225,""endLine"":247}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":299,""endLine"":312}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":314,""endLine"":326}]",17,2
"__tests__/unit.js","AnonymousTest","[{""startLine"":328,""endLine"":345}]",17,2
"__tests__/integration.js","AnonymousTest","[{""startLine"":35,""endLine"":65}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":67,""endLine"":104}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":217,""endLine"":237}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":239,""endLine"":304}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":306,""endLine"":332}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":334,""endLine"":354}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":356,""endLine"":385}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":432,""endLine"":503}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":533,""endLine"":566}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":568,""endLine"":656}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":696,""endLine"":727}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":729,""endLine"":755}]",20,1
"__tests__/integration.js","AnonymousTest","[{""startLine"":757,""endLine"":783}]",20,1
"__tests__/integration.js","OvercommentedTest","[{""startLine"":533,""endLine"":566}]",20,1
"__tests__/integration.js","SubOptimalAssert","[{""startLine"":555,""endLine"":555}]",20,1
"__tests__/integration.js","VerboseStatement","[{""startLine"":432,""endLine"":503}]",20,1
"__tests__/integration.js","VerboseStatement","[{""startLine"":568,""endLine"":656}]",20,1
