"file","type","smells","itCount","describeCount"
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":408,""endLine"":434}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":730,""endLine"":738}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":835,""endLine"":841}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":861,""endLine"":864}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":238,""endLine"":263}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":265,""endLine"":290}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":292,""endLine"":317}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":319,""endLine"":344}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":346,""endLine"":375}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":377,""endLine"":406}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":408,""endLine"":434}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":436,""endLine"":461}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":463,""endLine"":483}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":487,""endLine"":525}]",55,18
"test/spec/utils-test.js","IdenticalTestDescription","[{""startLine"":674,""endLine"":702}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":825,""endLine"":825}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":940,""endLine"":940}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":960,""endLine"":960}]",55,18
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":108,""endLine"":112}]",69,22
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":261,""endLine"":264}]",69,22
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":2068,""endLine"":2071}]",69,22
"test/spec/lifecycle-test.js","GeneralFixture","[{""startLine"":80,""endLine"":80}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":390,""endLine"":448}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":473,""endLine"":531}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":810,""endLine"":855}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":857,""endLine"":914}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":916,""endLine"":1041}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1180,""endLine"":1285}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1288,""endLine"":1356}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1817,""endLine"":1876}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2007,""endLine"":2063}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2445,""endLine"":2499}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2501,""endLine"":2555}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2562,""endLine"":2664}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":166,""endLine"":170}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":186,""endLine"":190}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":261,""endLine"":264}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":2068,""endLine"":2071}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":441,""endLine"":447}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":524,""endLine"":530}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":1923,""endLine"":1933}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":1930,""endLine"":1932}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":2059,""endLine"":2062}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":120,""endLine"":120}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":140,""endLine"":140}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":160,""endLine"":160}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":180,""endLine"":180}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":928,""endLine"":928}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1045,""endLine"":1045}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1101,""endLine"":1101}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1188,""endLine"":1188}]",69,22
