"file","type","smells","itCount","describeCount"
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":793,""endLine"":856}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":858,""endLine"":919}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":921,""endLine"":978}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":980,""endLine"":1047}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1049,""endLine"":1115}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1117,""endLine"":1184}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1186,""endLine"":1247}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1251,""endLine"":1326}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1328,""endLine"":1401}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1403,""endLine"":1475}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1477,""endLine"":1559}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1561,""endLine"":1640}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1642,""endLine"":1718}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1720,""endLine"":1799}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1804,""endLine"":1823}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","AnonymousTest","[{""startLine"":1827,""endLine"":1842}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","IdenticalTestDescription","[{""startLine"":54,""endLine"":62}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","IdenticalTestDescription","[{""startLine"":64,""endLine"":72}]",53,7
"packages/inferno-create-element/__tests__/update.ext.spec.js","IdenticalTestDescription","[{""startLine"":127,""endLine"":151}]",53,7
