file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 45, 'column': 4, 'index': 1236}","  43 |   expect.assertions(2);
  44 |   return promise.then(() => {
> 45 |     expect(dispatch).toBeCalledWith(busy(true));
     |    ^ Duplicate Assert
  46 |     expect(dispatch).toHaveBeenLastCalledWith(busy(false));
  47 |   });
  48 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 46, 'column': 4, 'index': 1285}","  44 |   return promise.then(() => {
  45 |     expect(dispatch).toBeCalledWith(busy(true));
> 46 |     expect(dispatch).toHaveBeenLastCalledWith(busy(false));
     |    ^ Duplicate Assert
  47 |   });
  48 | });
  49 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 65, 'column': 6, 'index': 1926}","  63 |     expect.assertions(2);
  64 |     return promise.then(() => {
> 65 |       expect(dispatch).toBeCalledWith(expect.objectContaining(commit));
     |      ^ Duplicate Assert
  66 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
  67 |     });
  68 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 66, 'column': 6, 'index': 1998}","  64 |     return promise.then(() => {
  65 |       expect(dispatch).toBeCalledWith(expect.objectContaining(commit));
> 66 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
     |      ^ Duplicate Assert
  67 |     });
  68 |   });
  69 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 92, 'column': 6, 'index': 2833}","  90 |     expect.assertions(2);
  91 |     return promise.then(() => {
> 92 |       expect(dispatch).toBeCalledWith(expect.objectContaining(rollback));
     |      ^ Duplicate Assert
  93 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
  94 |     });
  95 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 93, 'column': 6, 'index': 2907}","  91 |     return promise.then(() => {
  92 |       expect(dispatch).toBeCalledWith(expect.objectContaining(rollback));
> 93 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
     |      ^ Duplicate Assert
  94 |     });
  95 |   });
  96 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 106, 'column': 6, 'index': 3386}","  104 |     expect.assertions(2);
  105 |     return promise.then(() => {
> 106 |       expect(dispatch).toBeCalledWith(expect.objectContaining(rollback));
      |      ^ Duplicate Assert
  107 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
  108 |     });
  109 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 107, 'column': 6, 'index': 3460}","  105 |     return promise.then(() => {
  106 |       expect(dispatch).toBeCalledWith(expect.objectContaining(rollback));
> 107 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
      |      ^ Duplicate Assert
  108 |     });
  109 |   });
  110 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 125, 'column': 2, 'index': 3935}","  123 |   await promise;
  124 |
> 125 |   expect(dispatch).toBeCalledWith(expect.objectContaining(rollback));
      |  ^ Duplicate Assert
  126 |   expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
  127 | });;
  128 | });"
