"file","type","smells","itCount","describeCount"
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":408,""endLine"":434}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":730,""endLine"":738}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":835,""endLine"":841}]",55,18
"test/spec/utils-test.js","AnonymousTest","[{""startLine"":861,""endLine"":864}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":238,""endLine"":263}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":265,""endLine"":290}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":292,""endLine"":317}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":319,""endLine"":344}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":346,""endLine"":375}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":377,""endLine"":406}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":408,""endLine"":434}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":436,""endLine"":461}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":463,""endLine"":483}]",55,18
"test/spec/utils-test.js","OvercommentedTest","[{""startLine"":487,""endLine"":525}]",55,18
"test/spec/utils-test.js","IdenticalTestDescription","[{""startLine"":674,""endLine"":702}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":825,""endLine"":825}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":940,""endLine"":940}]",55,18
"test/spec/utils-test.js","SubOptimalAssert","[{""startLine"":960,""endLine"":960}]",55,18
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":108,""endLine"":112}]",69,22
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":261,""endLine"":264}]",69,22
"test/spec/lifecycle-test.js","AnonymousTest","[{""startLine"":2071,""endLine"":2074}]",69,22
"test/spec/lifecycle-test.js","GeneralFixture","[{""startLine"":80,""endLine"":80}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":390,""endLine"":448}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":473,""endLine"":531}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":810,""endLine"":855}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":857,""endLine"":914}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1183,""endLine"":1288}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1291,""endLine"":1359}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":1820,""endLine"":1879}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2010,""endLine"":2066}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2448,""endLine"":2502}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2504,""endLine"":2558}]",69,22
"test/spec/lifecycle-test.js","OvercommentedTest","[{""startLine"":2565,""endLine"":2667}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":166,""endLine"":170}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":186,""endLine"":190}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":261,""endLine"":264}]",69,22
"test/spec/lifecycle-test.js","IdenticalTestDescription","[{""startLine"":2071,""endLine"":2074}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":441,""endLine"":447}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":524,""endLine"":530}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":1926,""endLine"":1936}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":1933,""endLine"":1935}]",69,22
"test/spec/lifecycle-test.js","ConditionalTestLogic","[{""startLine"":2062,""endLine"":2065}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":120,""endLine"":120}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":140,""endLine"":140}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":160,""endLine"":160}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":180,""endLine"":180}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":919,""endLine"":919}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1023,""endLine"":1023}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1104,""endLine"":1104}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1191,""endLine"":1191}]",69,22
"test/spec/lifecycle-test.js","NonFunctionalStatement","[{""startLine"":1296,""endLine"":1296}]",69,22
