file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/slack.test.js,Conditional Test Logic,"{'line': 15, 'column': 10, 'index': 348}","  13 |       beforeEach(async () => {
  14 |         config.get = jest.fn(key => {
> 15 |           switch (key) {
     |          ^ Conditional Test Logic
  16 |             case 'slack.enabled':
  17 |               return false;
  18 |             default:"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/slack.test.js,Conditional Test Logic,"{'line': 36, 'column': 10, 'index': 832}","  34 |
  35 |         config.get = jest.fn(key => {
> 36 |           switch (key) {
     |          ^ Conditional Test Logic
  37 |             case 'slack.enabled':
  38 |               return true;
  39 |             default:"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/mongo.test.js,Duplicate Assert,"{'line': 88, 'column': 8, 'index': 2005}","  86 |
  87 |       it('triggers client.DB', () => {
> 88 |         expect(mockDB).toHaveBeenCalledWith('admin');
     |        ^ Duplicate Assert
  89 |         expect(mockDB).toHaveBeenCalledWith('binance-bot');
  90 |       });
  91 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/mongo.test.js,Duplicate Assert,"{'line': 89, 'column': 8, 'index': 2059}","  87 |       it('triggers client.DB', () => {
  88 |         expect(mockDB).toHaveBeenCalledWith('admin');
> 89 |         expect(mockDB).toHaveBeenCalledWith('binance-bot');
     |        ^ Duplicate Assert
  90 |       });
  91 |
  92 |       it('triggers client.db().command', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/mongo.test.js,Magic Number,"{'line': 50, 'column': 50, 'index': 1082}","  48 |
  49 |       it('triggers process.exit', () => {
> 50 |         expect(process.exit).toHaveBeenCalledWith(1);
     |                                                  ^ Magic Number
  51 |       });
  52 |     });
  53 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/mongo.test.js,Magic Number,"{'line': 150, 'column': 35, 'index': 3598}","  148 |
  149 |     it('returns expected result', () => {
> 150 |       expect(result).toStrictEqual(3);
      |                                   ^ Magic Number
  151 |     });
  152 |   });
  153 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 433, 'column': 8, 'index': 10055}","  431 |
  432 |       it('triggers redis.get', () => {
> 433 |         expect(mockGet).toHaveBeenCalledWith('prefix:key1');
      |        ^ Duplicate Assert
  434 |         expect(mockGet).toHaveBeenCalledWith('prefix:key2');
  435 |       });
  436 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 434, 'column': 8, 'index': 10116}","  432 |       it('triggers redis.get', () => {
  433 |         expect(mockGet).toHaveBeenCalledWith('prefix:key1');
> 434 |         expect(mockGet).toHaveBeenCalledWith('prefix:key2');
      |        ^ Duplicate Assert
  435 |       });
  436 |
  437 |       it('returns expected value', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 470, 'column': 8, 'index': 11129}","  468 |
  469 |       it('triggers redis.scan', () => {
> 470 |         expect(mockScan).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  471 |           '0',
  472 |           'MATCH',
  473 |           'prefix:key*',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 478, 'column': 8, 'index': 11281}","  476 |         );
  477 |
> 478 |         expect(mockScan).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  479 |           '1',
  480 |           'MATCH',
  481 |           'prefix:key*',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 492, 'column': 8, 'index': 11590}","  490 |
  491 |       it('triggers redis.get', () => {
> 492 |         expect(mockGet).toHaveBeenCalledWith('prefix:key1');
      |        ^ Duplicate Assert
  493 |         expect(mockGet).toHaveBeenCalledWith('prefix:key2');
  494 |         expect(mockGet).toHaveBeenCalledWith('prefix:key3');
  495 |         expect(mockGet).toHaveBeenCalledWith('prefix:key4');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 493, 'column': 8, 'index': 11651}","  491 |       it('triggers redis.get', () => {
  492 |         expect(mockGet).toHaveBeenCalledWith('prefix:key1');
> 493 |         expect(mockGet).toHaveBeenCalledWith('prefix:key2');
      |        ^ Duplicate Assert
  494 |         expect(mockGet).toHaveBeenCalledWith('prefix:key3');
  495 |         expect(mockGet).toHaveBeenCalledWith('prefix:key4');
  496 |       });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 494, 'column': 8, 'index': 11712}","  492 |         expect(mockGet).toHaveBeenCalledWith('prefix:key1');
  493 |         expect(mockGet).toHaveBeenCalledWith('prefix:key2');
> 494 |         expect(mockGet).toHaveBeenCalledWith('prefix:key3');
      |        ^ Duplicate Assert
  495 |         expect(mockGet).toHaveBeenCalledWith('prefix:key4');
  496 |       });
  497 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 495, 'column': 8, 'index': 11773}","  493 |         expect(mockGet).toHaveBeenCalledWith('prefix:key2');
  494 |         expect(mockGet).toHaveBeenCalledWith('prefix:key3');
> 495 |         expect(mockGet).toHaveBeenCalledWith('prefix:key4');
      |        ^ Duplicate Assert
  496 |       });
  497 |
  498 |       it('returns expected value', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 627, 'column': 8, 'index': 15029}","  625 |
  626 |       it('triggers redis.del', () => {
> 627 |         expect(mockDel).toHaveBeenCalledWith('prefix:key1');
      |        ^ Duplicate Assert
  628 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
  629 |       });
  630 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 628, 'column': 8, 'index': 15090}","  626 |       it('triggers redis.del', () => {
  627 |         expect(mockDel).toHaveBeenCalledWith('prefix:key1');
> 628 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
      |        ^ Duplicate Assert
  629 |       });
  630 |
  631 |       it('returns expected value', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 661, 'column': 8, 'index': 15987}","  659 |
  660 |       it('triggers redis.scan', () => {
> 661 |         expect(mockScan).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  662 |           '0',
  663 |           'MATCH',
  664 |           'prefix:key*',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 669, 'column': 8, 'index': 16139}","  667 |         );
  668 |
> 669 |         expect(mockScan).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  670 |           '1',
  671 |           'MATCH',
  672 |           'prefix:key*',"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 683, 'column': 8, 'index': 16448}","  681 |
  682 |       it('triggers redis.del', () => {
> 683 |         expect(mockDel).toHaveBeenCalledWith('prefix:key1');
      |        ^ Duplicate Assert
  684 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
  685 |         expect(mockDel).toHaveBeenCalledWith('prefix:key3');
  686 |         expect(mockDel).toHaveBeenCalledWith('prefix:key4');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 684, 'column': 8, 'index': 16509}","  682 |       it('triggers redis.del', () => {
  683 |         expect(mockDel).toHaveBeenCalledWith('prefix:key1');
> 684 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
      |        ^ Duplicate Assert
  685 |         expect(mockDel).toHaveBeenCalledWith('prefix:key3');
  686 |         expect(mockDel).toHaveBeenCalledWith('prefix:key4');
  687 |       });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 685, 'column': 8, 'index': 16570}","  683 |         expect(mockDel).toHaveBeenCalledWith('prefix:key1');
  684 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
> 685 |         expect(mockDel).toHaveBeenCalledWith('prefix:key3');
      |        ^ Duplicate Assert
  686 |         expect(mockDel).toHaveBeenCalledWith('prefix:key4');
  687 |       });
  688 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 686, 'column': 8, 'index': 16631}","  684 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
  685 |         expect(mockDel).toHaveBeenCalledWith('prefix:key3');
> 686 |         expect(mockDel).toHaveBeenCalledWith('prefix:key4');
      |        ^ Duplicate Assert
  687 |       });
  688 |
  689 |       it('returns expected value', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 77, 'column': 64, 'index': 1712}","  75 |
  76 |       it('triggers lock', () => {
> 77 |         expect(mockLock).toHaveBeenCalledWith('redlock:my-key', 1000);
     |                                                                ^ Magic Number
  78 |       });
  79 |
  80 |       it('does not trigger setex', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 103, 'column': 64, 'index': 2370}","  101 |
  102 |       it('triggers lock', () => {
> 103 |         expect(mockLock).toHaveBeenCalledWith('redlock:my-key', 1000);
      |                                                                ^ Magic Number
  104 |       });
  105 |
