FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/slack.test.js,5,1,100,93,20,21.505,0.58,16.786,29224.876,277,1623.604,78,1741.056,119.009,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/mongo.test.js,41,2,872,876,127,14.498,5.949,43.154,770141.373,2417,42785.632,167,17846.413,109.926,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/cache.test.js,64,2,730,822,188,22.871,5.119,45.067,692133.645,2139,38451.869,145,15357.826,119.018,0,0,16,0,0,0,0,0,0,18,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/helpers/__tests__/binance.test.js,4,1,74,77,17,22.078,0.389,14.477,16888.868,200,938.27,57,1166.578,120.345,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-update-last-buy-price.test.js,14,1,354,304,42,13.816,2.149,41.25,265924.503,935,14773.583,119,6446.655,104.641,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-trigger-sell.test.js,3,1,83,75,14,18.667,0.446,11.895,15912.385,219,884.021,69,1337.767,114.774,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-trigger-buy.test.js,3,1,85,77,14,18.182,0.461,11.898,16463.603,225,914.645,71,1383.693,114.231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-setting-update.test.js,4,1,362,280,15,5.357,2.02,33.194,201185.392,873,11176.966,123,6060.815,86.482,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-setting-delete.test.js,3,1,80,71,14,19.718,0.405,12.48,15158.907,204,842.162,62,1214.656,115.828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-grid-trade-delete.test.js,20,1,337,307,47,15.309,2.015,36.657,221627.1,912,12312.617,99,6045.973,109.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/symbol-enable-action.test.js,3,1,77,71,14,19.718,0.405,12.48,15158.907,204,842.162,62,1214.656,115.828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/setting-update.test.js,19,2,850,689,36,5.225,5.331,55.8,892369.532,2171,49576.085,165,15992.286,87.4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/manual-trade.test.js,3,1,87,78,13,16.667,0.475,11.705,16663.819,230,925.768,73,1423.66,112.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/manual-trade-all-symbols.test.js,10,1,467,365,40,10.959,2.82,32.638,276135.77,1138,15340.876,173,8460.607,102.196,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/latest.test.js,5,1,546,492,43,8.74,3.747,31.907,358661.38,1482,19925.632,192,11240.914,96.392,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/handlers/__tests__/cancel-order.test.js,3,1,87,80,13,16.25,0.49,11.714,17220.014,236,956.667,75,1470.001,111.567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/websocket/__tests__/configure.test.js,32,1,823,761,94,12.352,6.336,56.647,1076676.326,2415,59815.351,234,19006.931,104.26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/webserver/handlers/__tests__/symbol-delete.test.js,9,1,203,178,24,13.483,1.221,17.143,62776.016,540,3487.556,110,3661.934,111.627,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/binance-trading-bot/app/frontend/webserver/handlers/__tests__/restore-post.test.js,9,1,249,238,40,16.807,1.468,30.153,132803.003,647,7377.945,112,4404.359,112.208,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
