"file","type","smells","itCount","describeCount"
"test/specs/scale.time.tests.js","IdenticalTestDescription","[{""startLine"":704,""endLine"":717}]",52,21
"test/specs/scale.time.tests.js","IdenticalTestDescription","[{""startLine"":718,""endLine"":731}]",52,21
"test/specs/scale.time.tests.js","IdenticalTestDescription","[{""startLine"":732,""endLine"":743}]",52,21
"test/specs/scale.time.tests.js","SubOptimalAssert","[{""startLine"":52,""endLine"":52}]",52,21
"test/specs/scale.time.tests.js","SubOptimalAssert","[{""startLine"":57,""endLine"":57}]",52,21
"test/specs/scale.time.tests.js","SubOptimalAssert","[{""startLine"":1028,""endLine"":1028}]",52,21
"test/specs/scale.time.tests.js","SubOptimalAssert","[{""startLine"":1029,""endLine"":1029}]",52,21
"test/specs/scale.time.tests.js","SubOptimalAssert","[{""startLine"":1050,""endLine"":1050}]",52,21
"test/specs/scale.time.tests.js","SubOptimalAssert","[{""startLine"":1051,""endLine"":1051}]",52,21
"test/specs/scale.time.tests.js","VerboseStatement","[{""startLine"":1010,""endLine"":1031}]",52,21
"test/specs/scale.time.tests.js","VerboseStatement","[{""startLine"":1032,""endLine"":1053}]",52,21
"test/specs/scale.radialLinear.tests.js","ConditionalTestLogic","[{""startLine"":636,""endLine"":640}]",23,2
"test/specs/scale.radialLinear.tests.js","ConditionalTestLogic","[{""startLine"":638,""endLine"":640}]",23,2
"test/specs/scale.radialLinear.tests.js","SubOptimalAssert","[{""startLine"":11,""endLine"":11}]",23,2
"test/specs/scale.logarithmic.tests.js","AnonymousTest","[{""startLine"":8,""endLine"":12}]",27,8
"test/specs/scale.logarithmic.tests.js","IdenticalTestDescription","[{""startLine"":1128,""endLine"":1154}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":10,""endLine"":10}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":73,""endLine"":73}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":77,""endLine"":77}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":81,""endLine"":81}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":85,""endLine"":85}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":133,""endLine"":133}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":137,""endLine"":137}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":141,""endLine"":141}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":145,""endLine"":145}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":191,""endLine"":191}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":195,""endLine"":195}]",27,8
"test/specs/scale.logarithmic.tests.js","SubOptimalAssert","[{""startLine"":232,""endLine"":232}]",27,8
