FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/scale.time.tests.js,52,4,1337,1568,109,6.952,20.347,91.411,5579901.85,6637,309994.547,587,61041.927,89.151,0,11,4,0,0,0,155,0,0,5,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/scale.radialLinear.tests.js,23,4,657,565,50,8.85,8.16,74.148,1815207.705,2991,100844.872,291,24480.962,91.717,0,6,19,0,0,0,31,0,0,18,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/scale.logarithmic.tests.js,27,4,1209,1075,58,5.395,13.838,80.912,3359075.149,4970,186615.286,327,41515.14,83.944,0,1,46,0,0,0,70,0,0,76,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/scale.linear.tests.js,45,3,1399,1211,53,4.377,16.235,71.646,3489444.384,5749,193858.021,355,48703.661,82.367,0,0,63,0,0,0,65,0,0,68,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/scale.category.tests.js,19,4,572,557,25,4.488,5.737,63.552,1093868.857,2295,60770.492,181,17212.146,82.454,0,2,22,0,0,0,42,0,0,21,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/plugin.tooltip.tests.js,30,5,1952,1841,85,4.617,21.841,148.982,9761667.58,7540,542314.866,413,65522.585,80.081,0,5,49,0,0,1,94,0,0,15,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/plugin.title.tests.js,10,3,359,292,13,4.452,3.323,39.164,390378.271,1415,21687.682,132,9967.818,85.329,0,0,25,0,0,0,22,0,0,12,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/plugin.legend.tests.js,25,3,1186,987,48,4.863,9.981,85.88,2571603.52,3751,142866.862,253,29944.209,82.986,0,0,12,0,0,0,40,0,0,6,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/plugin.filler.tests.js,12,2,300,221,19,8.597,1.98,31.006,184161.966,894,10231.22,100,5939.607,98.742,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/plugin.decimation.tests.js,5,3,220,181,10,5.525,1.515,39.13,177845.388,711,9880.299,84,4544.938,88.445,0,1,0,0,0,0,4,0,0,3,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/platform.dom.tests.js,21,2,433,407,37,9.091,3.792,27.785,316079.509,1476,17559.973,209,11376.062,101.193,0,0,13,0,0,0,42,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/platform.basic.tests.js,5,1,101,101,12,11.881,0.955,23.671,67804.275,435,3766.904,96,2864.459,101.012,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.options.tests.js,29,2,257,562,40,7.117,4.371,54.664,716826.72,1853,39823.707,135,13113.339,94.695,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.math.tests.js,12,3,142,262,15,5.725,2.678,42.854,344332.043,1132,19129.558,137,8034.972,88.899,0,1,0,0,0,0,5,0,0,26,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.easing.tests.js,0,2,62,58,7,12.069,2.406,12.646,91267.844,875,5070.436,304,7216.937,101.159,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.dom.tests.js,22,4,549,587,29,4.94,6.709,93.137,1874437.42,2707,104135.412,173,20125.539,83.669,0,1,3,0,0,0,32,0,0,12,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.curve.tests.js,2,1,184,172,5,2.907,1.215,23.841,86865.185,578,4825.844,79,3643.585,80.295,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.core.tests.js,53,3,510,988,84,8.502,9.676,59.253,1720022.718,3626,95556.818,257,29028.395,97.119,0,0,8,0,0,0,55,0,0,11,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.config.tests.js,31,2,878,907,76,8.379,9.224,80.565,2229286.414,3406,123849.245,279,27670.757,94.251,0,0,12,0,0,0,0,0,0,13,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.color.tests.js,4,1,48,61,11,18.033,0.429,13.602,17492.13,212,971.785,67,1286.011,116.074,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/helpers.canvas.tests.js,14,2,356,357,20,5.602,3.614,28.081,304469.141,1494,16914.952,153,10842.537,91.375,0,0,0,0,0,0,29,0,0,6,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/global.defaults.tests.js,5,2,199,174,9,5.172,1.548,23.232,107906.079,712,5994.782,92,4644.776,90.898,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/element.point.tests.js,4,1,70,64,6,9.375,0.439,13.071,17202.035,232,955.669,51,1316.003,105.426,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/element.line.tests.js,2,1,36,31,5,16.129,0.264,8.125,6431.127,134,357.285,60,791.523,116.957,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/element.bar.tests.js,3,1,68,69,5,7.246,0.468,20.468,28756.953,264,1597.608,40,1404.989,98.873,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/element.arc.tests.js,12,4,307,292,16,5.479,2.636,81.723,646143.584,1180,35896.866,104,7906.519,84.926,0,4,14,0,0,0,20,0,0,21,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.ticks.tests.js,4,1,111,116,13,11.207,1.179,20.963,74158.72,541,4119.929,93,3537.685,105.964,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.scale.tests.js,28,4,901,784,69,8.801,8.915,68.684,1836906.315,3252,102050.351,299,26744.453,95.864,0,1,6,0,0,0,44,0,0,26,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.registry.tests.js,15,2,270,341,40,11.73,3.356,47.563,478869.473,1443,26603.86,126,10068.215,104.169,0,0,38,0,0,0,0,0,0,16,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.plugin.tests.js,19,3,511,569,69,12.127,5.306,48.136,766263.703,2185,42570.206,156,15918.604,104.964,0,0,11,0,0,0,38,0,0,4,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.layouts.tests.js,12,3,573,521,21,4.031,6.475,58.802,1142273.698,2582,63459.65,184,19425.837,79.623,0,0,8,0,0,0,28,0,0,17,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.interaction.tests.js,29,3,1026,1015,96,9.458,11.393,157.635,5387841.438,4582,299324.524,176,34179.116,94.963,0,2,10,0,0,0,134,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.helpers.tests.js,2,2,25,33,6,18.182,0.193,6.759,3913.455,112,217.414,36,579.032,121.22,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.element.tests.js,1,1,17,39,5,12.821,0.243,16.5,12017.91,142,667.662,35,728.358,111.099,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.defaults.tests.js,3,1,39,46,7,15.217,0.372,14.4,16051.596,225,891.755,31,1114.694,114.037,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.datasetController.tests.js,35,4,1311,1495,81,5.418,17.231,93.136,4814409.988,6147,267467.222,340,51692.526,85.397,0,5,107,0,0,0,58,0,0,33,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.controller.tests.js,85,5,2340,2196,168,7.65,26.959,124.822,10095265.916,9012,560848.106,503,80877.424,91.48,0,3,165,0,0,0,152,0,0,35,0,0,0,0,5,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.animator.tests.js,2,1,49,43,6,13.953,0.336,11.48,11571.84,168,642.88,64,1008,113.224,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.animations.tests.js,8,2,176,212,18,8.491,1.638,36.19,177859.469,789,9881.082,75,4914.538,99.589,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/core.animation.tests.js,6,2,87,120,9,7.5,1.114,25.259,84414.742,549,4689.708,68,3342.017,97.757,0,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/controller.scatter.tests.js,6,3,206,157,8,5.096,1.306,26,101850.051,608,5658.336,87,3917.31,90.451,0,0,4,0,0,0,8,0,0,1,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/controller.radar.tests.js,13,4,456,501,20,3.992,6.162,46.952,868000.346,2414,48222.241,202,18486.923,82.302,0,3,43,0,0,0,24,0,0,27,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/controller.polarArea.tests.js,12,4,397,426,19,4.46,5.337,67.603,1082312.195,2151,60128.455,174,16009.771,82.054,0,3,37,0,0,0,21,0,0,19,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/controller.line.tests.js,34,4,1207,1202,56,4.659,15.078,130.047,5882379.325,5481,326798.851,305,45232.859,80.647,0,12,63,0,0,0,75,0,0,49,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/controller.doughnut.tests.js,12,4,448,467,20,4.283,5.922,67.278,1195287.35,2347,66404.853,190,17766.451,82.347,0,4,75,0,0,0,20,0,0,38,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/chart.js/test/specs/controller.bubble.tests.js,11,4,427,407,17,4.177,4.653,65.171,909817.472,1902,50545.415,162,13960.395,81.069,0,2,43,0,0,0,19,0,0,19,0,0,0,0,0,0
