file,type,line,method,source
/test/app/models/SuperModel.spec.js,SubOptimalAssert,"{'startLine':89,'endLine':89}","it('automatically retries stalled requests', function() {
        const s = new SuperModel();
        const m = new User({_id: '12345'});
        s.loadModel(m);
        let timeUntilRetry = 5000;

        // Retry request 5 times
        for (let timesTried = 1; timesTried <= 5; timesTried++) {
          expect(s.failed).toBeFalsy();
          expect(s.resources[1].loadsAttempted).toBe(timesTried);
          expect(jasmine.Ajax.requests.all().length).toBe(timesTried);
          jasmine.clock().tick(timeUntilRetry);
          timeUntilRetry *= 1.5;
        }

        // And then stop retrying
        expect(s.resources[1].loadsAttempted).toBe(5);
        expect(jasmine.Ajax.requests.all().length).toBe(5);
        return expect(s.failed).toBe(true);
      })",snuts
/test/app/models/SuperModel.spec.js,SubOptimalAssert,"{'startLine':96,'endLine':96}","it('automatically retries stalled requests', function() {
        const s = new SuperModel();
        const m = new User({_id: '12345'});
        s.loadModel(m);
        let timeUntilRetry = 5000;

        // Retry request 5 times
        for (let timesTried = 1; timesTried <= 5; timesTried++) {
          expect(s.failed).toBeFalsy();
          expect(s.resources[1].loadsAttempted).toBe(timesTried);
          expect(jasmine.Ajax.requests.all().length).toBe(timesTried);
          jasmine.clock().tick(timeUntilRetry);
          timeUntilRetry *= 1.5;
        }

        // And then stop retrying
        expect(s.resources[1].loadsAttempted).toBe(5);
        expect(jasmine.Ajax.requests.all().length).toBe(5);
        return expect(s.failed).toBe(true);
      })",snuts
/test/app/models/SuperModel.spec.js,SubOptimalAssert,"{'startLine':109,'endLine':109}","it('stops retrying once the model loads', function(done) {
        const s = new SuperModel();
        const m = new User({_id: '12345'});
        s.loadModel(m);
        let timeUntilRetry = 5000;
        // Retry request 2 times
        for (let timesTried = 1; timesTried <= 2; timesTried++) {
          expect(s.failed).toBeFalsy();
          expect(s.resources[1].loadsAttempted).toBe(timesTried);
          expect(jasmine.Ajax.requests.all().length).toBe(timesTried);
          jasmine.clock().tick(timeUntilRetry);
          timeUntilRetry *= 1.5;
        }

        // Respond to the third reqest
        expect(s.finished()).toBeFalsy();
        expect(s.failed).toBeFalsy();
        const request = jasmine.Ajax.requests.mostRecent();
        request.respondWith({status: 200, responseText: JSON.stringify(factories.makeUser({ _id: '12345' }).attributes)});

        return _.defer(function() {
          expect(s.finished()).toBe(true);
          expect(s.failed).toBeFalsy();

          // It shouldn't send any more requests after loading
          expect(s.resources[1].loadsAttempted).toBe(3);
          expect(jasmine.Ajax.requests.all().length).toBe(3);
          jasmine.clock().tick(60000);
          expect(s.resources[1].loadsAttempted).toBe(3);
          expect(jasmine.Ajax.requests.all().length).toBe(3);
          return done();
        });
      })",snuts
/test/app/models/SuperModel.spec.js,SubOptimalAssert,"{'startLine':126,'endLine':126}","it('stops retrying once the model loads', function(done) {
        const s = new SuperModel();
        const m = new User({_id: '12345'});
        s.loadModel(m);
        let timeUntilRetry = 5000;
        // Retry request 2 times
        for (let timesTried = 1; timesTried <= 2; timesTried++) {
          expect(s.failed).toBeFalsy();
          expect(s.resources[1].loadsAttempted).toBe(timesTried);
          expect(jasmine.Ajax.requests.all().length).toBe(timesTried);
          jasmine.clock().tick(timeUntilRetry);
          timeUntilRetry *= 1.5;
        }

        // Respond to the third reqest
        expect(s.finished()).toBeFalsy();
        expect(s.failed).toBeFalsy();
        const request = jasmine.Ajax.requests.mostRecent();
        request.respondWith({status: 200, responseText: JSON.stringify(factories.makeUser({ _id: '12345' }).attributes)});

        return _.defer(function() {
          expect(s.finished()).toBe(true);
          expect(s.failed).toBeFalsy();

          // It shouldn't send any more requests after loading
          expect(s.resources[1].loadsAttempted).toBe(3);
          expect(jasmine.Ajax.requests.all().length).toBe(3);
          jasmine.clock().tick(60000);
          expect(s.resources[1].loadsAttempted).toBe(3);
          expect(jasmine.Ajax.requests.all().length).toBe(3);
          return done();
        });
      })",snuts
/test/app/models/SuperModel.spec.js,SubOptimalAssert,"{'startLine':129,'endLine':129}","it('stops retrying once the model loads', function(done) {
        const s = new SuperModel();
        const m = new User({_id: '12345'});
        s.loadModel(m);
        let timeUntilRetry = 5000;
        // Retry request 2 times
        for (let timesTried = 1; timesTried <= 2; timesTried++) {
          expect(s.failed).toBeFalsy();
          expect(s.resources[1].loadsAttempted).toBe(timesTried);
          expect(jasmine.Ajax.requests.all().length).toBe(timesTried);
          jasmine.clock().tick(timeUntilRetry);
          timeUntilRetry *= 1.5;
        }

        // Respond to the third reqest
        expect(s.finished()).toBeFalsy();
        expect(s.failed).toBeFalsy();
        const request = jasmine.Ajax.requests.mostRecent();
        request.respondWith({status: 200, responseText: JSON.stringify(factories.makeUser({ _id: '12345' }).attributes)});

        return _.defer(function() {
          expect(s.finished()).toBe(true);
          expect(s.failed).toBeFalsy();

          // It shouldn't send any more requests after loading
          expect(s.resources[1].loadsAttempted).toBe(3);
          expect(jasmine.Ajax.requests.all().length).toBe(3);
          jasmine.clock().tick(60000);
          expect(s.resources[1].loadsAttempted).toBe(3);
          expect(jasmine.Ajax.requests.all().length).toBe(3);
          return done();
        });
      })",snuts
/test/app/models/InteractiveSession.spec.js,AnonymousTest,"{'startLine':8,'endLine':13}","it('compiles successfully', () => {
    const ajv = new Ajv(getAjvOptions())
    const validate = ajv.compile(schemaObject)
    expect(typeof validate).toBe('function')
    expect(ajv.errors).toBe(null)
  })",snuts
/test/app/models/InteractiveSession.spec.js,SubOptimalAssert,"{'startLine':12,'endLine':12}","it('compiles successfully', () => {
    const ajv = new Ajv(getAjvOptions())
    const validate = ajv.compile(schemaObject)
    expect(typeof validate).toBe('function')
    expect(ajv.errors).toBe(null)
  })",snuts
/test/app/models/InteractiveSession.spec.js,SubOptimalAssert,"{'startLine':21,'endLine':21}","it('validates a correct object', () => {
    const ajv = new Ajv(getAjvOptions())
    const valid = ajv.validate(schemaObject, testObject)
    expect(valid).toBe(true)
    expect(ajv.errors).toBe(null)
  })",snuts
/test/app/models/Interactive.spec.js,AnonymousTest,"{'startLine':21,'endLine':26}","it('compiles successfully', () => {
    const ajv = new Ajv(getAjvOptions())
    const validate = ajv.compile(schemaObject)
    expect(typeof validate).toBe('function')
    expect(ajv.errors).toBe(null)
  })",snuts
/test/app/models/Interactive.spec.js,SubOptimalAssert,"{'startLine':25,'endLine':25}","it('compiles successfully', () => {
    const ajv = new Ajv(getAjvOptions())
    const validate = ajv.compile(schemaObject)
    expect(typeof validate).toBe('function')
    expect(ajv.errors).toBe(null)
  })",snuts
