"file","type","smells","itCount","describeCount"
"test/app/models/SuperModel.spec.js","SubOptimalAssert","[{""startLine"":89,""endLine"":89}]",9,6
"test/app/models/SuperModel.spec.js","SubOptimalAssert","[{""startLine"":96,""endLine"":96}]",9,6
"test/app/models/SuperModel.spec.js","SubOptimalAssert","[{""startLine"":109,""endLine"":109}]",9,6
"test/app/models/SuperModel.spec.js","SubOptimalAssert","[{""startLine"":126,""endLine"":126}]",9,6
"test/app/models/SuperModel.spec.js","SubOptimalAssert","[{""startLine"":129,""endLine"":129}]",9,6
"test/app/models/InteractiveSession.spec.js","AnonymousTest","[{""startLine"":8,""endLine"":13}]",4,9
"test/app/models/InteractiveSession.spec.js","SubOptimalAssert","[{""startLine"":12,""endLine"":12}]",4,9
"test/app/models/InteractiveSession.spec.js","SubOptimalAssert","[{""startLine"":21,""endLine"":21}]",4,9
"test/app/models/Interactive.spec.js","AnonymousTest","[{""startLine"":21,""endLine"":26}]",4,13
"test/app/models/Interactive.spec.js","SubOptimalAssert","[{""startLine"":25,""endLine"":25}]",4,13
"test/app/models/Interactive.spec.js","SubOptimalAssert","[{""startLine"":34,""endLine"":34}]",4,13
"test/app/models/CourseInstance.spec.js","IdenticalTestDescription","[{""startLine"":20,""endLine"":23}]",3,4
"test/app/models/CourseInstance.spec.js","IdenticalTestDescription","[{""startLine"":25,""endLine"":28}]",3,4
"test/app/models/CocoModel.spec.js","ConditionalTestLogic","[{""startLine"":159,""endLine"":161}]",12,5
"test/app/models/CocoModel.spec.js","ConditionalTestLogic","[{""startLine"":168,""endLine"":170}]",12,5
"test/app/models/CocoModel.spec.js","VerboseStatement","[{""startLine"":38,""endLine"":54}]",12,5
"test/app/models/ClassroomLib.spec.js","IdenticalTestDescription","[{""startLine"":62,""endLine"":71}]",12,2
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":80,""endLine"":86}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":88,""endLine"":94}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":96,""endLine"":102}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":104,""endLine"":110}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":112,""endLine"":118}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":120,""endLine"":126}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":128,""endLine"":134}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":136,""endLine"":142}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":144,""endLine"":150}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":152,""endLine"":158}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":160,""endLine"":166}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":168,""endLine"":174}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":176,""endLine"":185}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":187,""endLine"":193}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":195,""endLine"":203}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":205,""endLine"":211}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":213,""endLine"":219}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":221,""endLine"":227}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":229,""endLine"":235}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":237,""endLine"":240}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":242,""endLine"":245}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":247,""endLine"":252}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":254,""endLine"":259}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":261,""endLine"":267}]",31,4
"test/app/models/Cinematic.spec.js","AnonymousTest","[{""startLine"":269,""endLine"":282}]",31,4
"test/app/lib/translate_utils.spec.js","IdenticalTestDescription","[{""startLine"":1064,""endLine"":1065}]",25,13
