FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/signUpConfig.spec.js,5,2,122,110,21,19.091,0.913,26.833,73479.566,441,4082.198,74,2738.369,111.908,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/components/sign-up/PageEducatorSignup.spec.js,2,2,52,44,8,18.182,0.269,10.577,8536.332,143,474.241,50,807.071,113.605,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/ozaria/site/common/ozariaUtils.spec.js,7,2,160,210,22,10.476,1.755,58.329,307119.934,796,17062.219,98,5265.309,96.495,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/app/views/teachers/TeacherClassView.spec.js,13,5,463,771,76,9.857,9.326,76.974,2153575.71,3406,119643.095,297,27977.971,92.83,0,18,11,0,0,0,4,0,0,5,0,0,0,0,0,2
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/app/views/teachers/ShareLicensesModal.spec.js,2,1,111,173,23,13.295,1.797,36.701,197877.998,769,10993.222,129,5391.634,102.272,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/app/views/teachers/RequestQuoteView.spec.js,16,3,284,424,55,12.972,3.821,33.163,380168.727,1472,21120.485,221,11463.793,105.295,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/app/views/teachers/EditStudentModal.spec.js,5,2,89,123,19,15.447,0.863,19.466,50417.533,402,2800.974,87,2590.063,105.955,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/app/views/teachers/CreateTeacherAccountView.spec.js,21,3,409,622,77,12.379,6.024,50.181,906816.155,2251,50378.675,261,18070.816,102.835,0,4,8,0,0,0,0,0,0,3,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/app/views/teachers/ConvertToTeacherAccountView.spec.js,15,1,254,380,48,12.632,3.6,27,291612.374,1409,16200.687,203,10800.458,104.934,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/codecombat/test/app/views/teachers/BaseSingleClass.spec.js,7,1,305,305,35,11.475,2.284,29.618,202984.931,994,11276.941,119,6853.449,97.634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
