file,type,line,method,source
/test/utils.test.js,AnonymousTest,"{'startLine':7,'endLine':23}","it('PrettyUnit', () => {
  expect(prettyUnit('Days')).toBe('day')
  expect(prettyUnit('days')).toBe('day')
  expect(prettyUnit('day')).toBe('day')
  expect(prettyUnit('quarter')).toBe('quarter')
  expect(prettyUnit('quarters')).toBe('quarter')
  expect(prettyUnit('D')).toBe('date')
  expect(prettyUnit('d')).toBe('day')
  expect(prettyUnit('M')).toBe('month')
  expect(prettyUnit('y')).toBe('year')
  expect(prettyUnit('h')).toBe('hour')
  expect(prettyUnit('m')).toBe('minute')
  expect(prettyUnit('s')).toBe('second')
  expect(prettyUnit('ms')).toBe('millisecond')
  expect(prettyUnit('Q')).toBe('quarter')
  expect(prettyUnit()).toBe('')
})",snuts
/test/utils.test.js,AnonymousTest,"{'startLine':25,'endLine':39}","it('PadZoneStr', () => {
  const instance = {}
  instance.utcOffset = () => 0 * -1
  expect(padZoneStr(instance)).toBe('+00:00')
  instance.utcOffset = () => 1 * 60 * -1
  expect(padZoneStr(instance)).toBe('-01:00')
  instance.utcOffset = () => -1 * 60 * -1
  expect(padZoneStr(instance)).toBe('+01:00')
  instance.utcOffset = () => -10 * 60 * -1
  expect(padZoneStr(instance)).toBe('+10:00')
  instance.utcOffset = () => 10 * 60 * -1
  expect(padZoneStr(instance)).toBe('-10:00')
  instance.utcOffset = () => ((-5 * 60) - 30) * -1
  expect(padZoneStr(instance)).toBe('+05:30')
})",snuts
/test/utils.test.js,AnonymousTest,"{'startLine':41,'endLine':44}","it('PadStart', () => {
  expect(padStart(1, 2, '0')).toBe('01')
  expect(padStart(0, 2, '0')).toBe('00')
})",snuts
/test/utils.test.js,VerboseStatement,"{'startLine':7,'endLine':23}","it('PrettyUnit', () => {
  expect(prettyUnit('Days')).toBe('day')
  expect(prettyUnit('days')).toBe('day')
  expect(prettyUnit('day')).toBe('day')
  expect(prettyUnit('quarter')).toBe('quarter')
  expect(prettyUnit('quarters')).toBe('quarter')
  expect(prettyUnit('D')).toBe('date')
  expect(prettyUnit('d')).toBe('day')
  expect(prettyUnit('M')).toBe('month')
  expect(prettyUnit('y')).toBe('year')
  expect(prettyUnit('h')).toBe('hour')
  expect(prettyUnit('m')).toBe('minute')
  expect(prettyUnit('s')).toBe('second')
  expect(prettyUnit('ms')).toBe('millisecond')
  expect(prettyUnit('Q')).toBe('quarter')
  expect(prettyUnit()).toBe('')
})",snuts
/test/timezone.test.js,AnonymousTest,"{'startLine':28,'endLine':30}","it('Utc Offset', () => {
  expect(dayjs().utcOffset()).toBe(moment().utcOffset())
})",snuts
/test/timezone.test.js,AnonymousTest,"{'startLine':32,'endLine':43}","it('Diff (DST)', () => {
  const day = '2018-10-28'
  const dayjsA = dayjs(day)
  const dayjsB = dayjs(day).add(-1000, 'days')
  const momentA = moment(day)
  const momentB = moment(day).add(-1000, 'days')
  const units = ['seconds', 'minutes', 'hours', 'days', 'weeks', 'months', 'quarters', 'years']
  units.forEach((unit) => {
    expect(dayjsA.diff(dayjsB, unit)).toBe(momentA.diff(momentB, unit))
    expect(dayjsA.diff(dayjsB, unit, true)).toBe(momentA.diff(momentB, unit, true))
  })
})",snuts
/test/query.test.js,AnonymousTest,"{'startLine':26,'endLine':33}","it('No value', () => {
    const dayA = dayjs()
    const dayB = dayA.clone().add(1, 'day')
    const dayC = dayA.clone().subtract(1, 'day')
    expect(dayA.isSame()).toBe(true)
    expect(dayB.isAfter()).toBe(true)
    expect(dayC.isBefore()).toBe(true)
  })",snuts
/test/query.test.js,AnonymousTest,"{'startLine':35,'endLine':40}","it('With string', () => {
    const dayD = dayjs()
    expect(dayD.isSame('20180101')).toBe(false)
    expect(dayD.isAfter('20180101')).toBe(true)
    expect(dayD.isBefore('20180101')).toBe(false)
  })",snuts
/test/parse.test.js,AnonymousTest,"{'startLine':15,'endLine':17}","it('Now', () => {
    expect(dayjs().valueOf()).toBe(moment().valueOf())
  })",snuts
/test/parse.test.js,AnonymousTest,"{'startLine':122,'endLine':124}","it('Number 0', () => {
  expect(dayjs(0).valueOf()).toBe(moment(0).valueOf())
})",snuts
