file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/utils.test.js,Duplicate Assert,"{'line': 28, 'column': 2, 'index': 845}","  26 |   const instance = {}
  27 |   instance.utcOffset = () => 0 * -1
> 28 |   expect(padZoneStr(instance)).toBe('+00:00')
     |  ^ Duplicate Assert
  29 |   instance.utcOffset = () => 1 * 60 * -1
  30 |   expect(padZoneStr(instance)).toBe('-01:00')
  31 |   instance.utcOffset = () => -1 * 60 * -1"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/utils.test.js,Duplicate Assert,"{'line': 30, 'column': 2, 'index': 932}","  28 |   expect(padZoneStr(instance)).toBe('+00:00')
  29 |   instance.utcOffset = () => 1 * 60 * -1
> 30 |   expect(padZoneStr(instance)).toBe('-01:00')
     |  ^ Duplicate Assert
  31 |   instance.utcOffset = () => -1 * 60 * -1
  32 |   expect(padZoneStr(instance)).toBe('+01:00')
  33 |   instance.utcOffset = () => -10 * 60 * -1"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/utils.test.js,Duplicate Assert,"{'line': 32, 'column': 2, 'index': 1020}","  30 |   expect(padZoneStr(instance)).toBe('-01:00')
  31 |   instance.utcOffset = () => -1 * 60 * -1
> 32 |   expect(padZoneStr(instance)).toBe('+01:00')
     |  ^ Duplicate Assert
  33 |   instance.utcOffset = () => -10 * 60 * -1
  34 |   expect(padZoneStr(instance)).toBe('+10:00')
  35 |   instance.utcOffset = () => 10 * 60 * -1"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/utils.test.js,Duplicate Assert,"{'line': 34, 'column': 2, 'index': 1109}","  32 |   expect(padZoneStr(instance)).toBe('+01:00')
  33 |   instance.utcOffset = () => -10 * 60 * -1
> 34 |   expect(padZoneStr(instance)).toBe('+10:00')
     |  ^ Duplicate Assert
  35 |   instance.utcOffset = () => 10 * 60 * -1
  36 |   expect(padZoneStr(instance)).toBe('-10:00')
  37 |   instance.utcOffset = () => ((-5 * 60) - 30) * -1"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/utils.test.js,Duplicate Assert,"{'line': 36, 'column': 2, 'index': 1197}","  34 |   expect(padZoneStr(instance)).toBe('+10:00')
  35 |   instance.utcOffset = () => 10 * 60 * -1
> 36 |   expect(padZoneStr(instance)).toBe('-10:00')
     |  ^ Duplicate Assert
  37 |   instance.utcOffset = () => ((-5 * 60) - 30) * -1
  38 |   expect(padZoneStr(instance)).toBe('+05:30')
  39 | })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/utils.test.js,Duplicate Assert,"{'line': 38, 'column': 2, 'index': 1294}","  36 |   expect(padZoneStr(instance)).toBe('-10:00')
  37 |   instance.utcOffset = () => ((-5 * 60) - 30) * -1
> 38 |   expect(padZoneStr(instance)).toBe('+05:30')
     |  ^ Duplicate Assert
  39 | })
  40 |
  41 | it('PadStart', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 22, 'column': 4, 'index': 503}","  20 |     global.console.warn = jest.genMockFunction()// moment.js '2018-4-1 1:1:1:22' will throw warn
  21 |     let d = '20130108'
> 22 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
     |    ^ Duplicate Assert
  23 |     d = '2018-04-24'
  24 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  25 |     d = '2018-04-24 11:12'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 22, 'column': 4, 'index': 503}","  20 |     global.console.warn = jest.genMockFunction()// moment.js '2018-4-1 1:1:1:22' will throw warn
  21 |     let d = '20130108'
> 22 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
     |    ^ Duplicate Assert
  23 |     d = '2018-04-24'
  24 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  25 |     d = '2018-04-24 11:12'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 24, 'column': 4, 'index': 581}","  22 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  23 |     d = '2018-04-24'
> 24 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
     |    ^ Duplicate Assert
  25 |     d = '2018-04-24 11:12'
  26 |     expect(dayjs(d).format()).toBe(moment(d).format()) // not recommend
  27 |     d = '2018-05-02 11:12:13'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 24, 'column': 4, 'index': 581}","  22 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  23 |     d = '2018-04-24'
> 24 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
     |    ^ Duplicate Assert
  25 |     d = '2018-04-24 11:12'
  26 |     expect(dayjs(d).format()).toBe(moment(d).format()) // not recommend
  27 |     d = '2018-05-02 11:12:13'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 26, 'column': 4, 'index': 665}","  24 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  25 |     d = '2018-04-24 11:12'
> 26 |     expect(dayjs(d).format()).toBe(moment(d).format()) // not recommend
     |    ^ Duplicate Assert
  27 |     d = '2018-05-02 11:12:13'
  28 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  29 |     d = '2018-05-02 11:12:13.998'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 26, 'column': 4, 'index': 665}","  24 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  25 |     d = '2018-04-24 11:12'
> 26 |     expect(dayjs(d).format()).toBe(moment(d).format()) // not recommend
     |    ^ Duplicate Assert
  27 |     d = '2018-05-02 11:12:13'
  28 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  29 |     d = '2018-05-02 11:12:13.998'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 28, 'column': 4, 'index': 767}","  26 |     expect(dayjs(d).format()).toBe(moment(d).format()) // not recommend
  27 |     d = '2018-05-02 11:12:13'
> 28 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
     |    ^ Duplicate Assert
  29 |     d = '2018-05-02 11:12:13.998'
  30 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  31 |     d = '2018-4-1'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 28, 'column': 4, 'index': 767}","  26 |     expect(dayjs(d).format()).toBe(moment(d).format()) // not recommend
  27 |     d = '2018-05-02 11:12:13'
> 28 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
     |    ^ Duplicate Assert
  29 |     d = '2018-05-02 11:12:13.998'
  30 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  31 |     d = '2018-4-1'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 30, 'column': 4, 'index': 858}","  28 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  29 |     d = '2018-05-02 11:12:13.998'
> 30 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
     |    ^ Duplicate Assert
  31 |     d = '2018-4-1'
  32 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf()) // not recommend
  33 |     d = '2018-4-1 11:12'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 30, 'column': 4, 'index': 858}","  28 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  29 |     d = '2018-05-02 11:12:13.998'
> 30 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
     |    ^ Duplicate Assert
  31 |     d = '2018-4-1'
  32 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf()) // not recommend
  33 |     d = '2018-4-1 11:12'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/dayjs/test/parse.test.js,Duplicate Assert,"{'line': 32, 'column': 4, 'index': 934}","  30 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf())
  31 |     d = '2018-4-1'
> 32 |     expect(dayjs(d).valueOf()).toBe(moment(d).valueOf()) // not recommend
     |    ^ Duplicate Assert
  33 |     d = '2018-4-1 11:12'
  34 |     expect(dayjs(d).format()).toBe(moment(d).format()) // not recommend
  35 |     d = '2018-4-1 1:1:1:223'"
