"file","type","smells","itCount","describeCount"
"__tests__/test-writeTree.js","AnonymousTest","[{""startLine"":8,""endLine"":127}]",2,1
"__tests__/test-writeTag.js","AnonymousTest","[{""startLine"":8,""endLine"":47}]",1,1
"__tests__/test-writeRef.js","ConditionalTestLogic","[{""startLine"":40,""endLine"":40}]",2,1
"__tests__/test-writeObject.js","AnonymousTest","[{""startLine"":8,""endLine"":53}]",8,1
"__tests__/test-writeObject.js","AnonymousTest","[{""startLine"":54,""endLine"":69}]",8,1
"__tests__/test-writeObject.js","AnonymousTest","[{""startLine"":70,""endLine"":84}]",8,1
"__tests__/test-writeObject.js","AnonymousTest","[{""startLine"":85,""endLine"":100}]",8,1
"__tests__/test-writeObject.js","AnonymousTest","[{""startLine"":142,""endLine"":263}]",8,1
"__tests__/test-writeObject.js","AnonymousTest","[{""startLine"":308,""endLine"":349}]",8,1
"__tests__/test-writeCommit.js","AnonymousTest","[{""startLine"":7,""endLine"":50}]",1,1
"__tests__/test-writeBlob.js","AnonymousTest","[{""startLine"":7,""endLine"":17}]",2,1
"__tests__/test-writeBlob.js","AnonymousTest","[{""startLine"":18,""endLine"":58}]",2,1
"__tests__/test-wire.js","AnonymousTest","[{""startLine"":86,""endLine"":128}]",12,1
"__tests__/test-wire.js","AnonymousTest","[{""startLine"":129,""endLine"":173}]",12,1
"__tests__/test-wire.js","AnonymousTest","[{""startLine"":306,""endLine"":338}]",12,1
"__tests__/test-wire.js","AnonymousTest","[{""startLine"":339,""endLine"":370}]",12,1
"__tests__/test-wire.js","SubOptimalAssert","[{""startLine"":222,""endLine"":222}]",12,1
"__tests__/test-wire.js","SubOptimalAssert","[{""startLine"":243,""endLine"":243}]",12,1
"__tests__/test-wire.js","SubOptimalAssert","[{""startLine"":273,""endLine"":273}]",12,1
"__tests__/test-wire.js","SubOptimalAssert","[{""startLine"":299,""endLine"":299}]",12,1
"__tests__/test-walk.js","OvercommentedTest","[{""startLine"":266,""endLine"":551}]",3,1
"__tests__/test-walk.js","VerboseStatement","[{""startLine"":266,""endLine"":551}]",3,1
"__tests__/test-version.js","AnonymousTest","[{""startLine"":7,""endLine"":10}]",1,1
"__tests__/test-validate.js","AnonymousTest","[{""startLine"":9,""endLine"":28}]",3,1
"__tests__/test-validate.js","AnonymousTest","[{""startLine"":51,""endLine"":72}]",3,1
"__tests__/test-validate.js","SubOptimalAssert","[{""startLine"":26,""endLine"":26}]",3,1
"__tests__/test-validate.js","SubOptimalAssert","[{""startLine"":47,""endLine"":47}]",3,1
"__tests__/test-validate.js","SubOptimalAssert","[{""startLine"":68,""endLine"":68}]",3,1
"__tests__/test-uploadPack.js","AnonymousTest","[{""startLine"":7,""endLine"":17}]",1,1
"__tests__/test-unicode-paths.js","AnonymousTest","[{""startLine"":92,""endLine"":114}]",6,1
"__tests__/test-unicode-paths.js","AnonymousTest","[{""startLine"":115,""endLine"":139}]",6,1
"__tests__/test-unicode-paths.js","SubOptimalAssert","[{""startLine"":26,""endLine"":26}]",6,1
"__tests__/test-unicode-paths.js","SubOptimalAssert","[{""startLine"":38,""endLine"":38}]",6,1
"__tests__/test-tag.js","AnonymousTest","[{""startLine"":41,""endLine"":52}]",5,1
"__tests__/test-tag.js","SubOptimalAssert","[{""startLine"":26,""endLine"":26}]",5,1
"__tests__/test-tag.js","SubOptimalAssert","[{""startLine"":39,""endLine"":39}]",5,1
"__tests__/test-statusMatrix.js","AnonymousTest","[{""startLine"":9,""endLine"":50}]",18,3
"__tests__/test-statusMatrix.js","VerboseStatement","[{""startLine"":9,""endLine"":50}]",18,3
"__tests__/test-status.js","AnonymousTest","[{""startLine"":9,""endLine"":67}]",2,1
"__tests__/test-status.js","OvercommentedTest","[{""startLine"":9,""endLine"":67}]",2,1
"__tests__/test-status.js","VerboseStatement","[{""startLine"":9,""endLine"":67}]",2,1
"__tests__/test-stash.js","SensitiveEquality","[{""startLine"":96,""endLine"":96}]",48,9
"__tests__/test-stash.js","SensitiveEquality","[{""startLine"":99,""endLine"":99}]",48,9
"__tests__/test-stash.js","SensitiveEquality","[{""startLine"":895,""endLine"":897}]",48,9
"__tests__/test-stash.js","SensitiveEquality","[{""startLine"":898,""endLine"":900}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":286,""endLine"":286}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":302,""endLine"":302}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":355,""endLine"":355}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":498,""endLine"":498}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":573,""endLine"":573}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":586,""endLine"":586}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":603,""endLine"":603}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":633,""endLine"":633}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":969,""endLine"":969}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":979,""endLine"":979}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":1037,""endLine"":1037}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":1115,""endLine"":1115}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":1133,""endLine"":1133}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":1165,""endLine"":1165}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":1183,""endLine"":1183}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":1254,""endLine"":1254}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":1260,""endLine"":1260}]",48,9
"__tests__/test-stash.js","SubOptimalAssert","[{""startLine"":1265,""endLine"":1265}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":191,""endLine"":220}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":259,""endLine"":303}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":305,""endLine"":356}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":358,""endLine"":395}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":422,""endLine"":465}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":467,""endLine"":499}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":501,""endLine"":539}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":576,""endLine"":605}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":607,""endLine"":643}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":671,""endLine"":697}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":724,""endLine"":760}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":762,""endLine"":793}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":795,""endLine"":831}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":833,""endLine"":869}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":925,""endLine"":952}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":1204,""endLine"":1238}]",48,9
"__tests__/test-stash.js","VerboseStatement","[{""startLine"":1242,""endLine"":1266}]",48,9
"__tests__/test-resolveRef.js","AnonymousTest","[{""startLine"":7,""endLine"":17}]",8,1
"__tests__/test-resolveRef.js","AnonymousTest","[{""startLine"":18,""endLine"":28}]",8,1
"__tests__/test-resolveRef.js","AnonymousTest","[{""startLine"":29,""endLine"":39}]",8,1
"__tests__/test-resolveRef.js","AnonymousTest","[{""startLine"":40,""endLine"":50}]",8,1
"__tests__/test-resolveRef.js","AnonymousTest","[{""startLine"":51,""endLine"":61}]",8,1
"__tests__/test-resolveRef.js","AnonymousTest","[{""startLine"":62,""endLine"":73}]",8,1
"__tests__/test-resolveRef.js","AnonymousTest","[{""startLine"":74,""endLine"":84}]",8,1
"__tests__/test-resolveRef.js","AnonymousTest","[{""startLine"":85,""endLine"":101}]",8,1
"__tests__/test-resetIndex.js","AnonymousTest","[{""startLine"":7,""endLine"":29}]",4,1
"__tests__/test-resetIndex.js","AnonymousTest","[{""startLine"":30,""endLine"":51}]",4,1
"__tests__/test-resetIndex.js","AnonymousTest","[{""startLine"":52,""endLine"":71}]",4,1
"__tests__/test-resetIndex.js","AnonymousTest","[{""startLine"":72,""endLine"":117}]",4,1
"__tests__/test-resetIndex.js","SubOptimalAssert","[{""startLine"":28,""endLine"":28}]",4,1
"__tests__/test-resetIndex.js","SubOptimalAssert","[{""startLine"":50,""endLine"":50}]",4,1
"__tests__/test-resetIndex.js","SubOptimalAssert","[{""startLine"":70,""endLine"":70}]",4,1
"__tests__/test-renameBranch.js","AnonymousTest","[{""startLine"":99,""endLine"":113}]",8,1
"__tests__/test-renameBranch.js","SubOptimalAssert","[{""startLine"":26,""endLine"":26}]",8,1
"__tests__/test-renameBranch.js","SubOptimalAssert","[{""startLine"":46,""endLine"":46}]",8,1
"__tests__/test-renameBranch.js","SubOptimalAssert","[{""startLine"":66,""endLine"":66}]",8,1
"__tests__/test-renameBranch.js","SubOptimalAssert","[{""startLine"":81,""endLine"":81}]",8,1
"__tests__/test-renameBranch.js","SubOptimalAssert","[{""startLine"":96,""endLine"":96}]",8,1
"__tests__/test-removeNote.js","SubOptimalAssert","[{""startLine"":15,""endLine"":15}]",2,1
"__tests__/test-removeNote.js","SubOptimalAssert","[{""startLine"":31,""endLine"":31}]",2,1
"__tests__/test-removeNote.js","SubOptimalAssert","[{""startLine"":43,""endLine"":43}]",2,1
"__tests__/test-removeNote.js","SubOptimalAssert","[{""startLine"":61,""endLine"":61}]",2,1
"__tests__/test-remove.js","AnonymousTest","[{""startLine"":7,""endLine"":70}]",2,1
"__tests__/test-remove.js","AnonymousTest","[{""startLine"":71,""endLine"":130}]",2,1
"__tests__/test-remove.js","SubOptimalAssert","[{""startLine"":69,""endLine"":69}]",2,1
"__tests__/test-remove.js","SubOptimalAssert","[{""startLine"":129,""endLine"":129}]",2,1
