file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/isomorphic-git/__tests__/test-writeRef.js,Conditional Test Logic,"{'line': 40, 'column': 4, 'index': 1145}","  38 |     const newBranch = await currentBranch({ fs, gitdir, fullname: true })
  39 |     expect(newBranch).toBe('refs/heads/another')
> 40 |     if (!newBranch) throw new Error('type error')
     |    ^ Conditional Test Logic
  41 |     const ref = await resolveRef({ fs, gitdir, ref: newBranch })
  42 |     expect(ref).toBe('cfc039a0acb68bee8bb4f3b13b6b211dbb8c1a69')
  43 |   })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/isomorphic-git/__tests__/test-writeRef.js,Exception Handling,"{'line': 40, 'column': 20, 'index': 1161}","  38 |     const newBranch = await currentBranch({ fs, gitdir, fullname: true })
  39 |     expect(newBranch).toBe('refs/heads/another')
> 40 |     if (!newBranch) throw new Error('type error')
     |                    ^ Exception Handling
  41 |     const ref = await resolveRef({ fs, gitdir, ref: newBranch })
  42 |     expect(ref).toBe('cfc039a0acb68bee8bb4f3b13b6b211dbb8c1a69')
  43 |   })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/isomorphic-git/__tests__/test-wire.js,Exception Handling,"{'line': 216, 'column': 4, 'index': 12027}","  214 | 0000`),
  215 |     ]
> 216 |     try {
      |    ^ Exception Handling
  217 |       await parseRefsAdResponse(res, {
  218 |         service: 'git-upload-pack',
  219 |       })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/isomorphic-git/__tests__/test-wire.js,Exception Handling,"{'line': 237, 'column': 4, 'index': 12638}","  235 | `),
  236 |     ]
> 237 |     try {
      |    ^ Exception Handling
  238 |       await parseRefsAdResponse(res, {
  239 |         service: 'git-upload-pack',
  240 |       })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/isomorphic-git/__tests__/test-wire.js,Exception Handling,"{'line': 267, 'column': 4, 'index': 13987}","  265 | 0000`),
  266 |     ]
> 267 |     try {
      |    ^ Exception Handling
  268 |       await parseRefsAdResponse(res, {
  269 |         service: 'git-upload-pack',
  270 |       })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/isomorphic-git/__tests__/test-wire.js,Exception Handling,"{'line': 293, 'column': 4, 'index': 15233}","  291 | 0000`),
  292 |     ]
> 293 |     try {
      |    ^ Exception Handling
  294 |       await parseRefsAdResponse(res, {
