file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/performance/performance_test.js,Conditional Test Logic,"{'line': 2, 'column': 2, 'index': 39}","  1 | describe('performance', function() {
> 2 |   for (let i = 0; i < 10000; i++) {
    |  ^ Conditional Test Logic
  3 |     it('should pass', function() {
  4 |       expect(true).toBe(true);
  5 |     });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/performance/performance_test.js,Redundant Assertion,"{'column': 6, 'line': 4}","  2 |   for (let i = 0; i < 10000; i++) {
  3 |     it('should pass', function() {
> 4 |       expect(true).toBe(true);
    |      ^ Redundant Assertion
  5 |     });
  6 |     it('should fail', function() {
  7 |       expect(true).toBe(false);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/performance/performance_test.js,Redundant Assertion,"{'column': 6, 'line': 7}","   5 |     });
   6 |     it('should fail', function() {
>  7 |       expect(true).toBe(false);
     |      ^ Redundant Assertion
   8 |     });
   9 |   }
  10 | });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/performance/large_object_test.js,Conditional Test Logic,"{'line': 9, 'column': 4, 'index': 186}","   7 |     const object = {};
   8 |
>  9 |     for (let i = 0; i < 50; i++) {
     |    ^ Conditional Test Logic
  10 |       const decide = rand(2);
  11 |       switch (decide) {
  12 |         case 0:"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/performance/large_object_test.js,Conditional Test Logic,"{'line': 11, 'column': 6, 'index': 253}","   9 |     for (let i = 0; i < 50; i++) {
  10 |       const decide = rand(2);
> 11 |       switch (decide) {
     |      ^ Conditional Test Logic
  12 |         case 0:
  13 |           object['cycle' + i] = object;
  14 |           break;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/performance/large_object_test.js,Conditional Test Logic,"{'line': 19, 'column': 10, 'index': 447}","  17 |           break;
  18 |         case 2:
> 19 |           if (level < 3) {
     |          ^ Conditional Test Logic
  20 |             object['nesting' + i] = generateObject(level + 1);
  21 |           }
  22 |           break;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/SpecSpec.js,Duplicate Assert,"{'line': 368, 'column': 6, 'index': 10954}","  366 |       const t2 = 456;
  367 |
> 368 |       expect(spec.result.debugLogs).toBeNull();
      |      ^ Duplicate Assert
  369 |       timer.elapsed.and.returnValue(t1);
  370 |       spec.debugLog('msg 1');
  371 |       expect(spec.result.debugLogs).toEqual(["
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/SpecSpec.js,Duplicate Assert,"{'line': 371, 'column': 6, 'index': 11073}","  369 |       timer.elapsed.and.returnValue(t1);
  370 |       spec.debugLog('msg 1');
> 371 |       expect(spec.result.debugLogs).toEqual([
      |      ^ Duplicate Assert
  372 |         { message: 'msg 1', timestamp: t1 }
  373 |       ]);
  374 |       timer.elapsed.and.returnValue(t2);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/SpecSpec.js,Duplicate Assert,"{'line': 376, 'column': 6, 'index': 11244}","  374 |       timer.elapsed.and.returnValue(t2);
  375 |       spec.debugLog('msg 2');
> 376 |       expect(spec.result.debugLogs).toEqual([
      |      ^ Duplicate Assert
  377 |         { message: 'msg 1', timestamp: t1 },
  378 |         { message: 'msg 2', timestamp: t2 }
  379 |       ]);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/SpecSpec.js,Magic Number,"{'line': 76, 'column': 45, 'index': 2549}","  74 |
  75 |       spec.setSpecProperty('a', 4);
> 76 |       expect(spec.getSpecProperty('a')).toBe(4);
     |                                             ^ Magic Number
  77 |     });
  78 |   });
  79 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/SpecSpec.js,Magic Number,"{'line': 272, 'column': 58, 'index': 8397}","  270 |
  271 |     expect(onLateError).not.toHaveBeenCalled();
> 272 |     expect(spec.result.failedExpectations.length).toEqual(1);
      |                                                          ^ Magic Number
  273 |   });
  274 |
  275 |   it('clears the reportedDone flag when reset', function() {"
