file,type,line,method,source
/packages/jsdoc/test/fixtures/specialnames.js,NonFunctionalStatement,"{'startLine':4,'endLine':4}",Unknown,snuts
/packages/jsdoc/test/fixtures/specialnames.js,NonFunctionalStatement,"{'startLine':10,'endLine':10}",Unknown,snuts
/packages/jsdoc/test/fixtures/specialnames.js,NonFunctionalStatement,"{'startLine':17,'endLine':17}",Unknown,snuts
/packages/jsdoc/test/fixtures/specialchars.js,NonFunctionalStatement,"{'startLine':12,'endLine':12}",Unknown,snuts
/packages/jsdoc-util/test/specs/index.js,AnonymousTest,"{'startLine':27,'endLine':29}","it('is lib/cast', () => {
      expect(util.cast).toEqual(cast);
    })",snuts
/packages/jsdoc-util/test/specs/index.js,AnonymousTest,"{'startLine':33,'endLine':35}","it('is lib/log', () => {
      expect(util.getLogFunctions).toEqual(log);
    })",snuts
/packages/jsdoc-task-runner/test/specs/index.js,AnonymousTest,"{'startLine':26,'endLine':28}","it('is lib/task', () => {
      expect(taskRunner.Task).toEqual(Task);
    })",snuts
/packages/jsdoc-task-runner/test/specs/index.js,AnonymousTest,"{'startLine':32,'endLine':34}","it('is lib/task-runner', () => {
      expect(taskRunner.TaskRunner).toEqual(TaskRunner);
    })",snuts
/packages/jsdoc-tag/test/specs/index.js,AnonymousTest,"{'startLine':31,'endLine':33}","it('is lib/definitions', () => {
      expect(tag.definitions).toEqual(definitions);
    })",snuts
/packages/jsdoc-tag/test/specs/index.js,AnonymousTest,"{'startLine':37,'endLine':39}","it('is lib/dictionary.Dictionary', () => {
      expect(tag.Dictionary).toEqual(Dictionary);
    })",snuts
/packages/jsdoc-tag/test/specs/index.js,AnonymousTest,"{'startLine':43,'endLine':45}","it('is lib/inline', () => {
      expect(tag.inline).toEqual(inline);
    })",snuts
/packages/jsdoc-tag/test/specs/index.js,AnonymousTest,"{'startLine':49,'endLine':51}","it('is lib/tag.Tag', () => {
      expect(tag.Tag).toEqual(Tag);
    })",snuts
/packages/jsdoc-tag/test/specs/index.js,AnonymousTest,"{'startLine':55,'endLine':57}","it('is lib/type', () => {
      expect(tag.type).toEqual(type);
    })",snuts
/packages/jsdoc-tag/test/specs/index.js,AnonymousTest,"{'startLine':61,'endLine':63}","it('is lib/validator.validate', () => {
      expect(tag.validate).toEqual(validate);
    })",snuts
/packages/jsdoc-name/test/specs/index.js,AnonymousTest,"{'startLine':21,'endLine':29}","it('is lib/name', () => {
    const indexKeys = Object.keys(index).sort();
    const nameKeys = Object.keys(name).sort();

    expect(indexKeys).toEqual(nameKeys);
    for (const indexKey of indexKeys) {
      expect(index[indexKey]).toBe(name[indexKey]);
    }
  })",snuts
