file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-util/test/specs/lib/cast.js,Magic Number,"{'line': 25, 'column': 25, 'index': 845}","  23 |
  24 |   it('does not modify values that are not strings, objects, or arrays', () => {
> 25 |     expect(cast(8)).toBe(8);
     |                         ^ Magic Number
  26 |   });
  27 |
  28 |   it('does not modify strings that are neither boolean-ish nor number-ish', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-util/test/specs/lib/cast.js,Magic Number,"{'line': 46, 'column': 31, 'index': 1410}","  44 |
  45 |   it('casts positive number-ish strings to numbers', () => {
> 46 |     expect(cast('17.35')).toBe(17.35);
     |                               ^ Magic Number
  47 |   });
  48 |
  49 |   it('casts negative number-ish strings to numbers', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Conditional Test Logic,"{'line': 546, 'column': 4, 'index': 17064}","  544 |     expect(a.length).toEqual(b.length);
  545 |
> 546 |     for (let i = 0, l = a.length; i < l; i++) {
      |    ^ Conditional Test Logic
  547 |       for (const prop in a[i]) {
  548 |         if (Object.hasOwn(a[i], prop)) {
  549 |           expect(b[i][prop]).toBeDefined();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Conditional Test Logic,"{'line': 547, 'column': 6, 'index': 17114}","  545 |
  546 |     for (let i = 0, l = a.length; i < l; i++) {
> 547 |       for (const prop in a[i]) {
      |      ^ Conditional Test Logic
  548 |         if (Object.hasOwn(a[i], prop)) {
  549 |           expect(b[i][prop]).toBeDefined();
  550 |           expect(a[i][prop]).toEqual(b[i][prop]);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Conditional Test Logic,"{'line': 548, 'column': 8, 'index': 17149}","  546 |     for (let i = 0, l = a.length; i < l; i++) {
  547 |       for (const prop in a[i]) {
> 548 |         if (Object.hasOwn(a[i], prop)) {
      |        ^ Conditional Test Logic
  549 |           expect(b[i][prop]).toBeDefined();
  550 |           expect(a[i][prop]).toEqual(b[i][prop]);
  551 |         }"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Conditional Test Logic,"{'line': 711, 'column': 6, 'index': 20845}","  709 |     // or be empty (if whatNotToContain was not provided).
  710 |     function doTests(tests, whatNotToContain) {
> 711 |       for (const src in tests) {
      |      ^ Conditional Test Logic
  712 |         if (Object.hasOwn(tests, src)) {
  713 |           doc = new Doclet(`/** ${src} */`, {}, jsdoc.env);
  714 |           attribs = helper.getAttribs(doc);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Conditional Test Logic,"{'line': 712, 'column': 8, 'index': 20880}","  710 |     function doTests(tests, whatNotToContain) {
  711 |       for (const src in tests) {
> 712 |         if (Object.hasOwn(tests, src)) {
      |        ^ Conditional Test Logic
  713 |           doc = new Doclet(`/** ${src} */`, {}, jsdoc.env);
  714 |           attribs = helper.getAttribs(doc);
  715 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Conditional Test Logic,"{'line': 716, 'column': 10, 'index': 21028}","  714 |           attribs = helper.getAttribs(doc);
  715 |
> 716 |           if (tests[src]) {
      |          ^ Conditional Test Logic
  717 |             expect(attribs).toContain(tests[src]);
  718 |           } else if (Array.isArray(whatNotToContain)) {
  719 |             for (let i = 0; i < whatNotToContain.length; ++i) {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Conditional Test Logic,"{'line': 718, 'column': 17, 'index': 21114}","  716 |           if (tests[src]) {
  717 |             expect(attribs).toContain(tests[src]);
> 718 |           } else if (Array.isArray(whatNotToContain)) {
      |                 ^ Conditional Test Logic
  719 |             for (let i = 0; i < whatNotToContain.length; ++i) {
  720 |               expect(attribs).not.toContain(whatNotToContain[i]);
  721 |             }"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Conditional Test Logic,"{'line': 719, 'column': 12, 'index': 21165}","  717 |             expect(attribs).toContain(tests[src]);
  718 |           } else if (Array.isArray(whatNotToContain)) {
> 719 |             for (let i = 0; i < whatNotToContain.length; ++i) {
      |            ^ Conditional Test Logic
  720 |               expect(attribs).not.toContain(whatNotToContain[i]);
  721 |             }
  722 |           } else {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 293, 'column': 6, 'index': 9268}","  291 |       helper.registerLink('MySymbol', 'asdf.html');
  292 |
> 293 |       expect(helper.longnameToUrl.MySymbol).toBeDefined();
      |      ^ Duplicate Assert
  294 |       expect(helper.longnameToUrl.MySymbol).toBe('asdf.html');
  295 |     });
  296 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 294, 'column': 6, 'index': 9327}","  292 |
  293 |       expect(helper.longnameToUrl.MySymbol).toBeDefined();
> 294 |       expect(helper.longnameToUrl.MySymbol).toBe('asdf.html');
      |      ^ Duplicate Assert
  295 |     });
  296 |
  297 |     it('adding an entry to it allows me to link with linkto', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 822, 'column': 6, 'index': 24128}","  820 |       attribs = helper.getAttribs(fdsaFoo);
  821 |
> 822 |       expect(attribs).toContain('private');
      |      ^ Duplicate Assert
  823 |       // expect(attribs).toContain('readonly'); // kind is 'constant' not 'member'.
  824 |       expect(attribs).toContain('constant');
  825 |       expect(attribs).toContain('inner');"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 824, 'column': 6, 'index': 24256}","  822 |       expect(attribs).toContain('private');
  823 |       // expect(attribs).toContain('readonly'); // kind is 'constant' not 'member'.
> 824 |       expect(attribs).toContain('constant');
      |      ^ Duplicate Assert
  825 |       expect(attribs).toContain('inner');
  826 |     });
  827 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 825, 'column': 6, 'index': 24301}","  823 |       // expect(attribs).toContain('readonly'); // kind is 'constant' not 'member'.
  824 |       expect(attribs).toContain('constant');
> 825 |       expect(attribs).toContain('inner');
      |      ^ Duplicate Assert
  826 |     });
  827 |
  828 |     it('should return an empty array for null values', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 860, 'column': 6, 'index': 25268}","  858 |       const types = helper.getSignatureTypes(doc);
  859 |
> 860 |       expect(types).toBeArrayOfSize(2);
      |      ^ Duplicate Assert
  861 |       expect(types).toContain('number');
  862 |       expect(types).toContain('Array&lt;boolean&gt;');
  863 |     });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 861, 'column': 6, 'index': 25308}","  859 |
  860 |       expect(types).toBeArrayOfSize(2);
> 861 |       expect(types).toContain('number');
      |      ^ Duplicate Assert
  862 |       expect(types).toContain('Array&lt;boolean&gt;');
  863 |     });
  864 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 862, 'column': 6, 'index': 25349}","  860 |       expect(types).toBeArrayOfSize(2);
  861 |       expect(types).toContain('number');
> 862 |       expect(types).toContain('Array&lt;boolean&gt;');
      |      ^ Duplicate Assert
  863 |     });
  864 |
  865 |     it('creates links for types if relevant', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 875, 'column': 6, 'index': 25697}","  873 |       types = helper.getSignatureTypes(doc);
  874 |
> 875 |       expect(types).toBeArrayOfSize(1);
      |      ^ Duplicate Assert
  876 |       expect(types).toContain('<a href=""MyClass.html"">MyClass</a>');
  877 |     });
  878 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 876, 'column': 6, 'index': 25737}","  874 |
  875 |       expect(types).toBeArrayOfSize(1);
> 876 |       expect(types).toContain('<a href=""MyClass.html"">MyClass</a>');
      |      ^ Duplicate Assert
  877 |     });
  878 |
  879 |     it('uses the cssClass parameter for links if it is provided', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jsdoc/packages/jsdoc-template-legacy/test/specs/lib/templateHelper.js,Duplicate Assert,"{'line': 889, 'column': 6, 'index': 26133}","  887 |       types = helper.getSignatureTypes(doc, 'myCSSClass');
  888 |
> 889 |       expect(types).toBeArrayOfSize(1);
      |      ^ Duplicate Assert
  890 |       expect(types).toContain('<a href=""MyClass.html"" class=""myCSSClass"">MyClass</a>');
  891 |     });
