"file","type","smells","itCount","describeCount"
"test/specs/webp.spec.js","AnonymousTest","[{""startLine"":8,""endLine"":21}]",2,1
"test/specs/webp.spec.js","AnonymousTest","[{""startLine"":23,""endLine"":37}]",2,1
"test/specs/viewerpreferences.spec.js","AnonymousTest","[{""startLine"":10,""endLine"":16}]",9,1
"test/specs/viewerpreferences.spec.js","AnonymousTest","[{""startLine"":17,""endLine"":23}]",9,1
"test/specs/viewerpreferences.spec.js","AnonymousTest","[{""startLine"":24,""endLine"":30}]",9,1
"test/specs/viewerpreferences.spec.js","AnonymousTest","[{""startLine"":31,""endLine"":37}]",9,1
"test/specs/viewerpreferences.spec.js","AnonymousTest","[{""startLine"":55,""endLine"":61}]",9,1
"test/specs/viewerpreferences.spec.js","AnonymousTest","[{""startLine"":62,""endLine"":89}]",9,1
"test/specs/viewerpreferences.spec.js","AnonymousTest","[{""startLine"":90,""endLine"":95}]",9,1
"test/specs/viewerpreferences.spec.js","VerboseStatement","[{""startLine"":62,""endLine"":89}]",9,1
"test/specs/vfs.spec.js","AnonymousTest","[{""startLine"":22,""endLine"":25}]",5,1
"test/specs/vfs.spec.js","AnonymousTest","[{""startLine"":26,""endLine"":29}]",5,1
"test/specs/vfs.spec.js","AnonymousTest","[{""startLine"":30,""endLine"":34}]",5,1
"test/specs/ttfsupport.spec.js","ConditionalTestLogic","[{""startLine"":18,""endLine"":22}]",2,1
"test/specs/ttfsupport.spec.js","ConditionalTestLogic","[{""startLine"":39,""endLine"":43}]",2,1
"test/specs/text.spec.js","AnonymousTest","[{""startLine"":11,""endLine"":14}]",21,1
"test/specs/text.spec.js","ConditionalTestLogic","[{""startLine"":181,""endLine"":185}]",21,1
"test/specs/text.spec.js","VerboseStatement","[{""startLine"":29,""endLine"":51}]",21,1
"test/specs/text.spec.js","VerboseStatement","[{""startLine"":130,""endLine"":156}]",21,1
"test/specs/split_text_to_size.spec.js","AnonymousTest","[{""startLine"":9,""endLine"":28}]",5,1
"test/specs/split_text_to_size.spec.js","AnonymousTest","[{""startLine"":30,""endLine"":49}]",5,1
"test/specs/split_text_to_size.spec.js","AnonymousTest","[{""startLine"":51,""endLine"":72}]",5,1
"test/specs/split_text_to_size.spec.js","AnonymousTest","[{""startLine"":126,""endLine"":211}]",5,1
"test/specs/split_text_to_size.spec.js","OvercommentedTest","[{""startLine"":74,""endLine"":124}]",5,1
"test/specs/split_text_to_size.spec.js","VerboseStatement","[{""startLine"":51,""endLine"":72}]",5,1
"test/specs/split_text_to_size.spec.js","VerboseStatement","[{""startLine"":126,""endLine"":211}]",5,1
"test/specs/shapes.spec.js","OvercommentedTest","[{""startLine"":26,""endLine"":58}]",8,1
"test/specs/shapes.spec.js","OvercommentedTest","[{""startLine"":60,""endLine"":93}]",8,1
"test/specs/shapes.spec.js","OvercommentedTest","[{""startLine"":95,""endLine"":128}]",8,1
"test/specs/shapes.spec.js","OvercommentedTest","[{""startLine"":130,""endLine"":163}]",8,1
"test/specs/shapes.spec.js","VerboseStatement","[{""startLine"":26,""endLine"":58}]",8,1
"test/specs/shapes.spec.js","VerboseStatement","[{""startLine"":60,""endLine"":93}]",8,1
"test/specs/shapes.spec.js","VerboseStatement","[{""startLine"":95,""endLine"":128}]",8,1
"test/specs/shapes.spec.js","VerboseStatement","[{""startLine"":130,""endLine"":163}]",8,1
"test/specs/shapes.spec.js","VerboseStatement","[{""startLine"":173,""endLine"":206}]",8,1
"test/specs/rgba.spec.js","AnonymousTest","[{""startLine"":8,""endLine"":25}]",4,1
"test/specs/rgba.spec.js","AnonymousTest","[{""startLine"":27,""endLine"":44}]",4,1
"test/specs/rgba.spec.js","AnonymousTest","[{""startLine"":50,""endLine"":74}]",4,1
"test/specs/rgba.spec.js","AnonymousTest","[{""startLine"":76,""endLine"":94}]",4,1
"test/specs/putTotalPages.spec.js","AnonymousTest","[{""startLine"":8,""endLine"":21}]",6,1
"test/specs/putTotalPages.spec.js","AnonymousTest","[{""startLine"":23,""endLine"":43}]",6,1
"test/specs/putTotalPages.spec.js","ConditionalTestLogic","[{""startLine"":17,""endLine"":19}]",6,1
