FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/xmpmetadata.spec.js,2,2,16,19,4,21.053,0.103,7,2153.695,64,119.65,28,307.671,124.251,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/webp.spec.js,2,2,39,26,4,15.385,0.188,9.281,5221.102,105,290.061,41,562.543,116.141,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/viewerpreferences.spec.js,9,1,97,113,11,9.735,0.865,22.959,59581.046,443,3310.058,58,2595.086,103.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/vfs.spec.js,5,2,36,53,7,13.208,0.363,14,15254.248,216,847.458,33,1089.589,111.916,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/unicode.spec.js,2,2,47,31,4,12.903,0.243,12.257,8936.808,132,496.489,46,729.11,111.454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/ttfsupport.spec.js,2,3,50,38,8,21.053,0.309,18.278,16917.772,164,939.876,50,925.592,105.28,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/text.spec.js,21,3,262,276,27,9.783,2.954,34.732,307822.336,1183,17101.241,180,8862.862,99.807,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,18
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/svg.spec.js,0,1,23,20,6,30,0.138,10,4140.87,73,230.048,51,414.087,114.847,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/split_text_to_size.spec.js,5,4,213,140,8,5.714,1.318,28.938,114449.825,633,6358.324,76,3954.938,89.155,0,1,24,0,0,0,6,0,0,22,0,0,0,0,0,0
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/shapes.spec.js,8,1,216,145,10,6.897,1.602,27.112,130303.155,774,7239.064,74,4806.117,95.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/rgba.spec.js,4,3,97,73,9,12.329,0.711,25.565,54520.748,331,3028.93,87,2132.614,98.944,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/putTotalPages.spec.js,6,3,130,105,14,13.333,0.939,44.107,124184.639,487,6899.147,55,2815.522,95.73,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,6
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/processArabic.spec.js,16,1,187,313,18,5.751,2.94,33.553,295981.407,1349,16443.411,93,8821.325,91.535,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/png.spec.js,35,3,460,269,47,17.472,2.331,45.42,317589.152,966,17643.842,151,6992.299,108.732,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,15
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/pages.spec.js,7,1,90,85,9,10.588,0.693,22,45707.333,372,2539.296,48,2077.606,105.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/outline.spec.js,3,2,39,33,5,15.152,0.221,9.655,6387.868,127,354.882,37,661.601,115.967,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/language.spec.js,2,1,22,17,4,23.529,0.095,6.4,1815.257,59,100.848,28,283.634,126.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/jspdf.unit.spec.js,92,5,3655,2656,206,7.756,43.842,142.54,18747669.636,13706,1041537.202,774,131525.377,89.503,0,3,239,0,0,0,74,0,0,59,0,0,3,0,0,0
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/jpeg.spec.js,2,2,38,25,4,16,0.178,7.5,3995.323,97,221.962,45,532.71,117.692,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/japanese.spec.js,1,2,23,17,3,17.647,0.122,7.069,2578,69,143.222,39,364.693,119.793,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/init.spec.js,21,3,248,282,38,13.475,2.434,36.81,268796.84,980,14933.158,175,7302.187,101.168,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,12
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/html.spec.js,13,2,407,322,41,12.733,3.272,58.5,574223.754,1298,31901.32,189,9815.791,99.196,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4
/media/gabriel/Disk/Research/research-javascript-test-smells/repositories/jspdf/test/specs/gif.spec.js,1,2,23,14,3,21.429,0.092,5.304,1464.322,53,81.351,37,276.101,124.873,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
