file,type,line,method,source
/system-test/testTransformApi.js,AnonymousTest,"{'startLine':13,'endLine':21}","it('outputs warnings', () => {
    const input = 'if (true) { var x = 10; }\n x = 12;\n';

    const {code, warnings} = transform(input, ['let']);
    expect(code).to.equal(input);
    expect(warnings).to.deep.equal([
      {line: 1, msg: 'Unable to transform var', type: 'let'},
    ]);
  })",snuts
/test/transform/multiVarTest.js,IdenticalTestDescription,"{'startLine':27,'endLine':34}","it('should split into separate declarations', () => {
      expectTransform(
        'var x,y=100;'
      ).toReturn(
        'var x;\n' +
        'var y=100;'
      );
    })",snuts
/test/transform/multiVarTest.js,IdenticalTestDescription,"{'startLine':38,'endLine':51}","it('should split into separate declarations', () => {
      expectTransform(
        'var x,y=100;\n' +
        'let a,b=123;\n' +
        'const c=12,d=234'
      ).toReturn(
        'var x;\n' +
        'var y=100;\n' +
        'let a;\n' +
        'let b=123;\n' +
        'const c=12;\n' +
        'const d=234;'
      );
    })",snuts
/test/transform/multiVarTest.js,IdenticalTestDescription,"{'startLine':55,'endLine':62}","it('should split into separate declarations', () => {
      expectTransform(
        'var x,y=100;// hello'
      ).toReturn(
        'var x;// hello\n' +
        'var y=100;'
      );
    })",snuts
/test/transform/multiVarTest.js,IdenticalTestDescription,"{'startLine':95,'endLine':108}","it('should split into separate declarations', () => {
      expectTransform(
        'switch (nr) {\n' +
        '  case 1:\n' +
        '    var a=1, b=2;\n' +
        '}'
      ).toReturn(
        'switch (nr) {\n' +
        '  case 1:\n' +
        '    var a=1;\n' +
        '    var b=2;\n' +
        '}'
      );
    })",snuts
/test/transform/letTest.js,AnonymousTest,"{'startLine':725,'endLine':732}","it('should ignore', () => {
      expectNoChange(
        'a = 1;\n' +
        'var a = 2;'
      ).withWarnings([
        {line: 2, msg: 'Unable to transform var', type: 'let'}
      ]);
    })",snuts
/test/transform/letTest.js,AnonymousTest,"{'startLine':754,'endLine':761}","it('should ignore', () => {
      expectNoChange(
        'foo(a);\n' +
        'var a = 2;'
      ).withWarnings([
        {line: 2, msg: 'Unable to transform var', type: 'let'}
      ]);
    })",snuts
/test/transform/letTest.js,AnonymousTest,"{'startLine':765,'endLine':773}","it('should ignore', () => {
      expectNoChange(
        'var a = 1;\n' +
        'var a = 2;'
      ).withWarnings([
        {line: 1, msg: 'Unable to transform var', type: 'let'},
        {line: 2, msg: 'Unable to transform var', type: 'let'}
      ]);
    })",snuts
/test/transform/letTest.js,IdenticalTestDescription,"{'startLine':294,'endLine':302}","it('should use const when not referenced afterwards', () => {
      expectTransform(
        'var [x, y] = [1, 2];\n' +
        'var {foo, bar} = {foo: 1, bar: 2};'
      ).toReturn(
        'const [x, y] = [1, 2];\n' +
        'const {foo, bar} = {foo: 1, bar: 2};'
      );
    })",snuts
/test/transform/letTest.js,IdenticalTestDescription,"{'startLine':304,'endLine':314}","it('should use let when assigned to afterwards', () => {
      expectTransform(
        'var [x, y] = [1, 2];\n' +
        'x = 3;\n' +
        'y = 4;'
      ).toReturn(
        'let [x, y] = [1, 2];\n' +
        'x = 3;\n' +
        'y = 4;'
      );
    })",snuts
