file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lebab/test/transform/whitespaceTest.js,Unknown Test,"{'column': 2, 'line': 17}","  15 |
  16 | describe('Whitespace', () => {
> 17 |   it('should not eliminate leading newlines', () => {
     |  ^ Unknown Test
  18 |     expectTransform(
  19 |       '\n\nvar x = 42;'
  20 |     ).toReturn("
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lebab/test/transform/whitespaceTest.js,Unknown Test,"{'column': 2, 'line': 25}","  23 |   });
  24 |
> 25 |   it('should not eliminate trailing newlines', () => {
     |  ^ Unknown Test
  26 |     expectTransform(
  27 |       'var x = 42;\n\n'
  28 |     ).toReturn("
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lebab/test/transform/whitespaceTest.js,Unknown Test,"{'column': 2, 'line': 33}","  31 |   });
  32 |
> 33 |   it('ignores #! comment at the beginning of file', () => {
     |  ^ Unknown Test
  34 |     expectTransform(
  35 |       '#!/usr/bin/env node\n' +
  36 |       'var x = 42;'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lebab/test/transform/whitespaceTest.js,Unknown Test,"{'column': 2, 'line': 43}","  41 |   });
  42 |
> 43 |   it('ignores #! comment almost at the beginning of file', () => {
     |  ^ Unknown Test
  44 |     expectTransform(
  45 |       '\n' +
  46 |       '#!/usr/local/bin/node\n' +"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lebab/test/transform/whitespaceTest.js,Unknown Test,"{'column': 2, 'line': 59}","  57 |   });
  58 |
> 59 |   it('should preserve #! comment using CRLF', () => {
     |  ^ Unknown Test
  60 |     expectTransform(
  61 |       '#!/usr/bin/env node\r\n' +
  62 |       'var x = 42;'"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lebab/test/transform/whitespaceTest.js,Unknown Test,"{'column': 2, 'line': 69}","  67 |   });
  68 |
> 69 |   it('should preserve CRLF line terminators', () => {
     |  ^ Unknown Test
  70 |     expectTransform(
  71 |       'var f = function(x) {\r\n' +
  72 |       '  if (x > 10)\r\n' +"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/lebab/test/transform/whitespaceTest.js,Unknown Test,"{'column': 2, 'line': 83}","  81 |   });
  82 |
