file,type,line,frame
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Assertion Roulette,"{'column': 2, 'line': 28}","  26 | it('query localtunnel server w/ ident', async done => {
  27 |   const tunnel = await localtunnel({ port: fakePort });
> 28 |   assert.ok(new RegExp('^https://.*localtunnel.me$').test(tunnel.url));
     |  ^ Assertion Roulette
  29 |
  30 |   const parsed = url.parse(tunnel.url);
  31 |   const opt = {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Assertion Roulette,"{'column': 4, 'line': 68}","  66 |   it('override Host header with local-host', async done => {
  67 |     const tunnel = await localtunnel({ port: fakePort, local_host: 'localhost' });
> 68 |     assert.ok(new RegExp('^https://.*localtunnel.me$').test(tunnel.url));
     |    ^ Assertion Roulette
  69 |
  70 |     const parsed = url.parse(tunnel.url);
  71 |     const opt = {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Assertion Roulette,"{'column': 8, 'line': 87}","  85 |
  86 |       res.on('end', () => {
> 87 |         assert.strictEqual(body, 'localhost');
     |        ^ Assertion Roulette
  88 |         tunnel.close();
  89 |         done();
  90 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Assertion Roulette,"{'column': 4, 'line': 100}","   98 |   it('override Host header with local-host', async done => {
   99 |     const tunnel = await localtunnel({ port: fakePort, local_host: '127.0.0.1' });
> 100 |     assert.ok(new RegExp('^https://.*localtunnel.me$').test(tunnel.url));
      |    ^ Assertion Roulette
  101 |
  102 |     const parsed = url.parse(tunnel.url);
  103 |     const opt = {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Assertion Roulette,"{'column': 8, 'line': 121}","  119 |
  120 |       res.on('end', () => {
> 121 |         assert.strictEqual(body, '127.0.0.1');
      |        ^ Assertion Roulette
  122 |         tunnel.close();
  123 |         done();
  124 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Assertion Roulette,"{'column': 4, 'line': 132}","  130 |   it('send chunked request', async done => {
  131 |     const tunnel = await localtunnel({ port: fakePort, local_host: '127.0.0.1' });
> 132 |     assert.ok(new RegExp('^https://.*localtunnel.me$').test(tunnel.url));
      |    ^ Assertion Roulette
  133 |
  134 |     const parsed = url.parse(tunnel.url);
  135 |     const opt = {"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Assertion Roulette,"{'column': 8, 'line': 154}","  152 |
  153 |       res.on('end', () => {
> 154 |         assert.strictEqual(body, '127.0.0.1');
      |        ^ Assertion Roulette
  155 |         tunnel.close();
  156 |         done();
  157 |       });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Lazy Test,"{'line': 27, 'column': 23, 'index': 588}","  25 |
  26 | it('query localtunnel server w/ ident', async done => {
> 27 |   const tunnel = await localtunnel({ port: fakePort });
     |                       ^ Lazy Test
  28 |   assert.ok(new RegExp('^https://.*localtunnel.me$').test(tunnel.url));
  29 |
  30 |   const parsed = url.parse(tunnel.url);"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Lazy Test,"{'line': 60, 'column': 23, 'index': 1286}","  58 |     .toString(36)
  59 |     .substr(2);
> 60 |   const tunnel = await localtunnel({ port: fakePort, subdomain });
     |                       ^ Lazy Test
  61 |   assert.ok(new RegExp(`^https://${subdomain}.localtunnel.me$`).test(tunnel.url));
  62 |   tunnel.close();
  63 | });"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Lazy Test,"{'line': 67, 'column': 25, 'index': 1565}","  65 | describe('--local-host localhost', () => {
  66 |   it('override Host header with local-host', async done => {
> 67 |     const tunnel = await localtunnel({ port: fakePort, local_host: 'localhost' });
     |                         ^ Lazy Test
  68 |     assert.ok(new RegExp('^https://.*localtunnel.me$').test(tunnel.url));
  69 |
  70 |     const parsed = url.parse(tunnel.url);"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Lazy Test,"{'line': 99, 'column': 25, 'index': 2319}","   97 | describe('--local-host 127.0.0.1', () => {
   98 |   it('override Host header with local-host', async done => {
>  99 |     const tunnel = await localtunnel({ port: fakePort, local_host: '127.0.0.1' });
      |                         ^ Lazy Test
  100 |     assert.ok(new RegExp('^https://.*localtunnel.me$').test(tunnel.url));
  101 |
  102 |     const parsed = url.parse(tunnel.url);"
/home/lawtrel/Projects/research-javascript-test-smells/repositories/localtunnel/localtunnel.spec.js,Lazy Test,"{'line': 131, 'column': 25, 'index': 3025}","  129 |
  130 |   it('send chunked request', async done => {
> 131 |     const tunnel = await localtunnel({ port: fakePort, local_host: '127.0.0.1' });
      |                         ^ Lazy Test
  132 |     assert.ok(new RegExp('^https://.*localtunnel.me$').test(tunnel.url));
  133 |
  134 |     const parsed = url.parse(tunnel.url);"
