file,type,line,method,source
/test/setup.js,NonFunctionalStatement,"{'startLine':19,'endLine':19}",Unknown,snuts
/test/setup.js,NonFunctionalStatement,"{'startLine':20,'endLine':20}",Unknown,snuts
/test/setup.js,NonFunctionalStatement,"{'startLine':33,'endLine':33}",Unknown,snuts
/test/index.js,IdenticalTestDescription,"{'startLine':99,'endLine':113}","it('should load the image', (done) => {
      const node = document.querySelector('img')
      const newSrc = Math.random()
        .toString(36)
        .substring(7)
      const observer = lozad(node)
      observer.observe()
      assert.strictEqual('true', node.dataset.loaded)
      assert.strictEqual(node.getAttribute('src'), node.dataset.src)
      node.dataset.src = newSrc
      setTimeout(() => {
        assert.notStrictEqual(node.getAttribute('src'), newSrc)
        done()
      }, 200) // Reduzido o tempo para o teste rodar mais rápido
    })",snuts
/test/index.js,IdenticalTestDescription,"{'startLine':203,'endLine':217}","it('should load the image with data-background-image-set attribute', () => {
      const bgImageSetAttr = 'url(""photo.jpg"") 1x, url(""photo@2x.jpg"") 2x'
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', 'lozad')
      image.style.background = 'white'
      image.setAttribute('data-background-image-set', bgImageSetAttr)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      // O teste original aqui estava complexo e testando a implementação do navegador.
      // Simplificamos para checar se a imagem principal foi carregada.
      assert(
        image.style.backgroundImage.includes('photo.jpg')
      )
    })",snuts
/test/index.js,IdenticalTestDescription,"{'startLine':219,'endLine':231}","it('should load the image with data-background-image-set attribute', () => {
      const bgImageSetAttr = 'url(""photo.jpg"") 1x'
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', 'lozad')
      image.setAttribute('data-background-image-set', bgImageSetAttr)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      // LINHA CORRIGIDA:
      assert(
        image.style.backgroundImage.includes('photo.jpg')
      )
    })",snuts
/test/index.js,IdenticalTestDescription,"{'startLine':418,'endLine':422}","it('should not toggle till observe function is called', () => {
      lozad()
      const el = document.querySelectorAll('video')[0]
      assert.strictEqual(false, el.classList.contains('test'))
    })",snuts
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 63}","it('should load an image after observe function is called', () => {
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      assert.strictEqual(image.getAttribute('src'), image.dataset.src)
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 64}","it('should load an image after observe function is called', () => {
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      assert.strictEqual(image.getAttribute('src'), image.dataset.src)
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 84}","it('should load the image', () => {
      const className = 'test-class'
      const observer = lozad('.' + className)
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', className)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      assert.strictEqual(image.getAttribute('src'), image.dataset.src)
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 85}","it('should load the image', () => {
      const className = 'test-class'
      const observer = lozad('.' + className)
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', className)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      assert.strictEqual(image.getAttribute('src'), image.dataset.src)
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 106}","it('should load the image', (done) => {
      const node = document.querySelector('img')
      const newSrc = Math.random()
        .toString(36)
        .substring(7)
      const observer = lozad(node)
      observer.observe()
      assert.strictEqual('true', node.dataset.loaded)
      assert.strictEqual(node.getAttribute('src'), node.dataset.src)
      node.dataset.src = newSrc
      setTimeout(() => {
        assert.notStrictEqual(node.getAttribute('src'), newSrc)
        done()
      }, 200) // Reduzido o tempo para o teste rodar mais rápido
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 107}","it('should load the image', (done) => {
      const node = document.querySelector('img')
      const newSrc = Math.random()
        .toString(36)
        .substring(7)
      const observer = lozad(node)
      observer.observe()
      assert.strictEqual('true', node.dataset.loaded)
      assert.strictEqual(node.getAttribute('src'), node.dataset.src)
      node.dataset.src = newSrc
      setTimeout(() => {
        assert.notStrictEqual(node.getAttribute('src'), newSrc)
        done()
      }, 200) // Reduzido o tempo para o teste rodar mais rápido
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 151}","it('should load the images', () => {
      const nodes = document.querySelectorAll('img')
      const observer = lozad(nodes)
      observer.observe()
      assert.strictEqual(nodes.length, 2)
      nodes.forEach(node => {
        assert.strictEqual('true', node.dataset.loaded)
        assert.strictEqual(node.getAttribute('src'), node.dataset.src)
      })
    })",steel
/test/index.js,Assertion Roulette,"{'column': 8, 'line': 153}","it('should load the images', () => {
      const nodes = document.querySelectorAll('img')
      const observer = lozad(nodes)
      observer.observe()
      assert.strictEqual(nodes.length, 2)
      nodes.forEach(node => {
        assert.strictEqual('true', node.dataset.loaded)
        assert.strictEqual(node.getAttribute('src'), node.dataset.src)
      })
    })",steel
/test/index.js,Assertion Roulette,"{'column': 8, 'line': 154}","it('should load the images', () => {
      const nodes = document.querySelectorAll('img')
      const observer = lozad(nodes)
      observer.observe()
      assert.strictEqual(nodes.length, 2)
      nodes.forEach(node => {
        assert.strictEqual('true', node.dataset.loaded)
        assert.strictEqual(node.getAttribute('src'), node.dataset.src)
      })
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 173}","it('should load the image with data-srcset attribute', () => {
      const dataSrcSetAttr = 'test-srcset'
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', 'lozad')
      image.setAttribute('data-srcset', dataSrcSetAttr)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      assert.strictEqual(image.getAttribute('srcset'), dataSrcSetAttr)
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 174}","it('should load the image with data-srcset attribute', () => {
      const dataSrcSetAttr = 'test-srcset'
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', 'lozad')
      image.setAttribute('data-srcset', dataSrcSetAttr)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      assert.strictEqual(image.getAttribute('srcset'), dataSrcSetAttr)
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 184}","it('should load the image with data-background-image attribute', () => {
      const bgImageAttr = 'test-bg-image'
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', 'lozad')
      image.setAttribute('data-background-image', bgImageAttr)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      // ESTA LINHA FOI CORRIGIDA (como você já tinha feito):
      assert(image.style.backgroundImage.includes('test-bg-image'))
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 186}","it('should load the image with data-background-image attribute', () => {
      const bgImageAttr = 'test-bg-image'
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', 'lozad')
      image.setAttribute('data-background-image', bgImageAttr)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      // ESTA LINHA FOI CORRIGIDA (como você já tinha feito):
      assert(image.style.backgroundImage.includes('test-bg-image'))
    })",steel
/test/index.js,Assertion Roulette,"{'column': 6, 'line': 196}","it('should load the image with data-background-image-set attribute', () => {
      const bgImageSetAttr = 'url(""photo.jpg"")'
      const observer = lozad()
      const image = document.querySelectorAll('img')[0]
      image.setAttribute('class', 'lozad')
      image.setAttribute('data-background-image-set', bgImageSetAttr)
      observer.observe()
      assert.strictEqual('true', image.dataset.loaded)
      // LINHA CORRIGIDA:
      assert(
        image.style.backgroundImage.includes('photo.jpg')
      )
    })",steel
