file,type,line,method,source
/app/helpers/__tests__/form.spec.js,IdenticalTestDescription,"{'startLine':642,'endLine':646}","it('should pass when not required', () => {
    const currency = {};
    const validation = validateCurrency(false, currency);
    expect(validation).toEqual(true);
  })",snuts
/app/helpers/__tests__/form.spec.js,IdenticalTestDescription,"{'startLine':675,'endLine':679}","it('should pass when not required', () => {
    const discount = {};
    const validation = validateDiscount(false, discount);
    expect(validation).toEqual(true);
  })",snuts
/app/helpers/__tests__/form.spec.js,IdenticalTestDescription,"{'startLine':721,'endLine':725}","it('should pass when not required', () => {
    const tax = {};
    const validation = validateTax(false, tax);
    expect(validation).toEqual(true);
  })",snuts
/app/helpers/__tests__/form.spec.js,IdenticalTestDescription,"{'startLine':750,'endLine':754}","it('should pass when not required', () => {
    const note = {};
    const validation = validateNote(false, note);
    expect(validation).toEqual(true);
  })",snuts
/app/helpers/__tests__/form.spec.js,VerboseStatement,"{'startLine':128,'endLine':149}","it('should return correct recipient data', () => {
    let invoiceData = getInvoiceData(formData);
    // Filter out data
    expect(invoiceData.recipient).not.toHaveProperty('new');
    expect(invoiceData.recipient).not.toHaveProperty('select');
    expect(invoiceData.recipient).not.toHaveProperty('newRecipient');

    // Choose new contact data
    expect(invoiceData.recipient).toHaveProperty('fullname');
    expect(invoiceData.recipient).toHaveProperty('email');
    expect(invoiceData.recipient).not.toHaveProperty('company');
    expect(invoiceData.recipient).not.toHaveProperty('phone');

    // Choose selected contact data
    (formData.recipient.newRecipient = false),
      (invoiceData = getInvoiceData(formData));
    expect(invoiceData.recipient).toHaveProperty('fullname');
    expect(invoiceData.recipient).toHaveProperty('email');
    expect(invoiceData.recipient).toHaveProperty('company');
    expect(invoiceData.recipient).toHaveProperty('phone');
    expect(invoiceData.recipient).toHaveProperty('id');
  })",snuts
/app/reducers/__tests__/SettingsReducer.spec.js,AnonymousTest,"{'startLine':89,'endLine':105}","it('general settings', () => {
    const data = {
      muted: false,
      sound: 'modern',
      lang: 'vi',
    };
    const newState = SettingsReducer(currentState, {
      type: ACTION_TYPES.SETTINGS_UPDATE,
      payload: {
        setting: 'general',
        data,
      },
    });
    expect(newState.current.general.muted).toBeFalsy;
    expect(newState.current.general.sound).toEqual('modern');
    expect(newState.current.general.lang).toEqual('vi');
  })",snuts
/app/reducers/__tests__/SettingsReducer.spec.js,AnonymousTest,"{'startLine':107,'endLine':129}","it('profile settings', () => {
    const data = {
      fullname: 'Jon Snow',
      company: 'HBO',
      address: 'Winterfell',
      email: 'jon@snow.com',
      website: 'https://iknownothing.com',
    };
    const newState = SettingsReducer(currentState, {
      type: ACTION_TYPES.SETTINGS_UPDATE,
      payload: {
        setting: 'profile',
        data,
      },
    });
    expect(newState.current.profile.fullname).toEqual('Jon Snow');
    expect(newState.current.profile.company).toEqual('HBO');
    expect(newState.current.profile.address).toEqual('Winterfell');
    expect(newState.current.profile.email).toEqual('jon@snow.com');
    expect(newState.current.profile.website).toEqual(
      'https://iknownothing.com'
    );
  })",snuts
/app/reducers/__tests__/SettingsReducer.spec.js,AnonymousTest,"{'startLine':131,'endLine':147}","it('invoice settings', () => {
    const data = {
      template: 'business',
      currency: 'THB',
      dateFormat: 'MMMM/DDDD/YYYY',
    };
    const newState = SettingsReducer(currentState, {
      type: ACTION_TYPES.SETTINGS_UPDATE,
      payload: {
        setting: 'invoice',
        data,
      },
    });
    expect(newState.current.invoice.template).toEqual('business');
    expect(newState.current.invoice.currency).toEqual('THB');
    expect(newState.current.invoice.dateFormat).toEqual(data.dateFormat);
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':172,'endLine':178}","it('currency field', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_TOGGLE,
      payload: 'currency',
    });
    expect(newState.settings.required_fields.currency).toBe(true);
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':180,'endLine':186}","it('dueDate field', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_TOGGLE,
      payload: 'dueDate',
    });
    expect(newState.settings.required_fields.dueDate).toBe(true);
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':188,'endLine':194}","it('discount field', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_TOGGLE,
      payload: 'discount',
    });
    expect(newState.settings.required_fields.discount).toBe(true);
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':196,'endLine':202}","it('note field', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_TOGGLE,
      payload: 'note',
    });
    expect(newState.settings.required_fields.note).toBe(true);
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':204,'endLine':210}","it('tax field', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_TOGGLE,
      payload: 'tax',
    });
    expect(newState.settings.required_fields.tax).toBe(true);
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':225,'endLine':252}","it('recipient data', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_RECIPIENT_UPDATE,
      payload: {
        newRecipient: false,
        select: {
          fullname: 'Jon Snow',
          company: 'HBO',
          email: 'jon@snow.got',
          phone: '000000000',
        },
        new: {},
      },
    });
    expect(newState.recipient.newRecipient).toBe(false);
    expect(newState.recipient.select).toEqual({
      fullname: 'Jon Snow',
      company: 'HBO',
      email: 'jon@snow.got',
      phone: '000000000',
    });
    expect(newState.recipient.select).not.toEqual({
      fullname: 'Dany',
      company: 'HBO',
      email: 'mother@dragons.got',
      phone: '111111111',
    });
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':254,'endLine':274}","it('currency data', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_UPDATE_DATA,
      payload: {
        field: 'currency',
        data: {
          selectedCurrency: {
            symbol: '$',
            name: 'US Dollar',
            symbol_native: '$',
            decimal_digits: 2,
            rounding: 0,
            code: 'USD',
            name_plural: 'US dollars',
          },
        },
      },
    });
    expect(newState.currency.selectedCurrency.code).not.toEqual('VND');
    expect(newState.currency.selectedCurrency.code).toEqual('USD');
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':276,'endLine':287}","it('dueDate data', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_UPDATE_DATA,
      payload: {
        field: 'dueDate',
        data: {
          selectedDate: '28/07/1988',
        },
      },
    });
    expect(newState.dueDate.selectedDate).toEqual('28/07/1988');
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':289,'endLine':304}","it('discount data', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_UPDATE_DATA,
      payload: {
        field: 'discount',
        data: {
          type: 'percentage',
          amount: 10,
        },
      },
    });
    expect(newState.discount.type).toEqual('percentage');
    expect(newState.discount.type).not.toEqual('flat');
    expect(newState.discount.amount).toEqual(10);
    expect(newState.discount.amount).not.toEqual(5);
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':306,'endLine':318}","it('tax data', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_UPDATE_DATA,
      payload: {
        field: 'tax',
        data: {
          amount: 5,
        },
      },
    });
    expect(newState.tax.amount).toEqual(5);
    expect(newState.tax.amount).not.toEqual(10);
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,AnonymousTest,"{'startLine':320,'endLine':334}","it('note data', () => {
    const newState = FormReducer(currentState, {
      type: ACTION_TYPES.FORM_FIELD_UPDATE_DATA,
      payload: {
        field: 'note',
        data: {
          content: 'You know nothing, Jon Snow',
        },
      },
    });
    expect(newState.note.content).toEqual('You know nothing, Jon Snow');
    expect(newState.note.content).not.toEqual(
      'The Lannisters always pay their debts'
    );
  })",snuts
/app/reducers/__tests__/FormReducer.spec.js,OvercommentedTest,"{'startLine':482,'endLine':496}","it('should populate other fields data correctly', () => {
    // Rows
    expect(newState.rows.length).toEqual(1);
    expect(newState.rows).toEqual(invoiceData.rows);
    // Tax
    expect(newState.tax).toEqual(invoiceData.tax);
    // Currency
    expect(newState.currency).toEqual(invoiceData.currency);
    // Note
    expect(newState.note.content).toEqual(invoiceData.note);
    // Discount
    expect(newState.discount).toEqual(invoiceData.discount);
    // DueDate
    expect(newState.dueDate).toEqual(invoiceData.dueDate);
  })",snuts
/app/containers/__tests__/Invoices.spec.js,AnonymousTest,"{'startLine':85,'endLine':90}","it('matches snapshot', () => {
    const tree = renderer
      .create(<Invoices t={t} dispatch={dispatch} invoices={invoices} />)
      .toJSON();
    expect(tree).toMatchSnapshot();
  })",snuts
/app/containers/__tests__/Invoices.spec.js,GeneralFixture,"{'startLine':100,'endLine':100}","beforeEach(() => {
    spySetFilter = jest.spyOn(Invoices.prototype, 'setFilter');
    wrapper = mount(
      <Invoices t={t} invoices={invoices} dispatch={dispatch} />
    );
    actions = wrapper.find(PageHeaderActions).first();
    filterBtn = actions.find(Button).last();
    filterBtn.simulate('click', {
      target: {
        dataset: {
          filter: 'paid',
        },
      },
    });
  })",snuts
/app/containers/__tests__/Invoices.spec.js,GeneralFixture,"{'startLine':101,'endLine':101}","beforeEach(() => {
    spySetFilter = jest.spyOn(Invoices.prototype, 'setFilter');
    wrapper = mount(
      <Invoices t={t} invoices={invoices} dispatch={dispatch} />
    );
    actions = wrapper.find(PageHeaderActions).first();
    filterBtn = actions.find(Button).last();
    filterBtn.simulate('click', {
      target: {
        dataset: {
          filter: 'paid',
        },
      },
    });
  })",snuts
/app/middlewares/__tests__/UIMiddleware.spec.js,IdenticalTestDescription,"{'startLine':61,'endLine':76}","it('should handle UI_NOTIFICATION_NEW action', () => {
      const action = UIActions.newNoti('warning', 'Missing Doc');
      middleware(action);
      expect(getState.mock.calls.length).toBe(0);
      expect(next.mock.calls.length).toBe(1);
      // Add id field with uuidv4 string to payload
      expect(next).toHaveBeenCalledWith(
        Object.assign({}, action, {
          payload: Object.assign({}, action.payload, {
            id: 'id-string',
          }),
        })
      );
      // Test Sound
      expect(sounds.play).toBeCalledWith('WARNING');
    })",snuts
/app/middlewares/__tests__/UIMiddleware.spec.js,SubOptimalAssert,"{'startLine':25,'endLine':25}","it('should NOT update active tab', () => {
      middleware(UIActions.changeActiveTab('form'));
      expect(getState.mock.calls.length).toBe(1);
      expect(next.mock.calls.length).toBe(0);
    })",snuts
/app/middlewares/__tests__/UIMiddleware.spec.js,SubOptimalAssert,"{'startLine':26,'endLine':26}","it('should NOT update active tab', () => {
      middleware(UIActions.changeActiveTab('form'));
      expect(getState.mock.calls.length).toBe(1);
      expect(next.mock.calls.length).toBe(0);
    })",snuts
/app/middlewares/__tests__/UIMiddleware.spec.js,SubOptimalAssert,"{'startLine':32,'endLine':32}","it('should update active tab', () => {
      const action = UIActions.changeActiveTab('settings');
      middleware(action);
      expect(getState.mock.calls.length).toBe(1);
      expect(next.mock.calls.length).toBe(1);
      expect(next).toHaveBeenCalledWith(action);
      // Test Sound
      expect(sounds.play).toBeCalledWith('TAP');
    })",snuts
/app/middlewares/__tests__/UIMiddleware.spec.js,SubOptimalAssert,"{'startLine':33,'endLine':33}","it('should update active tab', () => {
      const action = UIActions.changeActiveTab('settings');
      middleware(action);
      expect(getState.mock.calls.length).toBe(1);
      expect(next.mock.calls.length).toBe(1);
      expect(next).toHaveBeenCalledWith(action);
      // Test Sound
      expect(sounds.play).toBeCalledWith('TAP');
    })",snuts
