"file","type","smells","itCount","describeCount"
"app/helpers/__tests__/form.spec.js","IdenticalTestDescription","[{""startLine"":642,""endLine"":646}]",45,10
"app/helpers/__tests__/form.spec.js","IdenticalTestDescription","[{""startLine"":675,""endLine"":679}]",45,10
"app/helpers/__tests__/form.spec.js","IdenticalTestDescription","[{""startLine"":721,""endLine"":725}]",45,10
"app/helpers/__tests__/form.spec.js","IdenticalTestDescription","[{""startLine"":750,""endLine"":754}]",45,10
"app/helpers/__tests__/form.spec.js","VerboseStatement","[{""startLine"":128,""endLine"":149}]",45,10
"app/reducers/__tests__/SettingsReducer.spec.js","AnonymousTest","[{""startLine"":89,""endLine"":105}]",9,3
"app/reducers/__tests__/SettingsReducer.spec.js","AnonymousTest","[{""startLine"":107,""endLine"":129}]",9,3
"app/reducers/__tests__/SettingsReducer.spec.js","AnonymousTest","[{""startLine"":131,""endLine"":147}]",9,3
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":172,""endLine"":178}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":180,""endLine"":186}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":188,""endLine"":194}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":196,""endLine"":202}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":204,""endLine"":210}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":225,""endLine"":252}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":254,""endLine"":274}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":276,""endLine"":287}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":289,""endLine"":304}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":306,""endLine"":318}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","AnonymousTest","[{""startLine"":320,""endLine"":334}]",30,6
"app/reducers/__tests__/FormReducer.spec.js","OvercommentedTest","[{""startLine"":482,""endLine"":496}]",30,6
"app/containers/__tests__/Invoices.spec.js","AnonymousTest","[{""startLine"":85,""endLine"":90}]",8,2
"app/containers/__tests__/Invoices.spec.js","GeneralFixture","[{""startLine"":100,""endLine"":100}]",8,2
"app/containers/__tests__/Invoices.spec.js","GeneralFixture","[{""startLine"":101,""endLine"":101}]",8,2
"app/middlewares/__tests__/UIMiddleware.spec.js","IdenticalTestDescription","[{""startLine"":61,""endLine"":76}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":25,""endLine"":25}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":26,""endLine"":26}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":32,""endLine"":32}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":33,""endLine"":33}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":47,""endLine"":47}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":48,""endLine"":48}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":64,""endLine"":64}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":65,""endLine"":65}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":83,""endLine"":83}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":84,""endLine"":84}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":92,""endLine"":92}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":93,""endLine"":93}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":101,""endLine"":101}]",9,4
"app/middlewares/__tests__/UIMiddleware.spec.js","SubOptimalAssert","[{""startLine"":102,""endLine"":102}]",9,4
"app/middlewares/__tests__/SettingsMW.spec.js","CommentsOnlyTest","[{""startLine"":76,""endLine"":76}]",7,2
"app/middlewares/__tests__/SettingsMW.spec.js","NonFunctionalStatement","[{""startLine"":76,""endLine"":76}]",7,2
"app/middlewares/__tests__/SettingsMW.spec.js","SubOptimalAssert","[{""startLine"":31,""endLine"":31}]",7,2
"app/middlewares/__tests__/SettingsMW.spec.js","SubOptimalAssert","[{""startLine"":32,""endLine"":32}]",7,2
"app/middlewares/__tests__/SettingsMW.spec.js","SubOptimalAssert","[{""startLine"":100,""endLine"":100}]",7,2
"app/middlewares/__tests__/SettingsMW.spec.js","SubOptimalAssert","[{""startLine"":103,""endLine"":103}]",7,2
"app/middlewares/__tests__/InvoicesMW.spec.js","IdenticalTestDescription","[{""startLine"":224,""endLine"":247}]",25,9
"app/middlewares/__tests__/InvoicesMW.spec.js","IdenticalTestDescription","[{""startLine"":382,""endLine"":407}]",25,9
"app/middlewares/__tests__/InvoicesMW.spec.js","IdenticalTestDescription","[{""startLine"":442,""endLine"":458}]",25,9
