file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/test/spec.js,Conditional Test Logic,"{'line': 8, 'column': 4, 'index': 213}","   6 |   before(() => app.start());
   7 |   after(() => {
>  8 |     if (app && app.isRunning()) {
     |    ^ Conditional Test Logic
   9 |       return app.stop();
  10 |     }
  11 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/helpers/__tests__/formatNumber.spec.js,Eager Test,"{'line': 15, 'column': 29, 'index': 340}","  13 |
  14 |   it('return correct formatted number with commaDot settings', () => {
> 15 |     const formattedNumber1 = formatNumber(number1, 2, 'commaDot');
     |                             ^ Eager Test
  16 |     expect(formattedNumber1).toEqual('99.00');
  17 |     const formattedNumber2 = formatNumber(number2, 2, 'commaDot');
  18 |     expect(formattedNumber2).toEqual('1,000.00');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/helpers/__tests__/formatNumber.spec.js,Eager Test,"{'line': 17, 'column': 29, 'index': 454}","  15 |     const formattedNumber1 = formatNumber(number1, 2, 'commaDot');
  16 |     expect(formattedNumber1).toEqual('99.00');
> 17 |     const formattedNumber2 = formatNumber(number2, 2, 'commaDot');
     |                             ^ Eager Test
  18 |     expect(formattedNumber2).toEqual('1,000.00');
  19 |     const formattedNumber3 = formatNumber(number3, 2, 'commaDot');
  20 |     expect(formattedNumber3).toEqual('1,999.99');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/helpers/__tests__/formatNumber.spec.js,Eager Test,"{'line': 19, 'column': 29, 'index': 571}","  17 |     const formattedNumber2 = formatNumber(number2, 2, 'commaDot');
  18 |     expect(formattedNumber2).toEqual('1,000.00');
> 19 |     const formattedNumber3 = formatNumber(number3, 2, 'commaDot');
     |                             ^ Eager Test
  20 |     expect(formattedNumber3).toEqual('1,999.99');
  21 |   });
  22 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/helpers/__tests__/formatNumber.spec.js,Eager Test,"{'line': 24, 'column': 29, 'index': 766}","  22 |
  23 |   it('return correct formatted number with dotComma settings', () => {
> 24 |     const formattedNumber1 = formatNumber(number1, 2, 'dotComma');
     |                             ^ Eager Test
  25 |     expect(formattedNumber1).toEqual('99,00');
  26 |     const formattedNumber2 = formatNumber(number2, 2, 'dotComma');
  27 |     expect(formattedNumber2).toEqual('1.000,00');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/helpers/__tests__/formatNumber.spec.js,Eager Test,"{'line': 26, 'column': 29, 'index': 880}","  24 |     const formattedNumber1 = formatNumber(number1, 2, 'dotComma');
  25 |     expect(formattedNumber1).toEqual('99,00');
> 26 |     const formattedNumber2 = formatNumber(number2, 2, 'dotComma');
     |                             ^ Eager Test
  27 |     expect(formattedNumber2).toEqual('1.000,00');
  28 |     const formattedNumber3 = formatNumber(number3, 2, 'dotComma');
  29 |     expect(formattedNumber3).toEqual('1.999,99');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/helpers/__tests__/formatNumber.spec.js,Eager Test,"{'line': 28, 'column': 29, 'index': 997}","  26 |     const formattedNumber2 = formatNumber(number2, 2, 'dotComma');
  27 |     expect(formattedNumber2).toEqual('1.000,00');
> 28 |     const formattedNumber3 = formatNumber(number3, 2, 'dotComma');
     |                             ^ Eager Test
  29 |     expect(formattedNumber3).toEqual('1.999,99');
  30 |   });
  31 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/helpers/__tests__/formatNumber.spec.js,Eager Test,"{'line': 33, 'column': 29, 'index': 1192}","  31 |
  32 |   it('return correct formatted number with spaceDot settings', () => {
> 33 |     const formattedNumber1 = formatNumber(number1, 2, 'spaceDot');
     |                             ^ Eager Test
  34 |     expect(formattedNumber1).toEqual('99.00');
