FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/test/spec.js,11,1,182,218,50,22.936,1.591,31.885,152226.686,741,8457.038,87,4774.221,118.872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/helpers/__tests__/formatNumber.spec.js,3,2,42,52,6,11.538,0.29,9.581,8334.957,167,463.053,37,869.979,111.268,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/reducers/__tests__/UIReducer.spec.js,4,1,76,72,6,8.333,0.519,15.915,24790.294,276,1377.239,50,1557.704,102.268,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/reducers/__tests__/FormReducer.spec.js,30,2,605,559,42,7.513,5.259,29.845,470903.212,2049,26161.29,208,15778.201,97.176,0,0,14,0,0,0,0,0,0,9,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/middlewares/__tests__/UIMiddleware.spec.js,9,1,119,135,16,11.852,1.076,19.038,61473.588,520,3415.199,74,3228.916,108.223,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/middlewares/__tests__/SettingsMW.spec.js,7,3,121,119,12,10.084,0.983,12.31,36316.295,448,2017.572,96,2950.063,106.422,0,0,4,0,1,0,0,0,0,5,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/middlewares/__tests__/InvoicesMW.spec.js,25,4,590,638,79,12.382,5.45,37.505,613220.249,2139,34067.792,200,16350.208,106.527,0,0,20,4,0,0,0,0,18,16,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/middlewares/__tests__/FormMW.spec.js,8,1,187,203,17,8.374,1.394,25.786,107835.857,697,5990.881,64,4182,100.881,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/middlewares/__tests__/ContactsMW.spec.js,13,4,258,272,39,14.338,2.031,29.348,178808.07,895,9933.782,112,6092.583,110.703,0,0,14,2,0,0,0,0,9,6,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/helpers/__tests__/invoice.spec.js,4,4,74,103,5,4.854,0.759,17.82,40568.707,387,2253.817,59,2276.583,91.206,0,0,20,22,0,0,0,0,4,20,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/helpers/__tests__/form.spec.js,45,4,822,872,59,6.766,8.009,37.357,897536.403,3034,49863.134,242,24025.831,94.435,0,0,33,7,0,0,0,0,45,1,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/containers/__tests__/Invoices.spec.js,8,2,126,133,18,13.534,0.922,15.074,41694.742,424,2316.375,92,2765.99,112.103,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/components/shared/_tests_/SplitButton.spec.js,7,1,120,122,12,9.836,0.824,15.923,39375.238,397,2187.513,75,2472.841,105.742,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/components/shared/_tests_/Section.spec.js,2,1,28,22,4,18.182,0.095,5.667,1616.401,66,89.8,20,285.247,122.857,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/components/shared/_tests_/Message.spec.js,10,1,64,80,16,20,0.437,7.083,9285.421,236,515.857,47,1310.883,123.164,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/components/shared/_tests_/Layout.spec.js,16,1,126,135,19,14.074,0.704,12.436,26274.565,387,1459.698,44,2112.8,114.501,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/components/shared/_tests_/Button.spec.js,5,1,34,42,8,19.048,0.2,5.673,3400.77,121,188.932,31,599.458,123.438,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/components/layout/__tests__/AppNav.spec.js,3,2,32,19,6,31.579,0.074,3.947,879.889,48,48.883,25,222.905,135.268,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/components/invoices/__tests__/Invoice.spec.js,12,3,282,207,21,10.145,1.687,18.465,93469.346,709,5192.741,141,5061.942,102.022,0,1,8,0,0,0,0,0,0,6,0,0,0,0,0,0
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/manta/app/components/contacts/__tests__/Contact.spec.js,7,2,111,108,12,11.111,0.729,11.333,24771.579,352,1376.199,74,2185.728,109.302,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0
