file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 8, 'line': 18}","  16 |       var cb = after(2, function (err, res, line) {
  17 |         if (err) return done(err)
> 18 |         assert(res.text.length > 0)
     |        ^ Assertion Roulette
  19 |         assert.strictEqual(line.substr(0, res.text.length), res.text)
  20 |         done()
  21 |       })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 8, 'line': 19}","  17 |         if (err) return done(err)
  18 |         assert(res.text.length > 0)
> 19 |         assert.strictEqual(line.substr(0, res.text.length), res.text)
     |        ^ Assertion Roulette
  20 |         done()
  21 |       })
  22 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 12, 'line': 93}","  91 |           var cb = after(2, function (err, res, line) {
  92 |             if (err) return done(err)
> 93 |             assert(res.text.length > 0)
     |            ^ Assertion Roulette
  94 |             assert.strictEqual(line.substr(0, res.text.length), res.text)
  95 |             done()
  96 |           })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 12, 'line': 94}","  92 |             if (err) return done(err)
  93 |             assert(res.text.length > 0)
> 94 |             assert.strictEqual(line.substr(0, res.text.length), res.text)
     |            ^ Assertion Roulette
  95 |             done()
  96 |           })
  97 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 159}","  157 |         var cb = after(2, function (err, res, line) {
  158 |           if (err) return done(err)
> 159 |           assert(res.text.length > 0)
      |          ^ Assertion Roulette
  160 |           assert.strictEqual(line.substr(0, res.text.length), res.text)
  161 |           done()
  162 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 160}","  158 |           if (err) return done(err)
  159 |           assert(res.text.length > 0)
> 160 |           assert.strictEqual(line.substr(0, res.text.length), res.text)
      |          ^ Assertion Roulette
  161 |           done()
  162 |         })
  163 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 180}","  178 |         var cb = after(2, function (err, res, line) {
  179 |           if (err) return done(err)
> 180 |           assert(res.text.length > 0)
      |          ^ Assertion Roulette
  181 |           assert.strictEqual(line.substr(0, res.text.length), res.text)
  182 |           done()
  183 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 181}","  179 |           if (err) return done(err)
  180 |           assert(res.text.length > 0)
> 181 |           assert.strictEqual(line.substr(0, res.text.length), res.text)
      |          ^ Assertion Roulette
  182 |           done()
  183 |         })
  184 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 377}","  375 |         var cb = after(2, function (err, res, line) {
  376 |           if (err) return done(err)
> 377 |           assert.ok(res.text.length > 0)
      |          ^ Assertion Roulette
  378 |           assert.strictEqual(line, res.text)
  379 |           done()
  380 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 378}","  376 |           if (err) return done(err)
  377 |           assert.ok(res.text.length > 0)
> 378 |           assert.strictEqual(line, res.text)
      |          ^ Assertion Roulette
  379 |           done()
  380 |         })
  381 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 414}","  412 |         var cb = after(2, function (err, res, line) {
  413 |           if (err) return done(err)
> 414 |           assert.ok(res.text.length > 0)
      |          ^ Assertion Roulette
  415 |           assert.strictEqual(line, res.text)
  416 |           done()
  417 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 415}","  413 |           if (err) return done(err)
  414 |           assert.ok(res.text.length > 0)
> 415 |           assert.strictEqual(line, res.text)
      |          ^ Assertion Roulette
  416 |           done()
  417 |         })
  418 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 434}","  432 |         var cb = after(2, function (err, res, line) {
  433 |           if (err) return done(err)
> 434 |           assert.ok(res.text.length > 0)
      |          ^ Assertion Roulette
  435 |           assert.strictEqual(line, res.text)
  436 |           done()
  437 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 435}","  433 |           if (err) return done(err)
  434 |           assert.ok(res.text.length > 0)
> 435 |           assert.strictEqual(line, res.text)
      |          ^ Assertion Roulette
  436 |           done()
  437 |         })
  438 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 452}","  450 |         var cb = after(2, function (err, res, line) {
  451 |           if (err) return done(err)
> 452 |           assert.ok(res.text.length > 0)
      |          ^ Assertion Roulette
  453 |           assert.strictEqual(line, res.text)
  454 |
  455 |           res.req.connection.destroy()"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 453}","  451 |           if (err) return done(err)
  452 |           assert.ok(res.text.length > 0)
> 453 |           assert.strictEqual(line, res.text)
      |          ^ Assertion Roulette
  454 |
  455 |           res.req.connection.destroy()
  456 |           server.close(done)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 500}","  498 |         var cb = after(2, function (err, res, line) {
  499 |           if (err) return done(err)
> 500 |           assert.ok(res.text.length > 0)
      |          ^ Assertion Roulette
  501 |           assert.strictEqual(line, res.text)
  502 |
  503 |           res.req.connection.destroy()"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 501}","  499 |           if (err) return done(err)
  500 |           assert.ok(res.text.length > 0)
> 501 |           assert.strictEqual(line, res.text)
      |          ^ Assertion Roulette
  502 |
  503 |           res.req.connection.destroy()
  504 |           server.close(done)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 580}","  578 |           var end = Date.now()
  579 |           var ms = parseFloat(line)
> 580 |           assert(ms > 0)
      |          ^ Assertion Roulette
  581 |           assert(ms < end - start + 1)
  582 |           done()
  583 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 581}","  579 |           var ms = parseFloat(line)
  580 |           assert(ms > 0)
> 581 |           assert(ms < end - start + 1)
      |          ^ Assertion Roulette
  582 |           done()
  583 |         })
  584 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 649}","  647 |           var end = Date.now()
  648 |           var ms = parseFloat(line)
> 649 |           assert(ms > 0)
      |          ^ Assertion Roulette
  650 |           assert(ms < end - start + 1)
  651 |           assert(ms < write - start + 1)
  652 |           done()"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 650}","  648 |           var ms = parseFloat(line)
  649 |           assert(ms > 0)
> 650 |           assert(ms < end - start + 1)
      |          ^ Assertion Roulette
  651 |           assert(ms < write - start + 1)
  652 |           done()
  653 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 651}","  649 |           assert(ms > 0)
  650 |           assert(ms < end - start + 1)
> 651 |           assert(ms < write - start + 1)
      |          ^ Assertion Roulette
  652 |           done()
  653 |         })
  654 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 807}","  805 |           var end = Date.now()
  806 |           var ms = parseFloat(line)
> 807 |           assert(ms > 0)
      |          ^ Assertion Roulette
  808 |           assert(ms < end - start + 1)
  809 |           done()
  810 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 808}","  806 |           var ms = parseFloat(line)
  807 |           assert(ms > 0)
> 808 |           assert(ms < end - start + 1)
      |          ^ Assertion Roulette
  809 |           done()
  810 |         })
  811 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 876}","  874 |           var end = Date.now()
  875 |           var ms = parseFloat(line)
> 876 |           assert(ms > 0)
      |          ^ Assertion Roulette
  877 |           assert(ms > write - start - 1)
  878 |           assert(ms < end - start + 1)
  879 |           done()"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 877}","  875 |           var ms = parseFloat(line)
  876 |           assert(ms > 0)
> 877 |           assert(ms > write - start - 1)
      |          ^ Assertion Roulette
  878 |           assert(ms < end - start + 1)
  879 |           done()
  880 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 878}","  876 |           assert(ms > 0)
  877 |           assert(ms > write - start - 1)
> 878 |           assert(ms < end - start + 1)
      |          ^ Assertion Roulette
  879 |           done()
  880 |         })
  881 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 1199}","  1197 |         var cb = after(2, function (err, res, line) {
  1198 |           if (err) return done(err)
> 1199 |           assert.strictEqual(line.substr(0, 36), '_color_0_GET / _color_0_102_color_0_')
       |          ^ Assertion Roulette
  1200 |           assert.strictEqual(line.substr(-9), '_color_0_')
  1201 |           done()
  1202 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 1200}","  1198 |           if (err) return done(err)
  1199 |           assert.strictEqual(line.substr(0, 36), '_color_0_GET / _color_0_102_color_0_')
> 1200 |           assert.strictEqual(line.substr(-9), '_color_0_')
       |          ^ Assertion Roulette
  1201 |           done()
  1202 |         })
  1203 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 1230}","  1228 |         var cb = after(2, function (err, res, line) {
  1229 |           if (err) return done(err)
> 1230 |           assert.strictEqual(line.substr(0, 37), '_color_0_GET / _color_32_200_color_0_')
       |          ^ Assertion Roulette
  1231 |           assert.strictEqual(line.substr(-9), '_color_0_')
  1232 |           done()
  1233 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 1231}","  1229 |           if (err) return done(err)
  1230 |           assert.strictEqual(line.substr(0, 37), '_color_0_GET / _color_32_200_color_0_')
> 1231 |           assert.strictEqual(line.substr(-9), '_color_0_')
       |          ^ Assertion Roulette
  1232 |           done()
  1233 |         })
  1234 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/morgan/test/morgan.js,Assertion Roulette,"{'column': 10, 'line': 1252}","  1250 |         var cb = after(2, function (err, res, line) {
  1251 |           if (err) return done(err)
> 1252 |           assert.strictEqual(line.substr(0, 37), '_color_0_GET / _color_36_300_color_0_')
       |          ^ Assertion Roulette
  1253 |           assert.strictEqual(line.substr(-9), '_color_0_')
  1254 |           done()
  1255 |         })"
