file,type,line,method,source
/test/reuse-middleware.js,ConditionalTestLogic,"{'startLine':44,'endLine':44}","it('should accept multiple requests', function (done) {
    var pending = 8

    function submitData (fileCount) {
      var form = new FormData()

      form.append('name', 'Multer')
      form.append('files', '' + fileCount)

      for (var i = 0; i < fileCount; i++) {
        form.append('them-files', util.file('small0.dat'))
      }

      util.submitForm(parser, form, function (err, req) {
        assert.ifError(err)

        assert.strictEqual(req.body.name, 'Multer')
        assert.strictEqual(req.body.files, '' + fileCount)
        assert.strictEqual(req.files.length, fileCount)

        req.files.forEach(function (file) {
          assert.strictEqual(file.fieldname, 'them-files')
          assert.strictEqual(file.originalname, 'small0.dat')
          assert.strictEqual(file.size, 1778)
          assert.strictEqual(file.buffer.length, 1778)
        })

        if (--pending === 0) done()
      })
    }

    submitData(9)
    submitData(1)
    submitData(5)
    submitData(7)
    submitData(2)
    submitData(8)
    submitData(3)
    submitData(4)
  })",snuts
/test/functionality.js,ConditionalTestLogic,"{'startLine':47,'endLine':47}","it('should upload the file to the `dest` dir', function (done) {
    makeStandardEnv(function (err, env) {
      if (err) return done(err)

      var parser = env.upload.single('small0')
      env.form.append('small0', util.file('small0.dat'))

      util.submitForm(parser, env.form, function (err, req) {
        assert.ifError(err)
        assert.ok(startsWith(req.file.path, env.uploadDir))
        assert.strictEqual(util.fileSize(req.file.path), 1778)
        done()
      })
    })
  })",snuts
/test/functionality.js,ConditionalTestLogic,"{'startLine':63,'endLine':63}","it('should rename the uploaded file', function (done) {
    makeStandardEnv(function (err, env) {
      if (err) return done(err)

      var parser = env.upload.single('small0')
      env.form.append('small0', util.file('small0.dat'))

      util.submitForm(parser, env.form, function (err, req) {
        assert.ifError(err)
        assert.strictEqual(req.file.filename, 'small0small0.dat')
        done()
      })
    })
  })",snuts
/test/functionality.js,ConditionalTestLogic,"{'startLine':78,'endLine':78}","it('should ensure all req.files values (single-file per field) point to an array', function (done) {
    makeStandardEnv(function (err, env) {
      if (err) return done(err)

      var parser = env.upload.single('tiny0')
      env.form.append('tiny0', util.file('tiny0.dat'))

      util.submitForm(parser, env.form, function (err, req) {
        assert.ifError(err)
        assert.strictEqual(req.file.filename, 'tiny0tiny0.dat')
        done()
      })
    })
  })",snuts
/test/functionality.js,ConditionalTestLogic,"{'startLine':93,'endLine':93}","it('should ensure all req.files values (multi-files per field) point to an array', function (done) {
    makeStandardEnv(function (err, env) {
      if (err) return done(err)

      var parser = env.upload.array('themFiles', 2)
      env.form.append('themFiles', util.file('small0.dat'))
      env.form.append('themFiles', util.file('small1.dat'))

      util.submitForm(parser, env.form, function (err, req) {
        assert.ifError(err)
        assert.strictEqual(req.files.length, 2)
        assert.strictEqual(req.files[0].filename, 'themFilessmall0.dat')
        assert.strictEqual(req.files[1].filename, 'themFilessmall1.dat')
        done()
      })
    })
  })",snuts
/test/functionality.js,ConditionalTestLogic,"{'startLine':113,'endLine':113}","it('should rename the destination directory to a different directory', function (done) {
    var storage = multer.diskStorage({
      destination: function (req, file, cb) {
        temp.template('testforme-%s').mkdir(function (err, uploadDir) {
          if (err) return cb(err)

          cleanup.push(uploadDir)
          cb(null, uploadDir)
        })
      },
      filename: generateFilename
    })

    var form = new FormData()
    var upload = multer({ storage: storage })
    var parser = upload.array('themFiles', 2)

    form.append('themFiles', util.file('small0.dat'))
    form.append('themFiles', util.file('small1.dat'))

    util.submitForm(parser, form, function (err, req) {
      assert.ifError(err)
      assert.strictEqual(req.files.length, 2)
      assert.ok(req.files[0].path.indexOf('/testforme-') >= 0)
      assert.ok(req.files[1].path.indexOf('/testforme-') >= 0)
      done()
    })
  })",snuts
/test/file-ordering.js,ConditionalTestLogic,"{'startLine':23,'endLine':23}","it('should present files in same order as they came', function (done) {
    var storage = multer.memoryStorage()
    var upload = multer({ storage: storage })
    var parser = upload.array('themFiles', 2)

    var i = 0
    var calls = [{}, {}]
    var pending = 2
    var _handleFile = storage._handleFile
    storage._handleFile = function (req, file, cb) {
      var id = (i++)

      _handleFile.call(this, req, file, function (err, info) {
        if (err) return cb(err)

        calls[id].cb = cb
        calls[id].info = info

        if (--pending === 0) {
          calls[1].cb(null, calls[1].info)
          calls[0].cb(null, calls[0].info)
        }
      })
    }

    var form = new FormData()

    form.append('themFiles', util.file('small0.dat'))
    form.append('themFiles', util.file('small1.dat'))

    util.submitForm(parser, form, function (err, req) {
      assert.ifError(err)
      assert.strictEqual(req.files.length, 2)
      assert.strictEqual(req.files[0].originalname, 'small0.dat')
      assert.strictEqual(req.files[1].originalname, 'small1.dat')
      done()
    })
  })",snuts
/test/file-ordering.js,ConditionalTestLogic,"{'startLine':28,'endLine':31}","it('should present files in same order as they came', function (done) {
    var storage = multer.memoryStorage()
    var upload = multer({ storage: storage })
    var parser = upload.array('themFiles', 2)

    var i = 0
    var calls = [{}, {}]
    var pending = 2
    var _handleFile = storage._handleFile
    storage._handleFile = function (req, file, cb) {
      var id = (i++)

      _handleFile.call(this, req, file, function (err, info) {
        if (err) return cb(err)

        calls[id].cb = cb
        calls[id].info = info

        if (--pending === 0) {
          calls[1].cb(null, calls[1].info)
          calls[0].cb(null, calls[0].info)
        }
      })
    }

    var form = new FormData()

    form.append('themFiles', util.file('small0.dat'))
    form.append('themFiles', util.file('small1.dat'))

    util.submitForm(parser, form, function (err, req) {
      assert.ifError(err)
      assert.strictEqual(req.files.length, 2)
      assert.strictEqual(req.files[0].originalname, 'small0.dat')
      assert.strictEqual(req.files[1].originalname, 'small1.dat')
      done()
    })
  })",snuts
/test/error-handling.js,IdenticalTestDescription,"{'startLine':178,'endLine':189}","it('should notify of missing field name', function (done) {
    var form = new FormData()
    var storage = multer.memoryStorage()
    var parser = multer({ storage: storage }).single('small0')

    form.append('', util.file('small0.dat'))

    util.submitForm(parser, form, function (err, req) {
      assert.strictEqual(err.code, 'MISSING_FIELD_NAME')
      done()
    })
  })",snuts
/test/unicode.js,Assertion Roulette,"{'column': 6, 'line': 56}","it('should handle unicode filenames', function (done) {
    var req = new stream.PassThrough()
    var boundary = 'AaB03x'
    var body = [
      '--' + boundary,
      'Content-Disposition: form-data; name=""small0""; filename=""poo.dat""; filename*=utf-8\'\'%F0%9F%92%A9.dat',
      'Content-Type: text/plain',
      '',
      'test with unicode filename',
      '--' + boundary + '--'
    ].join('\r\n')

    req.headers = {
      'content-type': 'multipart/form-data; boundary=' + boundary,
      'content-length': body.length
    }

    req.end(body)

    upload.single('small0')(req, null, function (err) {
      assert.ifError(err)

      assert.strictEqual(req.file.originalname, '\ud83d\udca9.dat')
      assert.strictEqual(req.file.fieldname, 'small0')

      done()
    })
  })",steel
