file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/unicode.js,Assertion Roulette,"{'column': 6, 'line': 56}","  54 |       assert.ifError(err)
  55 |
> 56 |       assert.strictEqual(req.file.originalname, '\ud83d\udca9.dat')
     |      ^ Assertion Roulette
  57 |       assert.strictEqual(req.file.fieldname, 'small0')
  58 |
  59 |       done()"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/unicode.js,Assertion Roulette,"{'column': 6, 'line': 57}","  55 |
  56 |       assert.strictEqual(req.file.originalname, '\ud83d\udca9.dat')
> 57 |       assert.strictEqual(req.file.fieldname, 'small0')
     |      ^ Assertion Roulette
  58 |
  59 |       done()
  60 |     })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/unicode.js,Conditional Test Logic,"{'line': 15, 'column': 6, 'index': 311}","  13 |   beforeEach(function (done) {
  14 |     temp.mkdir(function (err, path) {
> 15 |       if (err) return done(err)
     |      ^ Conditional Test Logic
  16 |
  17 |       var storage = multer.diskStorage({
  18 |         destination: path,"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/unicode.js,Global Variable,"{'line': 11, 'column': 2, 'index': 213}","   9 |
  10 | describe('Unicode', function () {
> 11 |   var uploadDir, upload
     |  ^ Global Variable
  12 |
  13 |   beforeEach(function (done) {
  14 |     temp.mkdir(function (err, path) {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/unicode.js,Global Variable,"{'line': 17, 'column': 6, 'index': 344}","  15 |       if (err) return done(err)
  16 |
> 17 |       var storage = multer.diskStorage({
     |      ^ Global Variable
  18 |         destination: path,
  19 |         filename: function (req, file, cb) {
  20 |           cb(null, file.originalname)"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/unicode.js,Global Variable,"{'line': 35, 'column': 4, 'index': 728}","  33 |
  34 |   it('should handle unicode filenames', function (done) {
> 35 |     var req = new stream.PassThrough()
     |    ^ Global Variable
  36 |     var boundary = 'AaB03x'
  37 |     var body = [
  38 |       '--' + boundary,"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/unicode.js,Global Variable,"{'line': 36, 'column': 4, 'index': 767}","  34 |   it('should handle unicode filenames', function (done) {
  35 |     var req = new stream.PassThrough()
> 36 |     var boundary = 'AaB03x'
     |    ^ Global Variable
  37 |     var body = [
  38 |       '--' + boundary,
  39 |       'Content-Disposition: form-data; name=""small0""; filename=""poo.dat""; filename*=utf-8\'\'%F0%9F%92%A9.dat',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/unicode.js,Global Variable,"{'line': 37, 'column': 4, 'index': 795}","  35 |     var req = new stream.PassThrough()
  36 |     var boundary = 'AaB03x'
> 37 |     var body = [
     |    ^ Global Variable
  38 |       '--' + boundary,
  39 |       'Content-Disposition: form-data; name=""small0""; filename=""poo.dat""; filename*=utf-8\'\'%F0%9F%92%A9.dat',
  40 |       'Content-Type: text/plain',"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Assertion Roulette,"{'column': 6, 'line': 52}","  50 |
  51 |       file = req.files['CA$|-|'][0]
> 52 |       assert.strictEqual(file.fieldname, 'CA$|-|')
     |      ^ Assertion Roulette
  53 |       assert.strictEqual(file.originalname, 'empty.dat')
  54 |
  55 |       file = req.files['set-1'][0]"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Assertion Roulette,"{'column': 6, 'line': 53}","  51 |       file = req.files['CA$|-|'][0]
  52 |       assert.strictEqual(file.fieldname, 'CA$|-|')
> 53 |       assert.strictEqual(file.originalname, 'empty.dat')
     |      ^ Assertion Roulette
  54 |
  55 |       file = req.files['set-1'][0]
  56 |       assert.strictEqual(file.fieldname, 'set-1')"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Assertion Roulette,"{'column': 6, 'line': 56}","  54 |
  55 |       file = req.files['set-1'][0]
> 56 |       assert.strictEqual(file.fieldname, 'set-1')
     |      ^ Assertion Roulette
  57 |       assert.strictEqual(file.originalname, 'tiny0.dat')
  58 |
  59 |       file = req.files['set-2'][0]"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Assertion Roulette,"{'column': 6, 'line': 57}","  55 |       file = req.files['set-1'][0]
  56 |       assert.strictEqual(file.fieldname, 'set-1')
> 57 |       assert.strictEqual(file.originalname, 'tiny0.dat')
     |      ^ Assertion Roulette
  58 |
  59 |       file = req.files['set-2'][0]
  60 |       assert.strictEqual(file.fieldname, 'set-2')"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Assertion Roulette,"{'column': 6, 'line': 60}","  58 |
  59 |       file = req.files['set-2'][0]
> 60 |       assert.strictEqual(file.fieldname, 'set-2')
     |      ^ Assertion Roulette
  61 |       assert.strictEqual(file.originalname, 'tiny1.dat')
  62 |
  63 |       done()"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Assertion Roulette,"{'column': 6, 'line': 61}","  59 |       file = req.files['set-2'][0]
  60 |       assert.strictEqual(file.fieldname, 'set-2')
> 61 |       assert.strictEqual(file.originalname, 'tiny1.dat')
     |      ^ Assertion Roulette
  62 |
  63 |       done()
  64 |     })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Conditional Test Logic,"{'line': 28, 'column': 2, 'index': 677}","  26 |   assert.strictEqual(files.length, len)
  27 |
> 28 |   for (var i = 0; i < len; i++) {
     |  ^ Conditional Test Logic
  29 |     assert.strictEqual(files[i].fieldname, setName)
  30 |     assert.strictEqual(files[i].originalname, fileNames[i])
  31 |   }"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Global Variable,"{'line': 10, 'column': 2, 'index': 180}","   8 |
   9 | function generateForm () {
> 10 |   var form = new FormData()
     |  ^ Global Variable
  11 |
  12 |   form.append('CA$|-|', util.file('empty.dat'))
  13 |   form.append('set-1', util.file('tiny0.dat'))"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Global Variable,"{'line': 24, 'column': 2, 'index': 606}","  22 |
  23 | function assertSet (files, setName, fileNames) {
> 24 |   var len = fileNames.length
     |  ^ Global Variable
  25 |
  26 |   assert.strictEqual(files.length, len)
  27 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Global Variable,"{'line': 28, 'column': 7, 'index': 682}","  26 |   assert.strictEqual(files.length, len)
  27 |
> 28 |   for (var i = 0; i < len; i++) {
     |       ^ Global Variable
  29 |     assert.strictEqual(files[i].fieldname, setName)
  30 |     assert.strictEqual(files[i].originalname, fileNames[i])
  31 |   }"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Global Variable,"{'line': 35, 'column': 2, 'index': 869}","  33 |
  34 | describe('Select Field', function () {
> 35 |   var parser
     |  ^ Global Variable
  36 |
  37 |   before(function () {
  38 |     parser = multer().fields(["
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/multer/test/select-field.js,Global Variable,"{'line': 49, 'column': 6, 'index': 1231}","  47 |       assert.ifError(err)
  48 |
> 49 |       var file
     |      ^ Global Variable
  50 |
  51 |       file = req.files['CA$|-|'][0]
  52 |       assert.strictEqual(file.fieldname, 'CA$|-|')"
