"file","type","smells","itCount","describeCount"
"spec/vulnerabilities.spec.js","SubOptimalAssert","[{""startLine"":498,""endLine"":498}]",20,7
"spec/schemas.spec.js","ConditionalTestLogic","[{""startLine"":1627,""endLine"":1630}]",96,3
"spec/schemas.spec.js","ConditionalTestLogic","[{""startLine"":1634,""endLine"":1637}]",96,3
"spec/schemas.spec.js","ConditionalTestLogic","[{""startLine"":2649,""endLine"":2651}]",96,3
"spec/schemas.spec.js","NonFunctionalStatement","[{""startLine"":1565,""endLine"":1565}]",96,3
"spec/schemas.spec.js","NonFunctionalStatement","[{""startLine"":1655,""endLine"":1655}]",96,3
"spec/schemas.spec.js","NonFunctionalStatement","[{""startLine"":2805,""endLine"":2805}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2220,""endLine"":2220}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2289,""endLine"":2289}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2305,""endLine"":2305}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2365,""endLine"":2365}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2381,""endLine"":2381}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2472,""endLine"":2472}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2591,""endLine"":2591}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2680,""endLine"":2680}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":2743,""endLine"":2743}]",96,3
"spec/schemas.spec.js","SubOptimalAssert","[{""startLine"":3148,""endLine"":3148}]",96,3
"spec/schemas.spec.js","VerboseStatement","[{""startLine"":1203,""endLine"":1306}]",96,3
"spec/rest.spec.js","AnonymousTest","[{""startLine"":19,""endLine"":31}]",46,5
"spec/rest.spec.js","AnonymousTest","[{""startLine"":168,""endLine"":174}]",46,5
"spec/rest.spec.js","AnonymousTest","[{""startLine"":523,""endLine"":560}]",46,5
"spec/rest.spec.js","AnonymousTest","[{""startLine"":916,""endLine"":944}]",46,5
"spec/rest.spec.js","ConditionalTestLogic","[{""startLine"":905,""endLine"":909}]",46,5
"spec/rest.spec.js","SubOptimalAssert","[{""startLine"":276,""endLine"":276}]",46,5
"spec/rest.spec.js","SubOptimalAssert","[{""startLine"":671,""endLine"":671}]",46,5
"spec/rest.spec.js","SubOptimalAssert","[{""startLine"":705,""endLine"":705}]",46,5
"spec/rest.spec.js","SubOptimalAssert","[{""startLine"":753,""endLine"":753}]",46,5
"spec/rest.spec.js","SubOptimalAssert","[{""startLine"":757,""endLine"":757}]",46,5
"spec/index.spec.js","AnonymousTest","[{""startLine"":327,""endLine"":333}]",46,2
"spec/index.spec.js","SensitiveEquality","[{""startLine"":41,""endLine"":41}]",46,2
"spec/index.spec.js","SensitiveEquality","[{""startLine"":55,""endLine"":55}]",46,2
"spec/index.spec.js","NonFunctionalStatement","[{""startLine"":29,""endLine"":29}]",46,2
"spec/index.spec.js","NonFunctionalStatement","[{""startLine"":65,""endLine"":65}]",46,2
"spec/index.spec.js","NonFunctionalStatement","[{""startLine"":218,""endLine"":218}]",46,2
"spec/index.spec.js","NonFunctionalStatement","[{""startLine"":219,""endLine"":219}]",46,2
"spec/index.spec.js","NonFunctionalStatement","[{""startLine"":248,""endLine"":248}]",46,2
"spec/index.spec.js","NonFunctionalStatement","[{""startLine"":249,""endLine"":249}]",46,2
"spec/index.spec.js","NonFunctionalStatement","[{""startLine"":566,""endLine"":566}]",46,2
"spec/index.spec.js","VerboseStatement","[{""startLine"":539,""endLine"":575}]",46,2
"spec/index.spec.js","VerboseStatement","[{""startLine"":577,""endLine"":603}]",46,2
