file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Conditional Test Logic,"{'line': 426, 'column': 6, 'index': 15258}","  424 |       const str = 'Hello World!';
  425 |       const data = [];
> 426 |       for (let i = 0; i < str.length; i++) {
      |      ^ Conditional Test Logic
  427 |         data.push(str.charCodeAt(i));
  428 |       }
  429 |       const file = new Parse.File('hello.txt', data, 'text/plain');"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Conditional Test Logic,"{'line': 445, 'column': 6, 'index': 15894}","  443 |       const str = 'Hello World!';
  444 |       const data = [];
> 445 |       for (let i = 0; i < str.length; i++) {
      |      ^ Conditional Test Logic
  446 |         data.push(str.charCodeAt(i));
  447 |       }
  448 |       const file = new Parse.File('hello.txt', data, 'text/plain');"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Duplicate Assert,"{'line': 102, 'column': 6, 'index': 3740}","  100 |         }),
  101 |       }).catch(e => e);
> 102 |       expect(Object.prototype.dummy).toBeUndefined();
      |      ^ Duplicate Assert
  103 |       expect(pollResponse.status).toBe(400);
  104 |       const text = JSON.parse(pollResponse.text);
  105 |       expect(text.code).toBe(Parse.Error.INVALID_KEY_NAME);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Duplicate Assert,"{'line': 102, 'column': 6, 'index': 3740}","  100 |         }),
  101 |       }).catch(e => e);
> 102 |       expect(Object.prototype.dummy).toBeUndefined();
      |      ^ Duplicate Assert
  103 |       expect(pollResponse.status).toBe(400);
  104 |       const text = JSON.parse(pollResponse.text);
  105 |       expect(text.code).toBe(Parse.Error.INVALID_KEY_NAME);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Duplicate Assert,"{'line': 107, 'column': 6, 'index': 4042}","  105 |       expect(text.code).toBe(Parse.Error.INVALID_KEY_NAME);
  106 |       expect(text.error).toBe('Prohibited keyword in request data: {""key"":""constructor""}.');
> 107 |       expect(Object.prototype.dummy).toBeUndefined();
      |      ^ Duplicate Assert
  108 |     });
  109 |
  110 |     it('denies object prototype to be polluted with keyword ""__proto__""', async () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Duplicate Assert,"{'line': 107, 'column': 6, 'index': 4042}","  105 |       expect(text.code).toBe(Parse.Error.INVALID_KEY_NAME);
  106 |       expect(text.error).toBe('Prohibited keyword in request data: {""key"":""constructor""}.');
> 107 |       expect(Object.prototype.dummy).toBeUndefined();
      |      ^ Duplicate Assert
  108 |     });
  109 |
  110 |     it('denies object prototype to be polluted with keyword ""__proto__""', async () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Magic Number,"{'line': 70, 'column': 35, 'index': 2628}","  68 |         }),
  69 |       }).catch(e => e);
> 70 |       expect(response.status).toBe(400);
     |                                   ^ Magic Number
  71 |       const text = JSON.parse(response.text);
  72 |       expect(text.code).toBe(Parse.Error.INVALID_KEY_NAME);
  73 |       expect(text.error).toBe('Prohibited keyword in request data: {""key"":""constructor""}.');"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Magic Number,"{'line': 103, 'column': 39, 'index': 3827}","  101 |       }).catch(e => e);
  102 |       expect(Object.prototype.dummy).toBeUndefined();
> 103 |       expect(pollResponse.status).toBe(400);
      |                                       ^ Magic Number
  104 |       const text = JSON.parse(pollResponse.text);
  105 |       expect(text.code).toBe(Parse.Error.INVALID_KEY_NAME);
  106 |       expect(text.error).toBe('Prohibited keyword in request data: {""key"":""constructor""}.');"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Magic Number,"{'line': 122, 'column': 35, 'index': 4605}","  120 |         body: JSON.stringify({ 'obj.__proto__.dummy': 0 }),
  121 |       }).catch(e => e);
> 122 |       expect(response.status).toBe(400);
      |                                   ^ Magic Number
  123 |       const text = JSON.parse(response.text);
  124 |       expect(text.code).toBe(Parse.Error.INVALID_KEY_NAME);
  125 |       expect(text.error).toBe('Prohibited keyword in request data: {""key"":""__proto__""}.');"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,Magic Number,"{'line': 149, 'column': 35, 'index': 5546}","  147 |       };
  148 |       const response = await request(params).catch(e => e);
> 149 |       expect(response.status).toBe(400);
      |                                   ^ Magic Number
  150 |       const text = JSON.parse(response.text);
  151 |       expect(text.code).toBe(Parse.Error.INVALID_KEY_NAME);
  152 |       expect(text.error).toBe("
