FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/vulnerabilities.spec.js,20,4,501,562,51,9.075,5.339,43.675,699501.168,2018,38861.176,245,16016.135,98.72,0,2,4,0,0,0,0,0,0,12,0,0,0,0,0,8
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/schemas.spec.js,96,6,3843,4155,402,9.675,43.236,129.037,16737136.004,13785,929840.889,680,129708.454,96.527,0,4,97,0,0,14,0,0,0,59,0,0,0,0,1,9
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/rest.spec.js,46,6,1164,1302,139,10.676,14.529,100.983,4401691.866,5084,244538.437,381,43588.422,99.167,0,1,79,0,0,4,0,0,0,37,0,0,1,0,0,3
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/parsers.spec.js,8,1,84,142,14,9.859,0.792,20.872,49576.153,409,2754.231,56,2375.208,105.519,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/index.spec.js,46,6,689,816,98,12.01,7.686,40.616,936509.809,2714,52028.323,361,23057.751,105.321,0,1,7,0,0,0,0,0,0,5,0,0,2,0,2,12
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/features.spec.js,2,2,40,39,4,10.256,0.216,8.727,5647.227,120,313.735,42,647.078,109.304,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/defaultGraphQLTypes.spec.js,50,2,609,853,139,16.295,5.896,46.115,815705.717,2356,45316.984,182,17688.364,111.932,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/cryptoUtils.spec.js,16,2,88,123,31,25.203,0.685,29.167,59954.94,348,3330.83,60,2055.598,121.418,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/batch.spec.js,16,4,597,587,40,6.814,5.52,111.759,1850713.909,2220,102817.439,176,16559.938,81.863,0,9,4,0,0,2,0,0,0,12,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/parse-server/spec/WinstonLoggerAdapter.spec.js,13,2,279,333,45,13.514,2.869,43.545,374783.801,1209,20821.322,139,8606.8,106.765,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
