file,type,line,method,source
/examples/rest-persister/tests/rest-persister.test.js,AnonymousTest,"{'startLine':9,'endLine':15}","it('should work', async function () {
    const res = await fetch('https://jsonplaceholder.typicode.com/posts/1');
    const post = await res.json();

    expect(res.status).to.equal(200);
    expect(post.id).to.equal(1);
  })",snuts
/examples/node-fetch/tests/node-fetch.test.js,AnonymousTest,"{'startLine':23,'endLine':29}","it('should work', async function () {
    const res = await fetch('https://jsonplaceholder.typicode.com/posts/1');
    const post = await res.json();

    expect(res.status).to.equal(200);
    expect(post.id).to.equal(1);
  })",snuts
/examples/client-server/tests/intercept.test.js,ConditionalTestLogic,"{'startLine':51,'endLine':56}","it('can conditionally intercept requests', async function () {
    const { server } = this.polly;

    server
      .get('https://jsonplaceholder.typicode.com/posts/:id')
      .intercept((req, res, interceptor) => {
        if (req.params.id === '42') {
          res.status(200).send('Life');
        } else {
          // Abort out of the intercept handler and continue with the request
          interceptor.abort();
        }
      });

    let res = await fetch('https://jsonplaceholder.typicode.com/posts/42');

    expect(res.status).to.equal(200);
    expect(await res.text()).to.equal('Life');

    res = await fetch('https://jsonplaceholder.typicode.com/posts/1');

    expect(res.status).to.equal(200);
    expect((await res.json()).id).to.equal(1);
  })",snuts
/tests/integration/persister-tests.js,VerboseStatement,"{'startLine':27,'endLine':49}","it('should have the correct metadata', async function () {
    const { recordingId, recordingName, persister } = this.polly;

    this.polly.record();
    await this.fetchRecord();
    await persister.persist();

    const har = await persister.findRecording(recordingId);
    const { _recordingName, creator, entries } = har.log;
    const entry = entries[0];

    expect(_recordingName).to.equal(recordingName);

    expect(creator.name).to.equal('Polly.JS');
    expect(creator.version).to.equal(Polly.VERSION);
    expect(creator.comment).to.equal(
      `${persister.constructor.type}:${persister.constructor.id}`
    );

    expect(entry).to.be.an('object');
    expect(entry._id).to.a('string');
    expect(entry._order).to.equal(0);
  })",snuts
/tests/integration/persister-tests.js,VerboseStatement,"{'startLine':51,'endLine':85}","it('should add new entries to an existing recording', async function () {
    const { recordingId, recordingName, config } = this.polly;
    let { persister } = this.polly;

    const orderedRecordUrl = (order) => `${this.recordUrl()}?order=${order}`;

    this.polly.record();
    await this.fetch(orderedRecordUrl(1));
    await persister.persist();

    let har = await persister.findRecording(recordingId);

    expect(har.log.entries).to.have.lengthOf(1);

    await this.polly.stop();

    this.polly = new Polly(recordingName, config);
    persister = this.polly.persister;

    this.polly.record();
    await this.fetch(orderedRecordUrl(1));
    await this.fetch(orderedRecordUrl(1));
    await this.fetch(orderedRecordUrl(2));
    await persister.persist();

    har = await persister.findRecording(recordingId);

    expect(har.log.entries).to.have.lengthOf(3);
    expect(
      har.log.entries.filter((e) => e.request.url.includes(orderedRecordUrl(1)))
    ).to.have.lengthOf(2);
    expect(
      har.log.entries.filter((e) => e.request.url.includes(orderedRecordUrl(2)))
    ).to.have.lengthOf(1);
  })",snuts
/tests/integration/persister-tests.js,VerboseStatement,"{'startLine':134,'endLine':173}","it('should correctly handle array header values', async function () {
    const { recordingId, server, persister } = this.polly;
    let responseCalled = false;

    this.polly.record();

    server
      .get(this.recordUrl())
      .configure({ matchRequestsBy: { order: false } })
      .once('beforeResponse', (req, res) => {
        res.setHeaders({
          string: 'foo',
          one: ['foo'],
          two: ['foo', 'bar']
        });
      });

    await this.fetchRecord();
    await persister.persist();

    const har = await persister.findRecording(recordingId);
    const { headers } = har.log.entries[0].response;

    expect(await validate.har(har)).to.be.true;
    expect(
      headers.filter(({ _fromType }) => _fromType === 'array')
    ).to.have.lengthOf(3);

    this.polly.replay();

    server.get(this.recordUrl()).once('response', (req, res) => {
      expect(res.getHeader('string')).to.equal('foo');
      expect(res.getHeader('one')).to.deep.equal(['foo']);
      expect(res.getHeader('two')).to.deep.equal(['foo', 'bar']);
      responseCalled = true;
    });

    await this.fetchRecord();
    expect(responseCalled).to.be.true;
  })",snuts
/tests/integration/persister-tests.js,VerboseStatement,"{'startLine':250,'endLine':284}","it('should remove unused entries when `keepUnusedRequests` is false', async function () {
    const { recordingName, recordingId, config } = this.polly;

    const orderedRecordUrl = (order) => `${this.recordUrl()}?order=${order}`;

    await this.fetch(orderedRecordUrl(1));
    await this.fetch(orderedRecordUrl(2));
    await this.polly.persister.persist();

    let har = await this.polly.persister.findRecording(recordingId);

    expect(har).to.be.an('object');
    expect(har.log.entries).to.have.lengthOf(2);

    await this.polly.stop();

    this.polly = new Polly(recordingName, config);
    this.polly.replay();
    this.polly.configure({
      persisterOptions: {
        keepUnusedRequests: false
      }
    });

    await this.fetch(orderedRecordUrl(1)); // -> Replay
    await this.fetch(orderedRecordUrl(3)); // -> New recording
    await this.polly.persister.persist();

    har = await this.polly.persister.findRecording(recordingId);

    expect(har).to.be.an('object');
    expect(har.log.entries).to.have.lengthOf(2);
    expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
    expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(3));
  })",snuts
/tests/integration/persister-tests.js,VerboseStatement,"{'startLine':286,'endLine':325}","it('should sort the entries by date', async function () {
    this.polly.configure({
      persisterOptions: {
        keepUnusedRequests: true
      }
    });
    const { recordingName, recordingId, config } = this.polly;

    const orderedRecordUrl = (order) => `${this.recordUrl()}?order=${order}`;

    await this.fetch(orderedRecordUrl(1));
    await this.fetch(orderedRecordUrl(2));
    await this.polly.persister.persist();

    let har = await this.polly.persister.findRecording(recordingId);

    expect(har).to.be.an('object');
    expect(har.log.entries).to.have.lengthOf(2);
    expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
    expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(2));

    await this.polly.stop();

    this.polly = new Polly(recordingName, config);
    this.polly.record();

    await this.fetch(orderedRecordUrl(3));
    await this.fetch(orderedRecordUrl(4));
    await this.fetch(orderedRecordUrl(2));
    await this.polly.persister.persist();

    har = await this.polly.persister.findRecording(recordingId);

    expect(har).to.be.an('object');
    expect(har.log.entries).to.have.lengthOf(4);
    expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
    expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(3));
    expect(har.log.entries[2].request.url).to.include(orderedRecordUrl(4));
    expect(har.log.entries[3].request.url).to.include(orderedRecordUrl(2));
  })",snuts
/tests/integration/persister-tests.js,VerboseStatement,"{'startLine':327,'endLine':366}","it('should not sort the entries by date if `disableSortingHarEntries` is true', async function () {
    this.polly.configure({
      persisterOptions: {
        keepUnusedRequests: true,
        disableSortingHarEntries: true
      }
    });
    const { recordingName, recordingId, config } = this.polly;

    const orderedRecordUrl = (order) => `${this.recordUrl()}?order=${order}`;

    await this.fetch(orderedRecordUrl(1));
    await this.fetch(orderedRecordUrl(2));
    await this.polly.persister.persist();

    let har = await this.polly.persister.findRecording(recordingId);

    expect(har).to.be.an('object');
    expect(har.log.entries).to.have.lengthOf(2);
    expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(1));
    expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(2));

    await this.polly.stop();

    this.polly = new Polly(recordingName, config);
    this.polly.replay();

    await this.fetch(orderedRecordUrl(3));
    await this.fetch(orderedRecordUrl(4));
    await this.polly.persister.persist();

    har = await this.polly.persister.findRecording(recordingId);

    expect(har).to.be.an('object');
    expect(har.log.entries).to.have.lengthOf(4);
    expect(har.log.entries[0].request.url).to.include(orderedRecordUrl(3));
    expect(har.log.entries[1].request.url).to.include(orderedRecordUrl(4));
    expect(har.log.entries[2].request.url).to.include(orderedRecordUrl(1));
    expect(har.log.entries[3].request.url).to.include(orderedRecordUrl(2));
  })",snuts
/tests/integration/persister-tests.js,VerboseStatement,"{'startLine':368,'endLine':417}","it('should correctly handle binary responses', async function () {
    const { recordingId, server, persister } = this.polly;
    let har, content;

    this.polly.record();

    // Non binary content
    server.get(this.recordUrl()).once('beforeResponse', (req, res) => {
      res.body = 'Some content';
    });

    await this.fetchRecord();
    await persister.persist();

    har = await persister.findRecording(recordingId);
    content = har.log.entries[0].response.content;

    expect(await validate.har(har)).to.be.true;
    expect(content.encoding).to.be.undefined;

    // Binary content
    server.get(this.recordUrl()).once('beforeResponse', (req, res) => {
      res.encoding = 'base64';
      res.body = 'U29tZSBjb250ZW50';
    });

    await this.fetchRecord();
    await persister.persist();

    har = await persister.findRecording(recordingId);
    content = har.log.entries[1].response.content;

    expect(await validate.har(har)).to.be.true;
    expect(content.encoding).to.equal('base64');

    // Binary content with no body
    server.get(this.recordUrl()).once('beforeResponse', (req, res) => {
      res.encoding = 'base64';
      res.body = '';
    });

    await this.fetchRecord();
    await persister.persist();

    har = await persister.findRecording(recordingId);
    content = har.log.entries[2].response.content;

    expect(await validate.har(har)).to.be.true;
    expect(content.encoding).to.be.undefined;
  })",snuts
