"file","type","smells","itCount","describeCount"
"examples/rest-persister/tests/rest-persister.test.js","AnonymousTest","[{""startLine"":9,""endLine"":15}]",1,1
"examples/node-fetch/tests/node-fetch.test.js","AnonymousTest","[{""startLine"":23,""endLine"":29}]",1,1
"examples/client-server/tests/intercept.test.js","ConditionalTestLogic","[{""startLine"":51,""endLine"":56}]",3,1
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","AnonymousTest","[{""startLine"":29,""endLine"":31}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","AnonymousTest","[{""startLine"":1095,""endLine"":1097}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","AnonymousTest","[{""startLine"":1113,""endLine"":1115}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","AnonymousTest","[{""startLine"":1988,""endLine"":1990}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","AnonymousTest","[{""startLine"":2012,""endLine"":2014}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","AnonymousTest","[{""startLine"":2023,""endLine"":2025}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","AnonymousTest","[{""startLine"":2026,""endLine"":2028}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","IdenticalTestDescription","[{""startLine"":1095,""endLine"":1097}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","IdenticalTestDescription","[{""startLine"":1104,""endLine"":1106}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","IdenticalTestDescription","[{""startLine"":1113,""endLine"":1115}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","IdenticalTestDescription","[{""startLine"":1988,""endLine"":1990}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","IdenticalTestDescription","[{""startLine"":2012,""endLine"":2014}]",24,7
"packages/@pollyjs/utils/build/node/test-bundle.cjs.js","IdenticalTestDescription","[{""startLine"":2023,""endLine"":2025}]",24,7
"packages/@pollyjs/utils/build/browser/test-bundle.es.js","AnonymousTest","[{""startLine"":31,""endLine"":33}]",24,7
"packages/@pollyjs/utils/build/browser/test-bundle.es.js","AnonymousTest","[{""startLine"":3591,""endLine"":3593}]",24,7
"packages/@pollyjs/utils/build/browser/test-bundle.es.js","AnonymousTest","[{""startLine"":3609,""endLine"":3611}]",24,7
