file,type,line,method,source
/test/unit/dev-warning.spec.js,NonFunctionalStatement,"{'startLine':4,'endLine':4}",Unknown,snuts
/cypress/integration/reorder.spec.js,OvercommentedTest,"{'startLine':11,'endLine':35}","it('should reorder within a list', () => {
    // order: 1, 2
    cy.get(getHandleSelector()).eq(0).as('first').should('contain', 'id:1');
    cy.get(getHandleSelector()).eq(1).should('contain', 'id:2');

    // reorder operation
    cy.get('@first')
      .focus()
      .trigger('keydown', { keyCode: keyCodes.space })
      // need to re-query for a clone
      .get('@first')
      .trigger('keydown', { keyCode: keyCodes.arrowDown, force: true })
      // finishing before the movement time is fine - but this looks nice
      .wait(timings.outOfTheWay * 1000)
      .trigger('keydown', { keyCode: keyCodes.space, force: true });

    // order now 2, 1
    // note: not using get aliases as they where returning incorrect results
    cy.get(getHandleSelector()).eq(0).should('contain', 'id:2');

    cy.get(getHandleSelector()).eq(1).should('contain', 'id:1');

    // element should maintain focus post drag
    cy.focused().should('contain', 'id:1');
  })",snuts
/cypress/integration/reorder-virtual.spec.js,OvercommentedTest,"{'startLine':11,'endLine':52}","it('should reorder within a list', () => {
    const movements: number = 12;

    cy.get(getHandleSelector()).first().as('item');

    cy.get('@item').invoke('attr', 'data-testid').as('item-id');

    cy.get('@item')
      .invoke('attr', 'data-index')
      .as('item-index')
      .should('equal', '0');

    // lift
    cy.get('@item')
      .focus()
      .trigger('keydown', { keyCode: keyCodes.space })
      // need to re-query for a clone
      .get('@item');

    cy.wrap(Array.from({ length: movements })).each(() => {
      cy.get('@item')
        .trigger('keydown', { keyCode: keyCodes.arrowDown, force: true })
        // finishing before the movement time is fine - but this looks nice
        // waiting longer than we should (timings.outOfTheWay * 1000) as electron is being strange
        .wait(timings.outOfTheWay * 1000 * 2);
    });

    // drop
    cy.get('@item').trigger('keydown', {
      keyCode: keyCodes.space,
      force: true,
    });

    // This is setting up a chain of commands and this test will not wait
    // for a 'promise' to resolve. Linting is getting confused by .then
    // eslint-disable-next-line jest/valid-expect-in-promise
    cy.get('@item-id').then((id) => {
      cy.get(getHandleSelector(id))
        .invoke('attr', 'data-index')
        .should('equal', `${movements}`);
    });
  })",snuts
/cypress/integration/reorder-lists.spec.js,OvercommentedTest,"{'startLine':11,'endLine':33}","it('should reorder lists', () => {
    // order: Jake, BMO
    cy.get('h4').eq(0).as('first').should('contain', 'Jake');

    cy.get('h4').eq(1).should('contain', 'BMO');

    // reorder operation
    cy.get('@first')
      .closest(getHandleSelector())
      .focus()
      .trigger('keydown', { keyCode: keyCodes.space })
      .trigger('keydown', { keyCode: keyCodes.arrowRight, force: true })
      // finishing before the movement time is fine - but this looks nice
      .wait(timings.outOfTheWay * 1000)
      .trigger('keydown', { keyCode: keyCodes.space, force: true });

    // order now 2, 1
    // note: not using get aliases as they where returning incorrect results
    cy.get('h4').eq(0).should('contain', 'BMO');

    // index of the drag handle has changed
    cy.get('h4').eq(1).should('contain', 'Jake');
  })",snuts
/cypress/integration/focus.spec.js,OvercommentedTest,"{'startLine':48,'endLine':83}","it('should maintain focus if dragging a clone', () => {
    cy.visit('/iframe.html?id=board--dragging-a-clone');
    // focusing on another handle
    cy.get(getHandleSelector('2')).focus();
    cy.focused().should('contain', 'id:2');

    cy.get(getHandleSelector('2')).trigger('keydown', {
      keyCode: keyCodes.space,
    });

    // asserting id:2 is now dragging
    cy.get(getHandleSelector('2')).should(
      'have.attr',
      'data-is-dragging',
      'true',
    );

    // focus maintained
    cy.focused().should('contain', 'id:2');

    cy.get(getHandleSelector('2'))
      .trigger('keydown', { keyCode: keyCodes.arrowRight, force: true })
      .trigger('keydown', { keyCode: keyCodes.space, force: true })
      // clone will be unmounting during drop
      .should('not.exist');

    // getting post clone handle
    cy.get(getHandleSelector('2'))
      // no longer dragging
      .should('have.attr', 'data-is-dragging', 'false')
      // is in the second column (normally would loose focus moving between lists)
      .closest(getDraggableSelector('BMO'));

    // focus maintained
    cy.focused().should('contain', 'id:2');
  })",snuts
/cypress/integration/focus.spec.js,OvercommentedTest,"{'startLine':85,'endLine':115}","it('should give focus to a combine target', () => {
    cy.visit('/iframe.html?id=board--with-combining-and-cloning');
    cy.get(getHandleSelector('2')).focus();
    cy.focused().should('contain', 'id:2');

    cy.get(getHandleSelector('2')).trigger('keydown', {
      keyCode: keyCodes.space,
    });

    // asserting id:2 is now dragging
    cy.get(getHandleSelector('2')).should(
      'have.attr',
      'data-is-dragging',
      'true',
    );

    // focus maintained
    cy.focused().should('contain', 'id:2');

    cy.get(getHandleSelector('2'))
      .trigger('keydown', { keyCode: keyCodes.arrowRight, force: true })
      // combining with item:1
      .trigger('keydown', { keyCode: keyCodes.arrowUp, force: true })
      // dropping
      .trigger('keydown', { keyCode: keyCodes.space, force: true })
      // clone will be unmounting during drop
      .should('not.exist');

    // focus giving to item:1 the combine target
    cy.focused().should('contain', 'id:1');
  })",snuts
/cypress/integration/focus.spec.js,OvercommentedTest,"{'startLine':117,'endLine':147}","it('should not give focus to a combine target if source did not have focus at start of drag', () => {
    cy.visit('/iframe.html?id=board--with-combining-and-cloning');
    // focusing on something unrelated to the drag
    cy.get(getHandleSelector('3')).focus();

    cy.get(getHandleSelector('2')).trigger('keydown', {
      keyCode: keyCodes.space,
    });

    // asserting id:2 is now dragging
    cy.get(getHandleSelector('2')).should(
      'have.attr',
      'data-is-dragging',
      'true',
    );

    // focus not stolen
    cy.focused().should('contain', 'id:3');

    cy.get(getHandleSelector('2'))
      .trigger('keydown', { keyCode: keyCodes.arrowRight, force: true })
      // combining with item:1
      .trigger('keydown', { keyCode: keyCodes.arrowUp, force: true })
      // dropping
      .trigger('keydown', { keyCode: keyCodes.space, force: true })
      // clone will be unmounting during drop
      .should('not.exist');

    // focus not given to the combine target
    cy.focused().should('contain', 'id:3');
  })",snuts
/test/unit/view/use-draggable-publisher.spec.js,OvercommentedTest,"{'startLine':130,'endLine':182}","it('should update its registration when a descriptor property changes', () => {
    const registry: Registry = createRegistry();
    const registerSpy = jest.spyOn(registry.draggable, 'register');
    const updateSpy = jest.spyOn(registry.draggable, 'update');
    const unregisterSpy = jest.spyOn(registry.draggable, 'unregister');
    const wrapper = mount(<Item registry={registry} />);

    const expectedInitial: DraggableEntry = {
      // $ExpectError
      uniqueId: expect.any(String),
      descriptor: preset.inHome1.descriptor,
      options: defaultOptions,
      // $ExpectError
      getDimension: expect.any(Function),
    };

    // asserting shape of original publish
    expect(registerSpy).toHaveBeenCalledTimes(1);
    expect(registerSpy).toHaveBeenCalledWith(expectedInitial);
    const entry = registerSpy.mock.calls[0][0];
    expect(entry).toEqual(expectedInitial);

    expect(updateSpy).not.toHaveBeenCalled();
    expect(unregisterSpy).not.toHaveBeenCalled();

    registerSpy.mockReset();

    // updating the index
    wrapper.setProps({
      index: 1000,
    });

    // Descriptor updated
    const expectedUpdate: DraggableEntry = {
      uniqueId: entry.uniqueId,
      descriptor: {
        ...preset.inHome1.descriptor,
        index: 1000,
      },
      options: defaultOptions,
      // $ExpectError
      getDimension: expect.any(Function),
    };
    expect(updateSpy).toHaveBeenCalledTimes(1);
    // new descriptor
    expect(updateSpy.mock.calls[0][0]).toEqual(expectedUpdate);
    // late reference: same reference
    expect(updateSpy.mock.calls[0][1]).toBe(entry);

    // Nothing else changed
    expect(registerSpy).not.toHaveBeenCalled();
    expect(unregisterSpy).not.toHaveBeenCalled();
  })",snuts
/test/unit/view/use-draggable-publisher.spec.js,NonFunctionalStatement,"{'startLine':77,'endLine':77}","beforeEach(() => {
  // having issues on CI
  tryCleanPrototypeStubs();
  jest.spyOn(console, 'error').mockImplementation(() => {});
})",snuts
/test/unit/view/use-draggable-publisher.spec.js,VerboseStatement,"{'startLine':130,'endLine':182}","it('should update its registration when a descriptor property changes', () => {
    const registry: Registry = createRegistry();
    const registerSpy = jest.spyOn(registry.draggable, 'register');
    const updateSpy = jest.spyOn(registry.draggable, 'update');
    const unregisterSpy = jest.spyOn(registry.draggable, 'unregister');
    const wrapper = mount(<Item registry={registry} />);

    const expectedInitial: DraggableEntry = {
      // $ExpectError
      uniqueId: expect.any(String),
      descriptor: preset.inHome1.descriptor,
      options: defaultOptions,
      // $ExpectError
      getDimension: expect.any(Function),
    };

    // asserting shape of original publish
    expect(registerSpy).toHaveBeenCalledTimes(1);
    expect(registerSpy).toHaveBeenCalledWith(expectedInitial);
    const entry = registerSpy.mock.calls[0][0];
    expect(entry).toEqual(expectedInitial);

    expect(updateSpy).not.toHaveBeenCalled();
    expect(unregisterSpy).not.toHaveBeenCalled();

    registerSpy.mockReset();

    // updating the index
    wrapper.setProps({
      index: 1000,
    });

    // Descriptor updated
    const expectedUpdate: DraggableEntry = {
      uniqueId: entry.uniqueId,
      descriptor: {
        ...preset.inHome1.descriptor,
        index: 1000,
      },
      options: defaultOptions,
      // $ExpectError
      getDimension: expect.any(Function),
    };
    expect(updateSpy).toHaveBeenCalledTimes(1);
    // new descriptor
    expect(updateSpy.mock.calls[0][0]).toEqual(expectedUpdate);
    // late reference: same reference
    expect(updateSpy.mock.calls[0][1]).toBe(entry);

    // Nothing else changed
    expect(registerSpy).not.toHaveBeenCalled();
    expect(unregisterSpy).not.toHaveBeenCalled();
  })",snuts
