file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/dev-warning.spec.js,Duplicate Assert,"{'line': 23, 'column': 2, 'index': 467}","  21 |   warning('hi');
  22 |
> 23 |   expect(warn).not.toHaveBeenCalled();
     |  ^ Duplicate Assert
  24 |
  25 |   // re-enable
  26 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/dev-warning.spec.js,Duplicate Assert,"{'line': 31, 'column': 2, 'index': 607}","  29 |   warning('hey');
  30 |
> 31 |   expect(warn).toHaveBeenCalled();
     |  ^ Duplicate Assert
  32 | });
  33 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,Duplicate Assert,"{'line': 100, 'column': 4, 'index': 2698}","   98 |       getDimension: expect.any(Function),
   99 |     };
> 100 |     expect(registerSpy).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  101 |     expect(registerSpy).toHaveBeenCalledWith(expected);
  102 |   });
  103 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,Duplicate Assert,"{'line': 101, 'column': 4, 'index': 2748}","   99 |     };
  100 |     expect(registerSpy).toHaveBeenCalledTimes(1);
> 101 |     expect(registerSpy).toHaveBeenCalledWith(expected);
      |    ^ Duplicate Assert
  102 |   });
  103 |
  104 |   it('should unregister itself when unmounting', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,Duplicate Assert,"{'line': 119, 'column': 4, 'index': 3360}","  117 |     };
  118 |
> 119 |     expect(unregisterSpy).not.toHaveBeenCalled();
      |    ^ Duplicate Assert
  120 |     expect(registerSpy).toHaveBeenCalledTimes(1);
  121 |     expect(registerSpy).toHaveBeenCalledWith(expected);
  122 |     const entry = registerSpy.mock.calls[0][0];"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,Duplicate Assert,"{'line': 120, 'column': 4, 'index': 3410}","  118 |
  119 |     expect(unregisterSpy).not.toHaveBeenCalled();
> 120 |     expect(registerSpy).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  121 |     expect(registerSpy).toHaveBeenCalledWith(expected);
  122 |     const entry = registerSpy.mock.calls[0][0];
  123 |     expect(entry).toEqual(expected);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,Duplicate Assert,"{'line': 121, 'column': 4, 'index': 3460}","  119 |     expect(unregisterSpy).not.toHaveBeenCalled();
  120 |     expect(registerSpy).toHaveBeenCalledTimes(1);
> 121 |     expect(registerSpy).toHaveBeenCalledWith(expected);
      |    ^ Duplicate Assert
  122 |     const entry = registerSpy.mock.calls[0][0];
  123 |     expect(entry).toEqual(expected);
  124 |"
