FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/dev-warning.spec.js,2,1,33,24,5,20.833,0.117,5.318,1866.346,73,103.686,28,350.937,125.334,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,8,1,378,315,26,8.254,3.018,32.578,294968.515,1270,16387.14,140,9054.189,98.659,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/announcer.spec.js,4,2,76,71,10,14.085,0.45,10.417,14071.513,226,781.751,63,1350.865,114.454,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,10,2,397,305,16,5.246,3.003,33.82,304670.028,1339,16926.113,106,9008.685,89.545,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,4,1,129,95,6,6.316,0.77,17.575,40603.35,388,2255.742,62,2310.228,96.09,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/publishing.spec.js,9,3,547,438,30,6.849,4.052,45.818,556971.658,1760,30942.87,120,12156.127,93.952,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/is-enabled-change.spec.js,3,1,110,64,7,10.938,0.529,14.9,23666.399,276,1314.8,54,1588.349,107.359,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/is-element-scrollable.spec.js,5,2,81,76,15,19.737,0.562,14.531,24495.404,289,1360.856,57,1685.705,119.411,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/is-combined-enabled-change.spec.js,3,1,121,70,7,10,0.591,14.348,25431.599,308,1412.867,54,1772.505,105.662,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/forced-scroll.spec.js,3,2,132,119,11,9.244,0.944,16.667,47177.837,465,2620.991,68,2830.67,103.82,0,0,24,0,0,0,0,0,0,14,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/style-marshal/style-marshal.spec.js,9,1,214,210,23,10.952,1.64,27.95,137549.34,736,7641.63,103,4921.264,103.555,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/placeholder/on-transition-end.spec.js,1,1,64,34,3,8.824,0.234,7.412,5201.868,131,288.993,41,701.839,106.164,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/placeholder/on-close.spec.js,2,3,77,46,4,8.696,0.307,9.3,8575.402,171,476.411,42,922.086,105.201,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/placeholder/animated-mount.spec.js,3,2,122,79,10,12.658,0.542,16.189,26323.429,270,1462.413,65,1626.039,108.41,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/is-type-of-element/is-element.spec.js,3,1,35,42,6,14.286,0.283,17.981,15268.207,163,848.234,37,849.141,112.657,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/droppable/placeholder.spec.js,7,1,81,67,10,14.925,0.346,14.13,14664.329,204,814.685,34,1037.842,115.252,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/droppable/placeholder-setup-warning.spec.js,4,2,91,61,11,18.033,0.41,15.024,18499.456,216,1027.748,52,1231.295,117.847,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/droppable/pass-through-snapshot.spec.js,2,1,48,39,4,10.256,0.257,13.276,10244.568,146,569.143,39,771.669,107.267,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/droppable/own-props-validation.spec.js,4,1,72,50,14,28,0.242,9.692,7040.422,144,391.135,33,726.393,129.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/droppable/inner-ref-validation.spec.js,2,1,45,20,7,35,0.127,13.588,5160.554,79,286.697,28,379.781,131.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/droppable/home-list-placeholder-cleanup.spec.js,2,2,58,39,4,10.256,0.234,10.923,7668.763,138,426.042,34,702.07,108.258,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/dimension-marshal/publish-while-dragging.spec.js,14,3,590,423,24,5.674,4.466,49.289,660376.535,1899,36687.585,133,13397.981,89.556,0,0,45,8,0,0,0,0,8,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/dimension-marshal/initial-publish.spec.js,9,3,357,269,16,5.948,2.604,35.444,276933.643,1176,15385.202,100,7813.175,91.906,0,0,8,5,0,0,0,0,6,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/dimension-marshal/droppable-passthrough.spec.js,9,1,182,159,16,10.063,1.193,22.853,81795.85,611,4544.214,58,3579.226,104.595,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/connected-droppable/post-drop.spec.js,5,1,202,162,10,6.173,1.393,21.101,88202.932,667,4900.163,77,4179.947,94.813,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
