file,type,line,method,source
/spec/parcels/parcel-error-handlers.spec.js,GeneralFixture,"{'startLine':135,'endLine':135}","beforeEach(() => {
          errs = [];
          singleSpa.addErrorHandler(handleError);
        })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':29,'endLine':29}","it(`should throw an error when bootstrapping fails`, async () => {
        const app = createApp();
        let shouldAppBeMounted = true;

        singleSpa.registerApplication(
          ""parcel-bootstrap-errors"",
          app,
          () => shouldAppBeMounted
        );
        await singleSpa.triggerAppChange();
        expect(app.mountCalls).toBe(1);

        const parcelConfig1 = createParcelConfig(""bootstrap"");
        parcelConfig1.name = ""bootstrap-error"";
        const parcel1 = app.mountProps.mountParcel(parcelConfig1, {
          domElement: document.createElement(""div""),
        });

        // avoid unhandled rejection causing test failure
        parcel1.mountPromise.catch((err) => {});

        await parcel1.bootstrapPromise.catch((err) => {
          expect(err.appOrParcelName).toBe(""bootstrap-error"");
          expect(err.message).toMatch(`BOOTSTRAPPING`);
          expect(err.message.indexOf(`bootstrap-error`)).toBeGreaterThan(-1);
          expect(parcel1.getStatus()).toBe(""SKIP_BECAUSE_BROKEN"");
        });
      })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':104,'endLine':104}","it(`should throw an error that you can catch when a parcel fails to unmount outside an app lifecycle`, async () => {
          const app = createApp();
          let shouldAppBeMounted = true;

          singleSpa.registerApplication(
            ""parcel-unmount-parcel-errors"",
            app,
            () => shouldAppBeMounted
          );
          await singleSpa.triggerAppChange();

          expect(app.mountCalls).toBe(1);

          const parcelConfig1 = createParcelConfig(""unmount"");
          parcelConfig1.name = ""unmount-error1"";
          const parcel1 = app.mountProps.mountParcel(parcelConfig1, {
            domElement: document.createElement(""div""),
          });

          // avoid unhandled rejections causing test failures
          parcel1.unmountPromise.catch((err) => {});

          await parcel1.mountPromise;
          expect(parcel1.getStatus()).toBe(""MOUNTED"");
          expect(parcelConfig1.bootstrapCalls).toBe(1);
          expect(parcelConfig1.mountCalls).toBe(1);
          expect(parcelConfig1.unmountCalls).toBe(0);

          // avoid unhandled rejection errors
          parcel1.unmount().catch((err) => {});

          expect(parcelConfig1.unmountCalls).toBe(0);
          try {
            await parcel1.unmountPromise;
          } catch (err) {
            expect(err.appOrParcelName).toBe(""unmount-error1"");
            expect(err.message.indexOf(`UNMOUNTING`)).toBeGreaterThan(-1);
            expect(err.message.indexOf(`unmount-error1`)).toBeGreaterThan(-1);
          }
          expect(parcel1.getStatus()).toBe(""SKIP_BECAUSE_BROKEN"");
        })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':113,'endLine':113}","it(`should throw an error that you can catch when a parcel fails to unmount outside an app lifecycle`, async () => {
          const app = createApp();
          let shouldAppBeMounted = true;

          singleSpa.registerApplication(
            ""parcel-unmount-parcel-errors"",
            app,
            () => shouldAppBeMounted
          );
          await singleSpa.triggerAppChange();

          expect(app.mountCalls).toBe(1);

          const parcelConfig1 = createParcelConfig(""unmount"");
          parcelConfig1.name = ""unmount-error1"";
          const parcel1 = app.mountProps.mountParcel(parcelConfig1, {
            domElement: document.createElement(""div""),
          });

          // avoid unhandled rejections causing test failures
          parcel1.unmountPromise.catch((err) => {});

          await parcel1.mountPromise;
          expect(parcel1.getStatus()).toBe(""MOUNTED"");
          expect(parcelConfig1.bootstrapCalls).toBe(1);
          expect(parcelConfig1.mountCalls).toBe(1);
          expect(parcelConfig1.unmountCalls).toBe(0);

          // avoid unhandled rejection errors
          parcel1.unmount().catch((err) => {});

          expect(parcelConfig1.unmountCalls).toBe(0);
          try {
            await parcel1.unmountPromise;
          } catch (err) {
            expect(err.appOrParcelName).toBe(""unmount-error1"");
            expect(err.message.indexOf(`UNMOUNTING`)).toBeGreaterThan(-1);
            expect(err.message.indexOf(`unmount-error1`)).toBeGreaterThan(-1);
          }
          expect(parcel1.getStatus()).toBe(""SKIP_BECAUSE_BROKEN"");
        })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':163,'endLine':163}","it(`should throw an error when unmounting a parcel fails during app unmount`, async () => {
          const app = createApp();
          let shouldAppBeMounted = true;

          singleSpa.registerApplication(
            ""app-parcel-unmount-errors"",
            app,
            () => shouldAppBeMounted
          );

          await singleSpa.triggerAppChange();
          expect(app.mountCalls).toBe(1);

          const parcelConfig1 = createParcelConfig(""unmount"");
          parcelConfig1.name = ""unmount-error2"";
          const parcel1 = app.mountProps.mountParcel(parcelConfig1, {
            domElement: document.createElement(""div""),
          });

          // avoid unhandled rejection causing test failures
          parcel1.unmountPromise.catch((err) => {});

          await parcel1.mountPromise;
          expect(parcelConfig1.bootstrapCalls).toBe(1);
          expect(parcelConfig1.mountCalls).toBe(1);
          expect(parcelConfig1.unmountCalls).toBe(0);

          shouldAppBeMounted = false;
          await singleSpa.triggerAppChange();

          try {
            await parcel1.unmountPromise;
            throw Error(""Expected unmount error"");
          } catch (err) {
            expect(err.appOrParcelName).toBe(""unmount-error2"");
            expect(err.message.indexOf(`UNMOUNTING`)).toBeGreaterThan(-1);
            expect(err.message.indexOf(`unmount-error2`)).toBeGreaterThan(-1);
          }

          expect(errs.length).toBe(1);
          expect(errs[0].appOrParcelName).toBe(""app-parcel-unmount-errors"");
          expect(errs[0].message).toMatch(
            /application 'app-parcel-unmount-errors' died in status NOT_MOUNTED: parcel 'unmount-error2' died in status UNMOUNTING: unmount error/
          );
        })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':216,'endLine':216}","it(`rejects the load promise if loading function returns a promise that resolves with undefined`, async () => {
      const parcel = singleSpa.mountRootParcel(() => Promise.resolve(), {
        domElement: document.createElement(""div""),
      });

      // avoid unhandled rejection errors
      parcel.bootstrapPromise.catch((err) => {});
      parcel.mountPromise.catch((err) => {});

      try {
        await parcel.loadPromise;
        throw new Error(""load promise should not have succeeded"");
      } catch (err) {
        expect(
          err.message.indexOf(""did not resolve with a parcel config"")
        ).toBeGreaterThan(-1);
      }
    })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':217,'endLine':217}","it(`rejects the load promise if loading function returns a promise that resolves with undefined`, async () => {
      const parcel = singleSpa.mountRootParcel(() => Promise.resolve(), {
        domElement: document.createElement(""div""),
      });

      // avoid unhandled rejection errors
      parcel.bootstrapPromise.catch((err) => {});
      parcel.mountPromise.catch((err) => {});

      try {
        await parcel.loadPromise;
        throw new Error(""load promise should not have succeeded"");
      } catch (err) {
        expect(
          err.message.indexOf(""did not resolve with a parcel config"")
        ).toBeGreaterThan(-1);
      }
    })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':231,'endLine':231}","it(`rejects the load promise if the config doesn't have a valid mount function`, async () => {
      const parcel = singleSpa.mountRootParcel(
        { bootstrap() {}, unmount() {} },
        { domElement: document.createElement(""div"") }
      );

      // avoid unhandled rejection errors
      parcel.bootstrapPromise.catch((err) => {});
      parcel.mountPromise.catch((err) => {});

      try {
        await parcel.loadPromise;
        throw new Error(""load promise should not have succeeded"");
      } catch (err) {
        expect(
          err.message.indexOf(""must have a valid mount function"")
        ).toBeGreaterThan(-1);
      }
    })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':231,'endLine':231}","it(`rejects the load promise if the config doesn't have a valid mount function`, async () => {
      const parcel = singleSpa.mountRootParcel(
        { bootstrap() {}, unmount() {} },
        { domElement: document.createElement(""div"") }
      );

      // avoid unhandled rejection errors
      parcel.bootstrapPromise.catch((err) => {});
      parcel.mountPromise.catch((err) => {});

      try {
        await parcel.loadPromise;
        throw new Error(""load promise should not have succeeded"");
      } catch (err) {
        expect(
          err.message.indexOf(""must have a valid mount function"")
        ).toBeGreaterThan(-1);
      }
    })",snuts
/spec/parcels/parcel-error-handlers.spec.js,NonFunctionalStatement,"{'startLine':236,'endLine':236}","it(`rejects the load promise if the config doesn't have a valid mount function`, async () => {
      const parcel = singleSpa.mountRootParcel(
        { bootstrap() {}, unmount() {} },
        { domElement: document.createElement(""div"") }
      );

      // avoid unhandled rejection errors
      parcel.bootstrapPromise.catch((err) => {});
      parcel.mountPromise.catch((err) => {});

      try {
        await parcel.loadPromise;
        throw new Error(""load promise should not have succeeded"");
      } catch (err) {
        expect(
          err.message.indexOf(""must have a valid mount function"")
        ).toBeGreaterThan(-1);
      }
    })",snuts
