file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Duplicate Assert,"{'line': 31, 'column': 10, 'index': 896}","  29 |           expect(parcelConfig1.bootstrapCalls).toBe(1);
  30 |           expect(parcelConfig1.mountCalls).toBe(1);
> 31 |           expect(parcelConfig1.unmountCalls).toBe(0);
     |          ^ Duplicate Assert
  32 |
  33 |           const parcel2 = parcelConfig1.mountProps.mountParcel(parcelConfig2, {
  34 |             domElement: document.createElement(""div""),"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Duplicate Assert,"{'line': 39, 'column': 12, 'index': 1265}","  37 |             expect(parcelConfig2.bootstrapCalls).toBe(1);
  38 |             expect(parcelConfig2.mountCalls).toBe(1);
> 39 |             expect(parcelConfig2.unmountCalls).toBe(0);
     |            ^ Duplicate Assert
  40 |           });
  41 |         })
  42 |         .then(() => parcel1.unmount())"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Duplicate Assert,"{'line': 45, 'column': 12, 'index': 1419}","  43 |         .then(() => {
  44 |           {
> 45 |             expect(parcelConfig1.unmountCalls).toBe(1);
     |            ^ Duplicate Assert
  46 |             expect(parcelConfig2.unmountCalls).toBe(1);
  47 |           }
  48 |         });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Duplicate Assert,"{'line': 46, 'column': 12, 'index': 1475}","  44 |           {
  45 |             expect(parcelConfig1.unmountCalls).toBe(1);
> 46 |             expect(parcelConfig2.unmountCalls).toBe(1);
     |            ^ Duplicate Assert
  47 |           }
  48 |         });
  49 |     });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 19, 'column': 34, 'index': 489}","  17 |
  18 |     return singleSpa.triggerAppChange().then(() => {
> 19 |       expect(app.mountCalls).toBe(1);
     |                                  ^ Magic Number
  20 |
  21 |       const parcelConfig1 = createParcelConfig();
  22 |       const parcelConfig2 = createParcelConfig();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 29, 'column': 52, 'index': 830}","  27 |       return parcel1.mountPromise
  28 |         .then(() => {
> 29 |           expect(parcelConfig1.bootstrapCalls).toBe(1);
     |                                                    ^ Magic Number
  30 |           expect(parcelConfig1.mountCalls).toBe(1);
  31 |           expect(parcelConfig1.unmountCalls).toBe(0);
  32 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 30, 'column': 48, 'index': 882}","  28 |         .then(() => {
  29 |           expect(parcelConfig1.bootstrapCalls).toBe(1);
> 30 |           expect(parcelConfig1.mountCalls).toBe(1);
     |                                                ^ Magic Number
  31 |           expect(parcelConfig1.unmountCalls).toBe(0);
  32 |
  33 |           const parcel2 = parcelConfig1.mountProps.mountParcel(parcelConfig2, {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 31, 'column': 50, 'index': 936}","  29 |           expect(parcelConfig1.bootstrapCalls).toBe(1);
  30 |           expect(parcelConfig1.mountCalls).toBe(1);
> 31 |           expect(parcelConfig1.unmountCalls).toBe(0);
     |                                                  ^ Magic Number
  32 |
  33 |           const parcel2 = parcelConfig1.mountProps.mountParcel(parcelConfig2, {
  34 |             domElement: document.createElement(""div""),"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 37, 'column': 54, 'index': 1195}","  35 |           });
  36 |           return parcel2.mountPromise.then(() => {
> 37 |             expect(parcelConfig2.bootstrapCalls).toBe(1);
     |                                                      ^ Magic Number
  38 |             expect(parcelConfig2.mountCalls).toBe(1);
  39 |             expect(parcelConfig2.unmountCalls).toBe(0);
  40 |           });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 38, 'column': 50, 'index': 1249}","  36 |           return parcel2.mountPromise.then(() => {
  37 |             expect(parcelConfig2.bootstrapCalls).toBe(1);
> 38 |             expect(parcelConfig2.mountCalls).toBe(1);
     |                                                  ^ Magic Number
  39 |             expect(parcelConfig2.unmountCalls).toBe(0);
  40 |           });
  41 |         })"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 39, 'column': 52, 'index': 1305}","  37 |             expect(parcelConfig2.bootstrapCalls).toBe(1);
  38 |             expect(parcelConfig2.mountCalls).toBe(1);
> 39 |             expect(parcelConfig2.unmountCalls).toBe(0);
     |                                                    ^ Magic Number
  40 |           });
  41 |         })
  42 |         .then(() => parcel1.unmount())"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 45, 'column': 52, 'index': 1459}","  43 |         .then(() => {
  44 |           {
> 45 |             expect(parcelConfig1.unmountCalls).toBe(1);
     |                                                    ^ Magic Number
  46 |             expect(parcelConfig2.unmountCalls).toBe(1);
  47 |           }
  48 |         });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 46, 'column': 52, 'index': 1515}","  44 |           {
  45 |             expect(parcelConfig1.unmountCalls).toBe(1);
> 46 |             expect(parcelConfig2.unmountCalls).toBe(1);
     |                                                    ^ Magic Number
  47 |           }
  48 |         });
  49 |     });"
