file,type,line,method,source
/src/index.test.js,Duplicate Assert,"{'line': 1160, 'column': 4, 'index': 35690}","it('should be possible to use nested syntax (&) when extending the config', () => {
  let config = {
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose""></div>`,
      },
    ],
    theme: {
      extend: {
        typography: {
          DEFAULT: {
            css: {
              color: '#000',
              a: {
                color: '#888',
                '&:hover': {
                  color: '#ff0000',
                },
              },
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose {
        color: #000;
        max-width: 65ch;
      }
    `)

    expect(result.css).toIncludeCss(css`
      .prose :where(a):not(:where([class~='not-prose'], [class~='not-prose'] *)) {
        color: #888;
        text-decoration: underline;
        font-weight: 500;
      }
    `)

    expect(result.css).toIncludeCss(css`
      .prose :where(a):not(:where([class~='not-prose'], [class~='not-prose'] *)):hover {
        color: #ff0000;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1167, 'column': 4, 'index': 35808}","it('should be possible to use nested syntax (&) when extending the config', () => {
  let config = {
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose""></div>`,
      },
    ],
    theme: {
      extend: {
        typography: {
          DEFAULT: {
            css: {
              color: '#000',
              a: {
                color: '#888',
                '&:hover': {
                  color: '#ff0000',
                },
              },
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose {
        color: #000;
        max-width: 65ch;
      }
    `)

    expect(result.css).toIncludeCss(css`
      .prose :where(a):not(:where([class~='not-prose'], [class~='not-prose'] *)) {
        color: #888;
        text-decoration: underline;
        font-weight: 500;
      }
    `)

    expect(result.css).toIncludeCss(css`
      .prose :where(a):not(:where([class~='not-prose'], [class~='not-prose'] *)):hover {
        color: #ff0000;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1175, 'column': 4, 'index': 36031}","it('should be possible to use nested syntax (&) when extending the config', () => {
  let config = {
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose""></div>`,
      },
    ],
    theme: {
      extend: {
        typography: {
          DEFAULT: {
            css: {
              color: '#000',
              a: {
                color: '#888',
                '&:hover': {
                  color: '#ff0000',
                },
              },
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose {
        color: #000;
        max-width: 65ch;
      }
    `)

    expect(result.css).toIncludeCss(css`
      .prose :where(a):not(:where([class~='not-prose'], [class~='not-prose'] *)) {
        color: #888;
        text-decoration: underline;
        font-weight: 500;
      }
    `)

    expect(result.css).toIncludeCss(css`
      .prose :where(a):not(:where([class~='not-prose'], [class~='not-prose'] *)):hover {
        color: #ff0000;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1263, 'column': 4, 'index': 38121}","it('lifts all common, trailing pseudo elements when the same across all selectors', () => {
  let config = {
    darkMode: 'class',
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose dark:prose""></div>`,
      },
    ],
    theme: {
      typography: {
        DEFAULT: {
          css: {
            'ol li::marker::before, ul li::marker::before': {
              color: 'red',
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose
        :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']
            *))::marker::before {
        color: red;
      }
    `)

    // TODO: The output here is a bug in tailwindcss variant selector rewriting
    // IT should be ::marker::before
    expect(result.css).toIncludeCss(css`
      .dark
        .dark\:prose
        :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']
            *))::before::marker {
        color: red;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1273, 'column': 4, 'index': 38445}","it('lifts all common, trailing pseudo elements when the same across all selectors', () => {
  let config = {
    darkMode: 'class',
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose dark:prose""></div>`,
      },
    ],
    theme: {
      typography: {
        DEFAULT: {
          css: {
            'ol li::marker::before, ul li::marker::before': {
              color: 'red',
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose
        :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']
            *))::marker::before {
        color: red;
      }
    `)

    // TODO: The output here is a bug in tailwindcss variant selector rewriting
    // IT should be ::marker::before
    expect(result.css).toIncludeCss(css`
      .dark
        .dark\:prose
        :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']
            *))::before::marker {
        color: red;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1307, 'column': 4, 'index': 39164}","it('does not modify selectors with differing pseudo elements', () => {
  let config = {
    darkMode: 'class',
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose dark:prose""></div>`,
      },
    ],
    theme: {
      typography: {
        DEFAULT: {
          css: {
            'ol li::before, ul li::after': {
              color: 'red',
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose
        :where(ol li::before, ul li::after):not(:where([class~='not-prose'], [class~='not-prose']
            *)) {
        color: red;
      }
    `)

    // TODO: The output here is a bug in tailwindcss variant selector rewriting
    expect(result.css).toIncludeCss(css`
      .dark
        .dark\:prose
        :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose'] *))::before,
      ::after {
        color: red;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1316, 'column': 4, 'index': 39450}","it('does not modify selectors with differing pseudo elements', () => {
  let config = {
    darkMode: 'class',
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose dark:prose""></div>`,
      },
    ],
    theme: {
      typography: {
        DEFAULT: {
          css: {
            'ol li::before, ul li::after': {
              color: 'red',
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose
        :where(ol li::before, ul li::after):not(:where([class~='not-prose'], [class~='not-prose']
            *)) {
        color: red;
      }
    `)

    // TODO: The output here is a bug in tailwindcss variant selector rewriting
    expect(result.css).toIncludeCss(css`
      .dark
        .dark\:prose
        :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose'] *))::before,
      ::after {
        color: red;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1350, 'column': 4, 'index': 40199}","it('lifts only the common, trailing pseudo elements from selectors', () => {
  let config = {
    darkMode: 'class',
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose dark:prose""></div>`,
      },
    ],
    theme: {
      typography: {
        DEFAULT: {
          css: {
            'ol li::scroll-thumb::before, ul li::scroll-track::before': {
              color: 'red',
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose
        :where(ol li::scroll-thumb, ul
          li::scroll-track):not(:where([class~='not-prose'], [class~='not-prose'] *))::before {
        color: red;
      }
    `)

    // TODO: The output here is a bug in tailwindcss variant selector rewriting
    expect(result.css).toIncludeCss(css`
      .dark
        .dark\:prose
        :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']
            *))::scroll-thumb,
      ::scroll-track,
      ::before {
        color: red;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1359, 'column': 4, 'index': 40504}","it('lifts only the common, trailing pseudo elements from selectors', () => {
  let config = {
    darkMode: 'class',
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose dark:prose""></div>`,
      },
    ],
    theme: {
      typography: {
        DEFAULT: {
          css: {
            'ol li::scroll-thumb::before, ul li::scroll-track::before': {
              color: 'red',
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose
        :where(ol li::scroll-thumb, ul
          li::scroll-track):not(:where([class~='not-prose'], [class~='not-prose'] *))::before {
        color: red;
      }
    `)

    // TODO: The output here is a bug in tailwindcss variant selector rewriting
    expect(result.css).toIncludeCss(css`
      .dark
        .dark\:prose
        :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']
            *))::scroll-thumb,
      ::scroll-track,
      ::before {
        color: red;
      }
    `)
  })
})",steel
/src/index.test.js,Duplicate Assert,"{'line': 1395, 'column': 4, 'index': 41288}","it('ignores common non-trailing pseudo-elements in selectors', () => {
  let config = {
    darkMode: 'class',
    plugins: [typographyPlugin()],
    content: [
      {
        raw: html`<div class=""prose dark:prose""></div>`,
      },
    ],
    theme: {
      typography: {
        DEFAULT: {
          css: {
            'ol li::before::scroll-thumb, ul li::before::scroll-track': {
              color: 'red',
            },
          },
        },
      },
    },
  }

  return run(config).then((result) => {
    expect(result.css).toIncludeCss(css`
      .prose
        :where(ol li::before::scroll-thumb, ul
          li::before::scroll-track):not(:where([class~='not-prose'], [class~='not-prose'] *)) {
        color: red;
      }
    `)

    // TODO: The output here is a bug in tailwindcss variant selector rewriting
    expect(result.css).toIncludeCss(css`
      .dark
        .dark\:prose
        :where(ol li::scroll-thumb, ul
          li::scroll-track):not(:where([class~='not-prose'], [class~='not-prose'] *))::before,
      ::before {
        color: red;
      }
    `)
  })
})",steel
