file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1160, 'column': 4, 'index': 35690}","  1158 |
  1159 |   return run(config).then((result) => {
> 1160 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1161 |       .prose {
  1162 |         color: #000;
  1163 |         max-width: 65ch;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1167, 'column': 4, 'index': 35808}","  1165 |     `)
  1166 |
> 1167 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1168 |       .prose :where(a):not(:where([class~='not-prose'], [class~='not-prose'] *)) {
  1169 |         color: #888;
  1170 |         text-decoration: underline;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1175, 'column': 4, 'index': 36031}","  1173 |     `)
  1174 |
> 1175 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1176 |       .prose :where(a):not(:where([class~='not-prose'], [class~='not-prose'] *)):hover {
  1177 |         color: #ff0000;
  1178 |       }"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1263, 'column': 4, 'index': 38121}","  1261 |
  1262 |   return run(config).then((result) => {
> 1263 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1264 |       .prose
  1265 |         :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']
  1266 |             *))::marker::before {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1273, 'column': 4, 'index': 38445}","  1271 |     // TODO: The output here is a bug in tailwindcss variant selector rewriting
  1272 |     // IT should be ::marker::before
> 1273 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1274 |       .dark
  1275 |         .dark\:prose
  1276 |         :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1307, 'column': 4, 'index': 39164}","  1305 |
  1306 |   return run(config).then((result) => {
> 1307 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1308 |       .prose
  1309 |         :where(ol li::before, ul li::after):not(:where([class~='not-prose'], [class~='not-prose']
  1310 |             *)) {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1316, 'column': 4, 'index': 39450}","  1314 |
  1315 |     // TODO: The output here is a bug in tailwindcss variant selector rewriting
> 1316 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1317 |       .dark
  1318 |         .dark\:prose
  1319 |         :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose'] *))::before,"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1350, 'column': 4, 'index': 40199}","  1348 |
  1349 |   return run(config).then((result) => {
> 1350 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1351 |       .prose
  1352 |         :where(ol li::scroll-thumb, ul
  1353 |           li::scroll-track):not(:where([class~='not-prose'], [class~='not-prose'] *))::before {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1359, 'column': 4, 'index': 40504}","  1357 |
  1358 |     // TODO: The output here is a bug in tailwindcss variant selector rewriting
> 1359 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1360 |       .dark
  1361 |         .dark\:prose
  1362 |         :where(ol li, ul li):not(:where([class~='not-prose'], [class~='not-prose']"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1395, 'column': 4, 'index': 41288}","  1393 |
  1394 |   return run(config).then((result) => {
> 1395 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1396 |       .prose
  1397 |         :where(ol li::before::scroll-thumb, ul
  1398 |           li::before::scroll-track):not(:where([class~='not-prose'], [class~='not-prose'] *)) {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/tailwindcss-typography/src/index.test.js,Duplicate Assert,"{'line': 1404, 'column': 4, 'index': 41601}","  1402 |
  1403 |     // TODO: The output here is a bug in tailwindcss variant selector rewriting
> 1404 |     expect(result.css).toIncludeCss(css`
       |    ^ Duplicate Assert
  1405 |       .dark
  1406 |         .dark\:prose
  1407 |         :where(ol li::scroll-thumb, ul"
