"file","type","smells","itCount","describeCount"
"test/jest/util-timers.test.js","NonFunctionalStatement","[{""startLine"":13,""endLine"":13}]",2,1
"test/jest/util-timers.test.js","NonFunctionalStatement","[{""startLine"":17,""endLine"":17}]",2,1
"test/jest/util-timers.test.js","NonFunctionalStatement","[{""startLine"":23,""endLine"":23}]",2,1
"test/jest/issue-1757.test.js","AnonymousTest","[{""startLine"":26,""endLine"":58}]",1,0
"test/jest/issue-1757.test.js","ConditionalTestLogic","[{""startLine"":39,""endLine"":46}]",1,0
"test/jest/instanceof-error.test.js","AnonymousTest","[{""startLine"":20,""endLine"":40}]",2,0
"test/jest/instanceof-error.test.js","SubOptimalAssert","[{""startLine"":16,""endLine"":16}]",2,0
"test/fuzzing/fuzzing.test.js","AnonymousTest","[{""startLine"":32,""endLine"":41}]",3,1
"test/fuzzing/fuzzing.test.js","AnonymousTest","[{""startLine"":43,""endLine"":52}]",3,1
"test/fuzzing/fuzzing.test.js","AnonymousTest","[{""startLine"":54,""endLine"":63}]",3,1
"test/busboy/test-types-multipart.js","ConditionalTestLogic","[{""startLine"":586,""endLine"":588}]",1,0
"test/busboy/test-types-multipart.js","ConditionalTestLogic","[{""startLine"":594,""endLine"":615}]",1,0
"test/busboy/test-types-multipart-charsets.js","AnonymousTest","[{""startLine"":30,""endLine"":72}]",1,0
"test/busboy/test-types-multipart-charsets.js","ConditionalTestLogic","[{""startLine"":41,""endLine"":62}]",1,0
"test/util.js","AnonymousTest","[{""startLine"":9,""endLine"":12}]",46,12
"test/util.js","AnonymousTest","[{""startLine"":14,""endLine"":19}]",46,12
"test/util.js","AnonymousTest","[{""startLine"":21,""endLine"":26}]",46,12
"test/util.js","AnonymousTest","[{""startLine"":28,""endLine"":34}]",46,12
"test/util.js","AnonymousTest","[{""startLine"":36,""endLine"":42}]",46,12
"test/util.js","AnonymousTest","[{""startLine"":44,""endLine"":50}]",46,12
"test/util.js","AnonymousTest","[{""startLine"":52,""endLine"":58}]",46,12
"test/util.js","AnonymousTest","[{""startLine"":60,""endLine"":62}]",46,12
"test/util.js","AnonymousTest","[{""startLine"":64,""endLine"":66}]",46,12
"test/util.js","IdenticalTestDescription","[{""startLine"":80,""endLine"":89}]",46,12
"test/util.js","IdenticalTestDescription","[{""startLine"":147,""endLine"":150}]",46,12
"test/util.js","IdenticalTestDescription","[{""startLine"":151,""endLine"":154}]",46,12
"test/util.js","NonFunctionalStatement","[{""startLine"":31,""endLine"":31}]",46,12
"test/util.js","NonFunctionalStatement","[{""startLine"":38,""endLine"":38}]",46,12
"test/util.js","NonFunctionalStatement","[{""startLine"":47,""endLine"":47}]",46,12
"test/util.js","NonFunctionalStatement","[{""startLine"":55,""endLine"":55}]",46,12
"test/tls-session-reuse.js","AnonymousTest","[{""startLine"":23,""endLine"":83}]",3,2
"test/tls-session-reuse.js","AnonymousTest","[{""startLine"":102,""endLine"":180}]",3,2
"test/tls-session-reuse.js","IdenticalTestDescription","[{""startLine"":102,""endLine"":180}]",3,2
"test/tls-session-reuse.js","ConditionalTestLogic","[{""startLine"":26,""endLine"":28}]",3,2
"test/tls-session-reuse.js","ConditionalTestLogic","[{""startLine"":62,""endLine"":67}]",3,2
"test/tls-session-reuse.js","ConditionalTestLogic","[{""startLine"":72,""endLine"":74}]",3,2
