file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Conditional Test Logic,"{'line': 91, 'column': 4, 'index': 2530}","  89 |   })
  90 |   test('returns true for port in range of 0 to 65535 as number', () => {
> 91 |     for (let i = 0; i < 65536; i++) {
     |    ^ Conditional Test Logic
  92 |       strictEqual(isValidPort(i), true)
  93 |     }
  94 |   })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Conditional Test Logic,"{'line': 96, 'column': 4, 'index': 2692}","  94 |   })
  95 |   test('returns true for port in range of 0 to 65535 as string', () => {
> 96 |     for (let i = 0; i < 65536; i++) {
     |    ^ Conditional Test Logic
  97 |       strictEqual(isValidPort(i.toString()), true)
  98 |     }
  99 |   })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Conditional Test Logic,"{'line': 168, 'column': 8, 'index': 6144}","  166 |       })
  167 |       test('doesn\'t throw if port is valid number', () => {
> 168 |         for (let i = 0; i < 65536; i++) {
      |        ^ Conditional Test Logic
  169 |           doesNotThrow(() => parseURL({ protocol: 'http:', hostname: 'www.example.com', port: i.toString() }), i.toString())
  170 |         }
  171 |       })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Ignored Test,"{'line': 158, 'column': 9, 'index': 5644}","  156 |
  157 |   describe('when url is an common object', () => {
> 158 |     test.skip('does not throw if a urlLike object is passed', () => {
      |         ^ Ignored Test
  159 |       const url = parseURL({ protocol: 'http:' })
  160 |       console.log(url)
  161 |     })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 9}","   7 |
   8 | describe('isBlobLike', () => {
>  9 |   test('buffer', () => {
     |  ^ Unknown Test
  10 |     const buffer = Buffer.alloc(1)
  11 |     strictEqual(isBlobLike(buffer), false)
  12 |   })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 14}","  12 |   })
  13 |
> 14 |   test('blob', () => {
     |  ^ Unknown Test
  15 |     const blob = new Blob(['asd'], {
  16 |       type: 'application/json'
  17 |     })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 21}","  19 |   })
  20 |
> 21 |   test('file', () => {
     |  ^ Unknown Test
  22 |     const file = new File(['asd'], 'file.txt', {
  23 |       type: 'text/plain'
  24 |     })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 28}","  26 |   })
  27 |
> 28 |   test('blobLikeStream', () => {
     |  ^ Unknown Test
  29 |     const blobLikeStream = {
  30 |       [Symbol.toStringTag]: 'Blob',
  31 |       stream: () => { }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 36}","  34 |   })
  35 |
> 36 |   test('fileLikeStream', () => {
     |  ^ Unknown Test
  37 |     const fileLikeStream = {
  38 |       stream: () => { },
  39 |       [Symbol.toStringTag]: 'File'"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 44}","  42 |   })
  43 |
> 44 |   test('fileLikeArrayBuffer', () => {
     |  ^ Unknown Test
  45 |     const blobLikeArrayBuffer = {
  46 |       [Symbol.toStringTag]: 'Blob',
  47 |       arrayBuffer: () => { }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 52}","  50 |   })
  51 |
> 52 |   test('blobLikeArrayBuffer', () => {
     |  ^ Unknown Test
  53 |     const fileLikeArrayBuffer = {
  54 |       [Symbol.toStringTag]: 'File',
  55 |       arrayBuffer: () => { }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 60}","  58 |   })
  59 |
> 60 |   test('string', () => {
     |  ^ Unknown Test
  61 |     strictEqual(isBlobLike('Blob'), false)
  62 |   })
  63 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 64}","  62 |   })
  63 |
> 64 |   test('null', () => {
     |  ^ Unknown Test
  65 |     strictEqual(isBlobLike(null), false)
  66 |   })
  67 | })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 70}","  68 |
  69 | describe('isHttpOrHttpsPrefixed', () => {
> 70 |   test('returns false for invalid values', () => {
     |  ^ Unknown Test
  71 |     strictEqual(isHttpOrHttpsPrefixed('wss:'), false)
  72 |   })
  73 |   test('returns true for ""http:"" or ""https:""', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 73}","  71 |     strictEqual(isHttpOrHttpsPrefixed('wss:'), false)
  72 |   })
> 73 |   test('returns true for ""http:"" or ""https:""', () => {
     |  ^ Unknown Test
  74 |     strictEqual(isHttpOrHttpsPrefixed('http:'), true)
  75 |     strictEqual(isHttpOrHttpsPrefixed('https:'), true)
  76 |   })"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 80}","  78 |
  79 | describe('isValidPort', () => {
> 80 |   test('returns false for invalid values', () => {
     |  ^ Unknown Test
  81 |     strictEqual(isValidPort(NaN), false)
  82 |     strictEqual(isValidPort(Infinity), false)
  83 |     strictEqual(isValidPort(-Infinity), false)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 90}","  88 |     strictEqual(isValidPort('65535i'), false)
  89 |   })
> 90 |   test('returns true for port in range of 0 to 65535 as number', () => {
     |  ^ Unknown Test
  91 |     for (let i = 0; i < 65536; i++) {
  92 |       strictEqual(isValidPort(i), true)
  93 |     }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 95}","  93 |     }
  94 |   })
> 95 |   test('returns true for port in range of 0 to 65535 as string', () => {
     |  ^ Unknown Test
  96 |     for (let i = 0; i < 65536; i++) {
  97 |       strictEqual(isValidPort(i.toString()), true)
  98 |     }"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 103}","  101 |
  102 | describe('parseURL', () => {
> 103 |   test('throws if url is not a string or object', () => {
      |  ^ Unknown Test
  104 |     throws(() => { parseURL(null) }, new InvalidArgumentError('Invalid URL: The URL argument must be a non-null object.'))
  105 |     throws(() => { parseURL(1) }, new InvalidArgumentError('Invalid URL: The URL argument must be a non-null object.'))
  106 |     throws(() => { parseURL(true) }, new InvalidArgumentError('Invalid URL: The URL argument must be a non-null object.'))"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 110}","  108 |     throws(() => { parseURL(false) }, new InvalidArgumentError('Invalid URL: The URL argument must be a non-null object.'))
  109 |   })
> 110 |   test('throws if protocol is not beginning with http:', () => {
      |  ^ Unknown Test
  111 |     throws(() => { parseURL('ws://www.example.com') }, new InvalidArgumentError('Invalid URL protocol: the URL must start with `http:` or `https:`.'))
  112 |   })
  113 |   test('throws if protocol is not beginning with https:', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 113}","  111 |     throws(() => { parseURL('ws://www.example.com') }, new InvalidArgumentError('Invalid URL protocol: the URL must start with `http:` or `https:`.'))
  112 |   })
> 113 |   test('throws if protocol is not beginning with https:', () => {
      |  ^ Unknown Test
  114 |     throws(() => { parseURL('wss://www.example.com') }, new InvalidArgumentError('Invalid URL protocol: the URL must start with `http:` or `https:`.'))
  115 |   })
  116 |   test('returns an URL object if url is a string of an https URL', () => {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 116}","  114 |     throws(() => { parseURL('wss://www.example.com') }, new InvalidArgumentError('Invalid URL protocol: the URL must start with `http:` or `https:`.'))
  115 |   })
> 116 |   test('returns an URL object if url is a string of an https URL', () => {
      |  ^ Unknown Test
  117 |     const url = parseURL('https://www.example.com')
  118 |     strictEqual(url instanceof URL, true)
  119 |     strictEqual(url.href, 'https://www.example.com/')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 2, 'line': 121}","  119 |     strictEqual(url.href, 'https://www.example.com/')
  120 |   })
> 121 |   test('returns an URL object if url is a string of an http URL', () => {
      |  ^ Unknown Test
  122 |     const url = parseURL('http://www.example.com')
  123 |     strictEqual(url instanceof URL, true)
  124 |     strictEqual(url.href, 'http://www.example.com/')"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,Unknown Test,"{'column': 4, 'line': 128}","  126 |
