FileName, TotalMethods, TotalTestSmells,Physical SLOC,Logical SLOC,Cyclomatic,CyclomaticDensity,HalsteadBugs,HalsteadDifficulty,HalsteadEffort,HalsteadLength,HalsteadTime,HalsteadVocabulary,HalsteadVolume,Maintainability,assertionRoulette,conditionalTestLogic,duplicateAssert,eagerTest,emptyTest,exceptionHandling,globalVariable,ignoredTest,lazyTest,magicNumberRule,mysteryGuest,redundantAssertion,redundantPrint,resourceOptimism,sleepyTest,unknownTest
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/util.js,46,3,255,415,88,21.205,2.835,35.2,299335.998,1160,16629.778,161,8503.864,117.348,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,46
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/tls-session-reuse.js,3,2,182,190,28,14.737,1.586,38.467,183036.202,660,10168.678,148,4758.239,104.002,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/timers.js,14,3,259,278,44,15.827,2.545,63.152,482196.031,1071,26788.668,140,7635.462,108.365,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,14
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/snapshot-testing.js,29,5,1500,1524,106,6.955,16.785,84.027,4231260.069,5551,235070.004,538,50355.688,89.106,0,10,0,0,0,6,0,0,0,36,0,0,0,0,1,1
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/request.js,15,2,497,554,71,12.816,5.067,81.653,1241158.621,2126,68953.257,142,15200.362,102.168,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/redirect-stream.js,17,3,421,448,43,9.598,4.488,57.071,768427.987,1830,42690.444,164,13464.32,99.549,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,17
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/readable.js,9,1,192,186,39,20.968,1.314,22.963,90516.681,629,5028.705,77,3941.809,119.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/no-strict-content-length.js,7,1,387,366,60,16.393,2.496,47.206,353449.095,1145,19636.061,93,7487.337,112.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/mock-utils.js,31,2,377,369,43,11.653,4.252,27.449,350101.985,1591,19450.11,259,12754.742,105.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/undici/test/mock-scope.js,5,1,68,88,17,19.318,0.595,27.5,49083.437,325,2726.858,45,1784.852,117.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
